Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Омутинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15291	765	782	770	873	217	184	404	529	1109	671	982	1045	774	984	705	982	418	436	522	520	321	145	191	572	390									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15381	769	786	774	877	219	186	406	532	1114	674	995	1050	778	989	709	987	420	438	525	523	323	147	193	575	392									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13071	597	668	676	780	160	165	375	441	1044	527	874	886	571	843	560	790	347	358	486	472	304	120	179	497	351									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	609	25	64	31	44	42	8	0	53	38	8	17	41	20	36	13	25	18	23	8	7	5	23	9	35	16									
6	Число погашенных избирательных бюллетеней	1643	89	54	67	53	17	13	31	38	32	139	104	123	187	110	136	172	55	57	31	44	14	4	5	43	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	667	83	64	31	44	42	8	0	53	38	8	17	41	20	36	13	25	18	23	8	7	5	23	9	35	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13051	597	668	676	780	160	165	375	441	1044	527	874	886	551	843	560	790	347	358	486	472	304	120	179	497	351									
9	Число недействительных избирательных бюллетеней	24	0	2	0	0	0	0	0	0	1	0	0	0	10	6	1	0	0	4	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	13694	680	730	707	824	202	173	375	494	1081	535	891	927	561	873	572	815	365	377	494	479	309	143	188	532	367									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	10	15	15	15	15	15	10	10	20	20	20	20	20	20	20	20	20	20	15	15	15	15	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	2	3	3	6	2	5	3	2	4	0	5	3	6	4	3	2	0	0	0	5	0	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	4	1	0	3	0	0	0	0	0	0	1	5	2	0	1	0	1	0	0	0	0	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	341	8	12	12	9	13	10	7	8	16	20	15	17	14	16	17	18	20	20	15	10	15	15	15	10	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	1	0	0	1	3	0	1	5	2	1	1	2	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	0	0	0	1	0	1	1	5	0	1	1	0	1	0	0	1	2	1	1	0	1	0	1	2	0									
		0.15%	0.00%	0.00%	0.00%	0.12%	0.00%	0.58%	0.27%	1.01%	0.00%	0.19%	0.11%	0.00%	0.18%	0.00%	0.00%	0.12%	0.55%	0.26%	0.20%	0.00%	0.32%	0.00%	0.53%	0.38%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	24	0	1	0	1	0	1	1	0	0	2	1	0	7	0	0	1	2	0	0	0	0	2	1	0	4									
		0.17%	0.00%	0.14%	0.00%	0.12%	0.00%	0.58%	0.27%	0.00%	0.00%	0.37%	0.11%	0.00%	1.23%	0.00%	0.00%	0.12%	0.55%	0.00%	0.00%	0.00%	0.00%	1.40%	0.53%	0.00%	1.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	25	3	1	0	1	0	0	2	0	0	2	0	0	6	0	0	0	0	2	2	3	1	0	2	0	0									
		0.18%	0.44%	0.14%	0.00%	0.12%	0.00%	0.00%	0.53%	0.00%	0.00%	0.37%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.52%	0.40%	0.63%	0.32%	0.00%	1.06%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11385	625	579	651	705	155	145	326	402	913	439	754	767	408	732	468	668	299	306	404	389	250	114	149	436	301									
		82.99%	91.91%	79.10%	92.08%	85.56%	76.73%	83.82%	86.93%	81.38%	84.38%	82.06%	84.62%	82.74%	71.45%	83.28%	81.68%	81.96%	81.92%	80.31%	81.78%	81.21%	80.91%	79.72%	79.26%	81.95%	82.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.03%	0.15%	0.14%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.02%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	658	14	42	11	39	11	6	15	26	27	26	38	18	102	41	34	41	21	16	25	24	13	5	10	34	19									
		4.80%	2.06%	5.74%	1.56%	4.73%	5.45%	3.47%	4.00%	5.26%	2.50%	4.86%	4.26%	1.94%	17.86%	4.66%	5.93%	5.03%	5.75%	4.20%	5.06%	5.01%	4.21%	3.50%	5.32%	6.39%	5.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	2	1	0	1	0	1	0	0	0	0	2	1	0	0	0	1	2	0	1	0	1	0	0	0	0									
		0.09%	0.29%	0.14%	0.00%	0.12%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.22%	0.11%	0.00%	0.00%	0.00%	0.12%	0.55%	0.00%	0.20%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	1	0	1	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0									
		0.06%	0.00%	0.14%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.11%	0.00%	0.35%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%									
