Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Поронайская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в списки"	24218	1723	1607	2042	2508	2651	1742	1728	1191	191	2673	2457	776	683	1098	119	230	119	342	266	72					
2	"Число бюллетеней, полученных участковыми комиссиями"	22614	1622	1526	1900	2271	2300	1600	1400	1100	190	2644	2325	736	662	1080	120	241	113	337	330	117					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10695	784	692	776	1103	1270	775	606	473	62	1205	1219	344	270	476	86	181	74	173	86	40					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	509	22	16	93	33	35	13	35	14	3	73	55	46	33	23	0	1	3	5	6	0					
6	Число погашенных бюллетеней	11404	816	818	1031	1129	995	812	759	613	125	1366	1051	346	359	581	34	59	36	159	238	77					
7	Число бюллетеней в переносных ящиках для голосования	515	22	16	93	39	35	13	35	14	3	73	55	46	33	23	0	1	3	5	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	10685	784	691	776	1103	1268	772	605	473	62	1204	1217	344	270	476	86	181	74	173	86	40					
9	Число недействительных бюллетеней	187	24	21	7	13	13	17	14	7	2	19	19	8	6	9	1	2	1	4	0	0					
10	Число действительных бюллетеней	11013	782	686	862	1129	1290	768	626	480	63	1258	1253	382	297	490	85	180	76	174	92	40					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	428	31	29	32	40	44	31	28	21	4	48	40	14	13	22	5	5	4	7	6	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	124	9	6	8	23	16	8	10	9	0	8	6	5	7	1	2	0	0	3	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	3	0	0	3	1	5	17	2	4	0	3	4	6	4	1	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	304	22	23	24	17	28	23	18	12	4	40	34	9	6	21	3	5	4	4	3	4					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	144	6	5	12	14	17	13	4	5	1	17	17	8	2	13	2	1	4	1	1	1					
		1.28%	0.74%	0.70%	1.38%	1.22%	1.30%	1.65%	0.62%	1.02%	1.53%	1.33%	1.33%	2.05%	0.66%	2.60%	2.32%	0.54%	5.19%	0.56%	1.08%	2.5%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	307	22	23	27	34	45	29	17	18	0	18	40	8	7	10	2	0	0	6	1	0					
		2.74%	2.72%	3.25%	3.10%	2.97%	3.45%	3.69%	2.65%	3.69%	0.0%	1.40%	3.14%	2.05%	2.31%	2.00%	2.32%	0.0%	0.0%	3.37%	1.08%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	531	36	40	42	40	51	35	27	17	0	74	76	13	30	16	3	7	4	11	8	1					
		4.74%	4.46%	5.65%	4.83%	3.50%	3.91%	4.45%	4.21%	3.49%	0.0%	5.79%	5.97%	3.33%	9.90%	3.20%	3.48%	3.84%	5.19%	6.17%	8.69%	2.5%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	515	40	22	79	58	70	38	30	28	3	27	64	13	12	18	3	2	1	4	2	1					
