Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Альменевская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205					
1	"Число избирателей, внесенных в списки"	11432	1476	1170	987	384	271	140	136	240	111	64	583	427	264	235	317	100	238	659	153	92	139	254	865	134	190	271	578	115	170	336	255	78					
2	"Число бюллетеней, полученных участковыми комиссиями"	11437	1482	1180	988	386	281	147	134	233	113	65	579	420	262	235	325	100	240	670	150	94	140	252	870	127	202	256	545	118	172	337	255	79					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6255	702	581	410	254	198	100	106	150	71	40	289	237	148	142	193	58	160	345	82	61	85	178	395	85	103	201	272	79	105	208	158	59					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	428	30	25	17	10	0	0	10	8	9	2	10	9	9	10	20	8	13	45	5	5	4	19	51	0	10	0	50	7	17	8	9	8					
6	Число погашенных бюллетеней	4754	750	574	561	122	83	47	18	75	33	23	280	174	105	83	112	34	67	280	63	28	51	55	424	42	89	55	223	32	50	121	88	12					
7	Число бюллетеней в переносных ящиках для голосования	428	30	25	17	10	0	0	10	8	9	2	10	9	9	10	20	8	13	45	5	5	4	19	51	0	10	0	50	7	17	8	9	8					
8	Число бюллетеней в стационарных ящиках для голосования	6252	702	580	409	254	198	100	106	150	71	40	289	237	148	142	193	58	160	345	82	61	85	178	395	85	103	201	271	79	105	208	158	59					
9	Число недействительных бюллетеней	117	9	11	7	5	2	0	1	0	1	0	6	6	3	3	1	5	9	9	1	3	3	1	6	0	1	2	12	2	1	7	0	0					
10	Число действительных бюллетеней	6563	723	594	419	259	196	100	115	158	79	42	293	240	154	149	212	61	164	381	86	63	86	196	440	85	112	199	309	84	121	209	167	67					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	216	14	15	10	10	5	5	5	10	5	5	10	10	5	5	6	5	5	17	7	1	2	5	10	5	5	5	10	5	4	5	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	59	2	3	4	3	0	0	2	0	0	2	3	1	0	0	6	0	0	16	6	1	1	0	1	0	1	0	6	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	8	0	3	3	0	0	0	1	0	0	0	0	1	0	0	0	0	3	5	0	0	0	1	0	1	0	0	1	0	1	0	0					
14	Число погашенных открепительных удостоверений	157	12	12	6	7	5	5	3	10	5	3	7	9	5	5	0	5	5	1	1	0	1	5	9	5	4	5	4	5	4	4	3	2					
