Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166					
1	"Число избирателей, внесенных в списки избирателей"	41002	1842	2024	2049	2244	1986	2113	1699	1713	1477	1537	1580	1849	1843	2099	2021	1877	2115	2902	1044	825	317	907	428	286	113	527	344	843	398					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39080	1700	2000	1900	2000	1900	2100	1700	1700	1500	1500	1600	1800	1800	2000	2000	1800	1900	2100	900	830	330	950	440	300	110	550	350	910	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	12	0	0	0	0	28	32	60	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25106	987	1298	1212	1268	1237	1282	1010	1101	932	998	969	1167	1191	1207	1268	1221	1406	2087	567	94	210	539	249	203	85	303	236	511	268					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1454	126	7	18	193	15	16	12	21	17	13	17	22	14	47	7	8	15	13	131	557	6	46	14	14	9	27	3	55	11					
6	Число погашенных избирательных бюллетеней	12332	587	695	670	539	648	802	678	578	551	489	614	611	595	746	725	571	479	0	202	123	102	365	177	83	16	192	79	284	131					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1642	126	7	18	193	15	16	12	21	17	13	17	22	14	47	7	8	15	13	131	613	18	46	14	14	9	55	35	115	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25097	987	1298	1212	1268	1237	1282	1010	1101	932	998	969	1167	1191	1207	1265	1220	1406	2083	567	94	210	539	249	203	85	302	236	511	268					
9	Число недействительных избирательных бюллетеней	247	6	8	9	12	11	12	11	8	9	9	9	17	12	6	10	22	18	16	6	7	3	5	5	3	2	5	0	4	2					
10	Число действительных избирательных бюллетеней	26492	1107	1297	1221	1449	1241	1286	1011	1114	940	1002	977	1172	1193	1248	1262	1206	1403	2080	692	700	225	580	258	214	92	352	271	622	277					
