Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Самара, Куйбышевская"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63149	1770	2254	1871	1644	2083	1123	1999	2346	1852	2966	1255	1426	2065	1153	2742	2249	1861	1603	2108	1734	1913	1912	1847	1535	2312	2362	1933	1821	1857	1972	1863	1606	2112									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53700	1500	2000	1500	1500	2000	1000	1500	2000	1500	2500	1000	1200	2000	1000	2000	2000	1500	1500	2000	1500	1500	1500	1500	1500	2000	2000	1500	1500	1500	1500	1500	1500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24469	709	921	686	617	756	327	875	977	758	1120	299	500	797	413	1181	698	522	364	810	587	840	860	699	611	863	1179	1035	780	764	802	713	712	694									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1008	25	25	22	26	44	24	19	21	27	63	41	30	4	4	35	33	76	31	120	14	10	10	30	43	37	22	24	12	4	34	13	36	49									
6	Число погашенных избирательных бюллетеней	28223	766	1054	792	857	1200	649	606	1002	715	1317	660	670	1199	583	784	1269	902	1105	1070	899	650	630	771	846	1100	799	441	708	732	664	774	752	1257									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1008	25	25	22	26	44	24	19	21	27	63	41	30	4	4	35	33	76	31	120	14	10	10	30	43	37	22	24	12	4	34	13	36	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24437	709	921	686	591	756	327	875	977	758	1120	299	500	797	413	1181	698	522	364	810	587	840	858	699	611	863	1179	1031	780	764	802	713	712	694									
9	Число недействительных избирательных бюллетеней	792	25	24	33	19	27	12	21	22	20	20	5	21	11	10	27	24	10	13	33	27	22	26	27	25	29	84	40	19	18	19	29	26	24									
10	Число действительных избирательных бюллетеней	24653	709	922	675	598	773	339	873	976	765	1163	335	509	790	407	1189	707	588	382	897	574	828	842	702	629	871	1117	1015	773	750	817	697	722	719									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	855	30	25	20	25	25	20	40	40	40	40	20	10	40	30	20	20	20	20	25	23	25	27	25	25	35	25	25	25	25	25	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	575	27	25	11	9	20	5	7	22	13	21	6	2	27	23	18	18	16	15	25	14	24	27	17	12	27	16	22	21	22	20	12	11	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	395	19	4	8	19	6	8	17	5	3	18	5	11	17	9	9	7	8	6	19	12	10	9	45	20	12	12	11	6	20	14	12	4	10									
14	Число погашенных неиспользованных открепительных удостоверений	280	3	0	9	16	5	15	33	18	27	19	14	8	13	7	2	2	4	5	0	9	1	0	8	13	8	9	3	4	3	5	8	9	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	1	1	1	3	0	1	1	0	3	1	2	3	3	1	1	1	2	3	2	1	1	3	0	2	1	1	1	1	1	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	373	30	17	5	13	9	5	11	15	12	21	4	6	16	12	5	9	3	6	17	7	19	10	7	5	11	21	19	12	8	11	9	9	9									
		1.47%	4.09%	1.80%	0.71%	2.11%	1.13%	1.42%	1.23%	1.50%	1.53%	1.78%	1.18%	1.13%	1.99%	2.88%	0.41%	1.23%	0.50%	1.52%	1.83%	1.16%	2.24%	1.15%	0.96%	0.76%	1.22%	1.75%	1.80%	1.52%	1.04%	1.32%	1.24%	1.20%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	752	34	39	19	23	35	9	29	22	28	34	12	30	21	14	30	30	19	8	22	16	23	19	14	22	16	30	30	20	24	33	15	11	21									
		2.96%	4.63%	4.12%	2.68%	3.73%	4.38%	2.56%	3.24%	2.20%	3.57%	2.87%	3.53%	5.66%	2.62%	3.36%	2.47%	4.10%	3.18%	2.03%	2.37%	2.66%	2.71%	2.19%	1.92%	3.36%	1.78%	2.50%	2.84%	2.53%	3.13%	3.95%	2.07%	1.47%	2.83%									
