Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Бековская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232					
1	"Число избирателей, внесенных в списки"	15137	1606	2058	998	1013	1507	1355	350	428	544	206	320	281	216	125	452	452	395	620	668	888	311	344					
2	"Число бюллетеней, полученных участковыми комиссиями"	14985	1600	2050	970	990	1490	1330	345	425	545	210	320	280	215	130	460	440	395	615	665	880	300	330					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8223	957	1148	590	637	711	638	181	195	211	94	166	140	142	78	291	246	214	358	327	513	232	154					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2020	145	148	90	126	118	188	40	100	143	45	90	77	35	21	74	104	46	60	126	113	30	101					
6	Число погашенных бюллетеней	4742	498	754	290	227	661	504	124	130	191	71	64	63	38	31	95	90	135	197	212	254	38	75					
7	Число бюллетеней в переносных ящиках для голосования	2020	145	148	90	126	118	188	40	100	143	45	90	77	35	21	74	104	46	60	126	113	30	101					
8	Число бюллетеней в стационарных ящиках для голосования	8223	957	1148	590	637	711	638	181	195	211	94	166	140	142	78	291	246	214	358	327	513	232	154					
9	Число недействительных бюллетеней	257	15	19	7	35	52	25	1	6	7	2	6	4	1	0	10	8	5	2	10	34	4	4					
10	Число действительных бюллетеней	9986	1087	1277	673	728	777	801	220	289	347	137	250	213	176	99	355	342	255	416	443	592	258	251					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	30	27	13	8	19	17	4	5	7	3	4	3	3	2	8	6	5	8	9	11	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	91	26	23	5	1	4	2	0	3	0	0	2	1	0	1	8	2	2	2	0	6	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	2	11	14	5	2	4	1	2	3	1	1	2	2	3	2	1	2	3	4	5	3	5					
14	Число погашенных открепительных удостоверений	109	4	4	8	7	15	15	4	2	7	3	2	2	3	1	0	4	3	6	9	5	1	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	156	12	17	8	11	10	10	7	5	5	3	3	4	1	1	6	5	4	4	5	23	6	6					
		1.52%	1.08%	1.31%	1.17%	1.44%	1.20%	1.21%	3.16%	1.69%	1.41%	2.15%	1.17%	1.84%	0.56%	1.01%	1.64%	1.42%	1.53%	0.95%	1.10%	3.67%	2.29%	2.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	5	5	4	4	3	0	1	3	1	0	1	0	0	0	1	1	1	0	5	2	5	3					
		0.43%	0.45%	0.38%	0.58%	0.52%	0.36%	0.0%	0.45%	1.01%	0.28%	0.0%	0.39%	0.0%	0.0%	0.0%	0.27%	0.28%	0.38%	0.0%	1.10%	0.31%	1.90%	1.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	168	13	24	15	15	17	13	4	9	4	0	3	0	3	0	6	3	1	6	9	14	7	2					
		1.64%	1.17%	1.85%	2.20%	1.96%	2.05%	1.57%	1.80%	3.05%	1.12%	0.0%	1.17%	0.0%	1.69%	0.0%	1.64%	0.85%	0.38%	1.43%	1.98%	2.23%	2.67%	0.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	79	20	16	6	3	5	5	0	2	0	0	1	4	0	0	0	1	1	4	2	6	2	1					
		0.77%	1.81%	1.23%	0.88%	0.39%	0.60%	0.60%	0.0%	0.67%	0.0%	0.0%	0.39%	1.84%	0.0%	0.0%	0.0%	0.28%	0.38%	0.95%	0.44%	0.95%	0.76%	0.39%					
22	"5. ""За Русь Святую"""	45	3	4	2	2	2	6	3	2	1	0	1	0	0	0	1	1	3	2	5	4	3	0					
		0.43%	0.27%	0.30%	0.29%	0.26%	0.24%	0.72%	1.35%	0.67%	0.28%	0.0%	0.39%	0.0%	0.0%	0.0%	0.27%	0.28%	1.15%	0.47%	1.10%	0.63%	1.14%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	2	2	1	1	0	2	1	0	1	0	0	2	0	0	0	2	1	0	4	2	1	0					
		0.21%	0.18%	0.15%	0.14%	0.13%	0.0%	0.24%	0.45%	0.0%	0.28%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.57%	0.38%	0.0%	0.88%	0.31%	0.38%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	2	3	2	3	6	4	0	0	1	0	1	0	0	0	0	2	0	3	3	0	0	1					
		0.30%	0.18%	0.23%	0.29%	0.39%	0.72%	0.48%	0.0%	0.0%	0.28%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.71%	0.66%	0.0%	0.0%	0.39%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	2	0	0					
