Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Кировская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30381	2042	2315	1097	2129	1354	791	1544	1796	2204	2425	1195	1997	1849	397	376	262	206	184	122	755	233	192	193	1482	1746	310	252	321	311	84	217									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28275	2000	2100	1000	2000	1200	700	1400	1650	2000	2200	1100	1800	1700	400	400	250	200	175	125	700	225	200	200	1350	1650	325	250	350	300	100	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12295	930	754	417	895	446	251	596	795	799	827	459	663	656	158	163	104	155	101	63	244	116	105	118	829	927	182	137	157	130	52	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1544	154	64	26	52	95	174	36	48	63	124	6	50	69	66	42	38	11	30	17	87	23	18	43	8	6	32	28	29	33	20	52									
6	Число погашенных избирательных бюллетеней	14436	916	1282	557	1053	659	275	768	807	1138	1249	635	1087	975	176	195	108	34	44	45	369	86	77	39	513	717	111	85	164	137	28	107									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1544	154	64	26	52	95	174	36	48	63	124	6	50	69	66	42	38	11	30	17	87	23	18	43	8	6	32	28	29	33	20	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12295	930	754	417	895	446	251	596	795	799	827	459	663	656	158	163	104	155	101	63	244	116	105	118	829	927	182	137	157	130	52	66									
9	Число недействительных избирательных бюллетеней	242	16	14	6	19	9	8	10	17	15	8	9	12	21	1	0	3	1	0	0	6	0	5	0	23	20	6	2	2	2	0	7									
10	Число действительных избирательных бюллетеней	13597	1068	804	437	928	532	417	622	826	847	943	456	701	704	223	205	139	165	131	80	325	139	118	161	814	913	208	163	184	161	72	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1010	70	40	30	50	30	20	30	60	40	40	30	40	40	20	30	20	20	15	15	30	15	15	30	60	50	30	30	30	30	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	648	70	28	8	50	7	11	17	50	27	22	8	15	19	20	22	14	20	1	7	4	5	7	16	16	30	30	27	25	30	20	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	306	18	8	7	30	11	9	13	24	24	27	22	9	6	4	3	3	0	7	2	3	11	4	4	19	14	6	3	4	6	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	362	0	12	22	0	23	9	13	10	13	18	22	25	21	0	8	6	0	14	8	26	10	8	14	44	20	0	3	5	0	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	125	7	7	3	10	6	6	2	6	16	5	7	2	3	8	9	0	0	1	2	0	1	3	0	4	11	2	0	3	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	182	15	5	6	19	8	4	12	8	6	8	3	13	9	4	7	2	2	0	1	4	3	0	1	11	14	5	3	4	4	0	1									
		1.32%	1.38%	0.61%	1.35%	2.01%	1.48%	0.94%	1.90%	0.95%	0.70%	0.84%	0.65%	1.82%	1.24%	1.79%	3.41%	1.41%	1.20%	0.00%	1.25%	1.21%	2.16%	0.00%	0.62%	1.31%	1.50%	2.34%	1.82%	2.15%	2.45%	0.00%	0.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	439	28	29	12	32	19	15	17	39	37	30	20	13	29	12	2	9	5	3	2	14	5	1	1	22	11	6	9	4	7	2	4									
		3.17%	2.58%	3.55%	2.71%	3.38%	3.51%	3.53%	2.69%	4.63%	4.29%	3.15%	4.30%	1.82%	4.00%	5.36%	0.98%	6.34%	3.01%	2.29%	2.50%	4.23%	3.60%	0.81%	0.62%	2.63%	1.18%	2.80%	5.45%	2.15%	4.29%	2.78%	3.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	197	17	21	12	15	2	4	10	15	10	17	2	6	14	2	1	3	1	0	1	5	0	1	1	10	16	4	5	0	1	0	1									
		1.42%	1.57%	2.57%	2.71%	1.58%	0.37%	0.94%	1.58%	1.78%	1.16%	1.79%	0.43%	0.84%	1.93%	0.89%	0.49%	2.11%	0.60%	0.00%	1.25%	1.51%	0.00%	0.81%	0.62%	1.19%	1.71%	1.87%	3.03%	0.00%	0.61%	0.00%	0.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6379	452	319	170	372	264	214	266	350	347	436	187	335	295	117	131	65	98	86	46	182	89	74	112	391	423	141	86	117	95	46	73									
		46.09%	41.70%	38.99%	38.37%	39.28%	48.80%	50.35%	42.09%	41.52%	40.26%	45.85%	40.22%	46.98%	40.69%	52.23%	63.90%	45.77%	59.04%	65.65%	57.50%	54.98%	64.03%	60.16%	69.57%	46.71%	45.34%	65.89%	52.12%	62.90%	58.28%	63.89%	61.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	6	5	0	8	3	0	5	3	4	6	0	0	9	1	0	1	1	0	1	3	0	0	0	10	10	0	2	0	0	0	0									
		0.56%	0.55%	0.61%	0.00%	0.84%	0.55%	0.00%	0.79%	0.36%	0.46%	0.63%	0.00%	0.00%	1.24%	0.45%	0.00%	0.70%	0.60%	0.00%	1.25%	0.91%	0.00%	0.00%	0.00%	1.19%	1.07%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	0	0	0	2	1	1	4	2	1	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.37%	0.24%	0.16%	0.47%	0.23%	0.11%	0.00%	0.14%	0.28%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.47%	0.61%	0.54%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2089	143	130	46	137	74	73	64	129	135	109	63	93	106	36	18	23	27	10	6	47	14	7	16	205	272	16	32	15	20	12	11									
		15.10%	13.19%	15.89%	10.38%	14.47%	13.68%	17.18%	10.13%	15.30%	15.66%	11.46%	13.55%	13.04%	14.62%	16.07%	8.78%	16.20%	16.27%	7.63%	7.50%	14.20%	10.07%	5.69%	9.94%	24.49%	29.15%	7.48%	19.39%	8.06%	12.27%	16.67%	9.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	55	4	5	1	2	4	0	3	4	7	4	3	1	0	0	2	2	0	0	1	0	0	0	2	5	5	0	0	0	0	0	0									
		0.40%	0.37%	0.61%	0.23%	0.21%	0.74%	0.00%	0.47%	0.47%	0.81%	0.42%	0.65%	0.14%	0.00%	0.00%	0.98%	1.41%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	1.24%	0.60%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	82	9	2	5	7	0	0	7	6	2	3	2	9	3	2	1	3	0	0	1	1	1	0	1	4	8	3	0	0	1	0	1									
		0.59%	0.83%	0.24%	1.13%	0.74%	0.00%	0.00%	1.11%	0.71%	0.23%	0.32%	0.43%	1.26%	0.41%	0.89%	0.49%	2.11%	0.00%	0.00%	1.25%	0.30%	0.72%	0.00%	0.62%	0.48%	0.86%	1.40%	0.00%	0.00%	0.61%	0.00%	0.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	3	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0									
		0.09%	0.28%	0.12%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.12%	0.00%	0.22%	0.00%	0.14%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	104	10	5	4	8	3	0	5	15	4	7	1	6	5	3	0	0	0	0	0	1	1	0	1	15	7	0	1	1	1	0	0									
		0.75%	0.92%	0.61%	0.90%	0.84%	0.55%	0.00%	0.79%	1.78%	0.46%	0.74%	0.22%	0.84%	0.69%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.72%	0.00%	0.62%	1.79%	0.75%	0.00%	0.61%	0.54%	0.61%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3095	295	217	140	245	127	90	196	211	244	249	122	182	146	42	38	25	27	32	18	56	23	34	18	93	85	25	20	37	30	11	17									
		22.36%	27.21%	26.53%	31.60%	25.87%	23.48%	21.18%	31.01%	25.03%	28.31%	26.18%	26.24%	25.53%	20.14%	18.75%	18.54%	17.61%	16.27%	24.43%	22.50%	16.92%	16.55%	27.64%	11.18%	11.11%	9.11%	11.68%	12.12%	19.89%	18.40%	15.28%	14.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	12	1	5	2	2	0	2	0	1	1	0	5	2	0	0	1	0	0	0	1	0	0	0	3	9	0	0	2	0	0	2									
		0.37%	1.11%	0.12%	1.13%	0.21%	0.37%	0.00%	0.32%	0.00%	0.12%	0.11%	0.00%	0.70%	0.28%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.36%	0.96%	0.00%	0.00%	1.08%	0.00%	0.00%	1.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	813	74	64	36	81	24	16	33	42	47	72	52	37	83	3	5	5	3	0	3	10	3	1	8	41	53	7	4	3	1	1	1									
		5.87%	6.83%	7.82%	8.13%	8.55%	4.44%	3.76%	5.22%	4.98%	5.45%	7.57%	11.18%	5.19%	11.45%	1.34%	2.44%	3.52%	1.81%	0.00%	3.75%	3.02%	2.16%	0.81%	4.97%	4.90%	5.68%	3.27%	2.42%	1.61%	0.61%	1.39%	0.85%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
