Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Момская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340					
1	"Число избирателей, внесенных в списки избирателей"	2721	1528	88	260	178	122	395	150					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2700	1397	95	316	207	122	416	147					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	107	2	0	20	3	15	62	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2111	1133	78	218	152	104	290	136					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	164	104	7	15	18	2	15	3					
6	Число погашенных избирательных бюллетеней	318	158	10	63	34	1	49	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	271	106	7	35	21	17	77	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2111	1133	78	218	152	104	290	136					
9	Число недействительных избирательных бюллетеней	3	2	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	2379	1237	84	253	173	121	367	144					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	96	38	0	18	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	78	36	0	18	7	3	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	15	9	0	1	1	1	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	18	2	0	0	3	7	5	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	4	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	44	15	1	5	9	1	12	1					
		1.85%	1.21%	1.18%	1.98%	5.20%	0.83%	3.27%	0.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	7	0	1	0	1	0	0					
		0.38%	0.56%	0.00%	0.40%	0.00%	0.83%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	262	141	4	29	16	8	51	13					
		10.99%	11.38%	4.71%	11.46%	9.25%	6.61%	13.90%	9.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	16	13	0	0	0	1	1	1					
		0.67%	1.05%	0.00%	0.00%	0.00%	0.83%	0.27%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	4	3	0	1	0	0	0	0					
		0.17%	0.24%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	74	39	1	11	6	5	7	5					
		3.11%	3.15%	1.18%	4.35%	3.47%	4.13%	1.91%	3.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	323	200	4	20	24	20	41	14					
		13.56%	16.14%	4.71%	7.91%	13.87%	16.53%	11.17%	9.72%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	10	4	0	2	3	0	1	0					
		0.42%	0.32%	0.00%	0.79%	1.73%	0.00%	0.27%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1625	808	73	183	113	85	254	109					
		68.22%	65.21%	85.88%	72.33%	65.32%	70.25%	69.21%	75.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	7	1	1	2	0	0	1					
		0.50%	0.56%	1.18%	0.40%	1.16%	0.00%	0.00%	0.69%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
