Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Малопургинская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24932	308	1311	1388	1610	1545	267	246	604	282	1092	813	1106	592	167	450	262	259	541	309	985	561	313	784	375	566	262	885	146	370	952	392	362	567	165	308	300	112	668	107	275	566	327	1078	354									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25237	307	1313	1398	1622	1550	276	247	601	280	1095	819	1130	583	164	458	265	261	544	315	995	565	315	789	382	585	283	895	151	369	955	396	360	567	167	316	315	119	739	115	276	580	334	1089	352									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14445	183	735	742	950	830	156	141	396	146	423	401	550	312	104	261	140	150	413	180	552	278	183	493	231	356	179	405	115	191	577	239	152	267	127	192	219	105	451	85	236	417	269	678	235									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	792	20	15	10	11	8	15	10	12	14	42	17	74	8	0	3	8	2	24	22	47	24	15	6	13	17	12	29	6	48	15	20	34	14	0	5	17	5	63	11	7	16	3	31	19									
6	Число погашенных избирательных бюллетеней	10000	104	563	646	661	712	105	96	193	120	630	401	506	263	60	194	117	109	107	113	396	263	117	290	138	212	92	461	30	130	363	137	174	286	40	119	79	9	225	19	33	147	62	380	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	792	20	15	10	11	8	15	10	12	14	42	17	74	8	0	3	8	2	24	22	47	24	15	6	13	17	12	29	6	48	15	20	34	14	0	5	17	5	63	11	7	16	3	31	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14427	183	734	741	950	830	156	141	396	146	423	401	539	312	104	261	140	150	413	180	552	278	182	493	231	356	179	405	114	191	574	239	152	267	127	192	219	105	451	85	236	417	269	678	235									
9	Число недействительных избирательных бюллетеней	338	6	22	18	26	14	1	3	11	7	21	27	18	7	1	7	0	5	10	3	13	10	7	5	7	2	5	5	7	1	19	4	1	10	0	4	0	1	3	0	2	10	4	4	7									
10	Число действительных избирательных бюллетеней	14881	197	727	733	935	824	170	148	397	153	444	391	595	313	103	257	148	147	427	199	586	292	190	494	237	371	186	429	113	238	570	255	185	271	127	193	236	109	511	96	241	423	268	705	247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	597	8	13	18	23	18	8	8	13	8	13	33	18	8	8	13	8	8	8	8	18	8	8	13	8	13	23	13	8	8	13	8	8	8	8	13	13	18	73	13	8	18	13	13	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	338	3	5	11	12	12	2	1	2	1	11	5	13	1	0	2	1	0	5	4	8	4	1	4	4	13	20	9	8	0	4	8	2	1	4	10	13	11	73	11	5	16	9	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	6	2	3	4	5	1	3	1	3	6	4	6	3	1	1	1	1	7	0	4	2	3	2	2	1	2	4	1	1	0	3	2	1	1	1	0	2	5	5	1	5	5	5	5									
14	Число погашенных неиспользованных открепительных удостоверений	259	5	8	7	11	6	6	7	11	7	2	28	5	7	8	11	7	8	3	4	10	4	7	9	4	0	3	4	0	8	9	0	6	7	4	3	0	7	0	2	3	2	4	6	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	2	9	2	4	1	0	0	1	2	6	1	6	0	0	2	0	0	1	0	2	1	1	5	1	2	2	1	1	0	9	1	1	1	0	0	1	1	4	1	1	3	1	2	1									
		0.53%	0.99%	1.20%	0.27%	0.42%	0.12%	0.00%	0.00%	0.25%	1.25%	1.29%	0.24%	0.98%	0.00%	0.00%	0.76%	0.00%	0.00%	0.23%	0.00%	0.33%	0.33%	0.51%	1.00%	0.41%	0.54%	1.05%	0.23%	0.83%	0.00%	1.53%	0.39%	0.54%	0.36%	0.00%	0.00%	0.42%	0.91%	0.78%	1.04%	0.41%	0.69%	0.37%	0.28%	0.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	499	9	29	29	18	38	2	4	8	6	11	14	26	17	4	12	5	5	11	5	15	13	13	14	3	9	3	12	3	8	22	12	5	10	5	5	6	1	17	1	2	21	14	22	10									
		3.28%	4.43%	3.87%	3.86%	1.87%	4.53%	1.17%	2.65%	1.96%	3.75%	2.37%	3.35%	4.24%	5.31%	3.85%	4.55%	3.38%	3.29%	2.52%	2.48%	2.50%	4.30%	6.60%	2.81%	1.23%	2.41%	1.57%	2.76%	2.50%	3.35%	3.74%	4.63%	2.69%	3.56%	3.94%	2.54%	2.54%	0.91%	3.31%	1.04%	0.82%	4.85%	5.15%	3.10%	3.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	161	2	3	9	11	13	1	3	1	5	10	7	8	3	2	2	2	3	1	0	4	3	1	6	3	4	2	8	0	7	4	2	4	5	0	1	3	0	6	0	0	6	1	4	1									
		1.06%	0.99%	0.40%	1.20%	1.14%	1.55%	0.58%	1.99%	0.25%	3.13%	2.15%	1.67%	1.31%	0.94%	1.92%	0.76%	1.35%	1.97%	0.23%	0.00%	0.67%	0.99%	0.51%	1.20%	1.23%	1.07%	1.05%	1.84%	0.00%	2.93%	0.68%	0.77%	2.15%	1.78%	0.00%	0.51%	1.27%	0.00%	1.17%	0.00%	0.00%	1.39%	0.37%	0.56%	0.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9342	134	378	425	541	445	111	79	216	97	242	221	337	159	71	131	100	96	304	136	335	196	138	265	142	246	140	285	97	179	366	174	118	161	102	144	177	97	365	71	188	276	192	506	159									
		61.38%	66.01%	50.47%	56.59%	56.30%	53.10%	64.91%	52.32%	52.94%	60.63%	52.04%	52.87%	54.98%	49.69%	68.27%	49.62%	67.57%	63.16%	69.57%	67.33%	55.93%	64.90%	70.05%	53.11%	58.20%	65.95%	73.30%	65.67%	80.83%	74.90%	62.14%	67.18%	63.44%	57.30%	80.31%	73.10%	75.00%	88.18%	71.01%	73.96%	77.37%	63.74%	70.59%	71.37%	62.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	0	1	6	4	5	0	1	2	0	1	1	4	1	0	1	0	0	3	0	3	2	2	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0	2	1	1	1									
		0.32%	0.00%	0.13%	0.80%	0.42%	0.60%	0.00%	0.66%	0.49%	0.00%	0.22%	0.24%	0.65%	0.31%	0.00%	0.38%	0.00%	0.00%	0.69%	0.00%	0.50%	0.66%	1.02%	0.00%	0.00%	0.27%	0.52%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.19%	0.00%	0.00%	0.46%	0.37%	0.14%	0.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	0	1	3	3	0	0	0	2	1	2	1	2	1	0	1	0	0	2	0	0	2	1	0	0	1	0	2	0	0	1	1	3	1	0	1	0	0	0	0	0	0	0	1	0									
		0.22%	0.00%	0.13%	0.40%	0.31%	0.00%	0.00%	0.00%	0.49%	0.63%	0.43%	0.24%	0.33%	0.31%	0.00%	0.38%	0.00%	0.00%	0.46%	0.00%	0.00%	0.66%	0.51%	0.00%	0.00%	0.27%	0.00%	0.46%	0.00%	0.00%	0.17%	0.39%	1.61%	0.36%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1145	11	50	55	79	77	11	17	31	5	74	43	77	18	8	19	9	7	32	5	52	22	12	55	21	33	12	37	5	11	33	20	17	29	5	8	8	3	42	1	18	24	9	24	16									
		7.52%	5.42%	6.68%	7.32%	8.22%	9.19%	6.43%	11.26%	7.60%	3.13%	15.91%	10.29%	12.56%	5.63%	7.69%	7.20%	6.08%	4.61%	7.32%	2.48%	8.68%	7.28%	6.09%	11.02%	8.61%	8.85%	6.28%	8.53%	4.17%	4.60%	5.60%	7.72%	9.14%	10.32%	3.94%	4.06%	3.39%	2.73%	8.17%	1.04%	7.41%	5.54%	3.31%	3.39%	6.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	1	3	3	3	2	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	2	2	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0									
