Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Алтайская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577					
1	"Число избирателей, внесенных в список"	20122	421	1745	795	2678	1781	1438	594	1480	997	850	1108	412	1645	237	216	295	320	219	260	882	902	60	418	369					
2	Число полученных избирательных бюллетеней	18660	350	1700	650	2400	1500	1300	500	1350	1600	750	1000	350	1500	200	200	250	300	200	250	750	800	60	400	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12609	266	921	426	1644	1021	797	394	860	953	601	624	312	982	191	162	203	242	169	143	565	537	53	296	247					
5	"Число избирательных бюллетеней, выданных вне помещения"	866	16	50	42	90	118	26	52	54	44	43	33	23	51	4	2	11	25	4	41	19	86	0	20	12					
6	Число погашенных избирательных бюллетеней	5185	68	729	182	666	361	477	54	436	603	106	343	15	467	5	36	36	33	27	66	166	177	7	84	41					
7	Число избирательных бюллетеней в переносных ящиках	866	16	50	42	90	118	26	52	54	44	43	33	23	51	4	2	11	25	4	41	19	86	0	20	12					
8	Число бюллетеней в стационарных ящиках для голосования	12592	266	918	426	1641	1014	797	394	860	953	598	624	312	982	191	162	203	242	169	143	565	537	53	295	247					
9	Число недействительных избирательных бюллетеней	132	0	6	3	5	3	9	0	16	13	11	5	4	9	3	4	5	2	3	2	10	8	0	3	8					
10	Число действительных избирательных бюллетеней	13326	282	962	465	1726	1129	814	446	898	984	630	652	331	1024	192	160	209	265	170	182	574	615	53	312	251					
11	Число полученных открепительных  удостоверений	296	4	22	10	33	28	20	10	17	25	10	20	8	30	5	3	5	9	3	3	10	10	1	6	4					
12	Число выданных открепительных удостоверений	115	1	17	4	28	22	5	0	3	7	0	7	3	6	0	0	0	9	0	0	0	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	1	3	1	6	11	1	0	0	4	2	5	4	12	5	8	5	7	4	0	1	8	0	4	6					
14	Число неиспользованных открепительных удостоверений	181	3	5	6	5	6	15	10	14	18	10	13	5	24	5	3	5	0	3	3	10	10	1	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	460	11	25	13	68	44	43	10	35	38	11	25	5	43	4	6	2	11	3	6	18	20	1	13	5					
		3.42%	3.90%	2.58%	2.78%	3.93%	3.89%	5.22%	2.24%	3.83%	3.81%	1.72%	3.81%	1.49%	4.16%	2.05%	3.66%	0.93%	4.12%	1.73%	3.26%	3.08%	3.21%	1.89%	4.13%	1.93%					
19	. Малышкин Олег Александрович	344	4	22	14	34	28	16	13	28	24	25	27	3	32	2	9	5	4	5	3	16	15	0	10	5					
		2.56%	1.42%	2.27%	2.99%	1.96%	2.47%	1.94%	2.91%	3.06%	2.41%	3.90%	4.11%	0.90%	3.10%	1.03%	5.49%	2.34%	1.50%	2.89%	1.63%	2.74%	2.41%	0.00%	3.17%	1.93%					
20	. Миронов Сергей Михайлович	94	2	3	2	10	7	4	2	3	8	6	7	1	5	1	2	2	1	1	1	8	5	3	7	3					
		0.70%	0.71%	0.31%	0.43%	0.58%	0.62%	0.49%	0.45%	0.33%	0.80%	0.94%	1.07%	0.30%	0.48%	0.51%	1.22%	0.93%	0.37%	0.58%	0.54%	1.37%	0.80%	5.66%	2.22%	1.16%					
21	. Путин Владимир Владимирович	9809	192	753	338	1305	856	615	345	693	581	412	448	286	773	147	121	152	210	130	127	411	431	32	232	219					
		72.89%	68.09%	77.79%	72.22%	75.39%	75.62%	74.73%	77.35%	75.82%	58.27%	64.27%	68.19%	85.37%	74.83%	75.38%	73.78%	71.03%	78.65%	75.14%	69.02%	70.38%	69.18%	60.38%	73.65%	84.56%					
22	. Хакамада Ирина Муцуовна	214	4	21	10	42	22	9	7	19	20	8	5	3	15	8	1	1	0	0	3	4	8	0	3	1					
		1.59%	1.42%	2.17%	2.14%	2.43%	1.94%	1.09%	1.57%	2.08%	2.01%	1.25%	0.76%	0.90%	1.45%	4.10%	0.61%	0.47%	0.00%	0.00%	1.63%	0.68%	1.28%	0.00%	0.95%	0.39%					
23	. Харитонов Николай Михайлович	2216	66	122	81	236	157	108	62	107	299	161	136	31	141	25	20	44	36	26	38	114	132	14	45	15					
		16.47%	23.40%	12.60%	17.31%	13.63%	13.87%	13.12%	13.90%	11.71%	29.99%	25.12%	20.70%	9.25%	13.65%	12.82%	12.20%	20.56%	13.48%	15.03%	20.65%	19.52%	21.19%	26.42%	14.29%	5.79%					
																															
24	Против всех	189	3	16	7	31	15	19	7	13	14	7	4	2	15	5	1	3	3	5	4	3	4	3	2	3					
		1.40%	1.06%	1.65%	1.50%	1.79%	1.33%	2.31%	1.57%	1.42%	1.40%	1.09%	0.61%	0.60%	1.45%	2.56%	0.61%	1.40%	1.12%	2.89%	2.17%	0.51%	0.64%	5.66%	0.63%	1.16%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
