Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
1	"Число избирателей, внесенных в список избирателей"	134331	1906	1463	1843	1456	2229	2477	1482	1309	1568	982	1988	1489	2112	1133	373	2081	1147	1905	2264	2725	2543	2562	2335	1968	3177	1677	1886	2059	1818	2658	1645	2017	2770	2436	1753	1776	2205	1570	987	1022	1666	2039	2227	2690	2665	1294	1724	2736	1965	2588	2818	1988	2403	2290	2837	1984	211	1355	2075	2445	2465	2507	2636	3377	1402	2390	1513	104	1032	109					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	119502	1650	1250	1560	1260	1910	2200	1220	1100	1320	906	2090	1280	1810	1060	400	1810	1800	1770	2090	2400	2430	2180	1980	1680	2720	1530	1620	1790	1560	2290	1370	1810	2500	2070	1510	1530	1900	1620	916	900	1400	1760	1880	2300	2280	1110	1960	2340	1630	2160	2580	1670	2060	2290	2430	1790	220	1160	1770	2230	2120	2140	2390	3100	1170	2060	1390	200	920	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	102335	1578	956	755	527	1597	1932	1183	652	814	563	1935	1155	1470	958	368	1129	971	1583	1929	2286	2245	2137	1695	830	2567	1406	1549	1698	1524	2227	1124	1529	2096	2036	1401	1436	1613	1554	716	740	814	1728	1734	1785	1785	878	1469	2289	1564	1426	2507	1549	1963	2268	1925	1218	179	1048	1626	2106	1814	2086	2219	3056	915	1569	1291	67	884	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2042	10	17	18	79	70	30	5	8	43	13	53	42	23	23	0	31	33	17	42	40	25	18	33	25	25	22	30	54	36	61	28	26	37	31	18	20	30	16	11	16	21	20	53	67	27	42	65	40	19	26	12	15	42	22	11	44	32	31	48	48	3	28	30	0	15	39	26	36	21	0					
6	Число погашенных избирательных бюллетеней	15160	62	277	787	654	243	238	32	440	456	330	102	83	317	66	32	650	796	170	119	74	160	25	252	821	128	102	41	38	0	2	218	254	367	3	91	74	257	50	189	144	565	12	93	448	468	190	491	11	47	708	61	106	55	0	494	528	9	81	96	76	303	26	141	44	240	447	73	97	15	91					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2042	10	17	18	79	70	30	5	8	43	13	53	42	23	23	0	31	33	17	42	40	25	18	33	25	25	22	30	54	36	61	28	26	37	31	18	20	30	16	11	16	21	20	53	67	27	42	65	40	19	26	12	15	42	22	11	44	32	31	48	48	3	28	30	0	15	39	26	36	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	102122	1578	956	740	527	1597	1932	1183	652	812	563	1925	1155	1470	958	367	1121	971	1582	1900	2286	2245	2137	1695	830	2567	1406	1549	1657	1524	2227	1124	1529	2096	2036	1401	1436	1613	1554	716	740	812	1728	1734	1785	1785	878	1404	2289	1564	1426	2507	1549	1963	2268	1925	1218	179	1048	1626	2106	1814	2086	2219	3056	915	1530	1291	67	884	109					
9	Число недействительных избирательных бюллетеней	1121	0	19	11	7	32	3	23	21	7	7	28	0	24	5	7	27	14	12	63	0	25	3	21	16	32	1	11	0	47	0	0	22	24	7	17	8	5	9	14	2	14	2	22	27	17	66	26	0	24	22	15	29	5	21	10	21	5	30	13	8	31	11	32	12	14	29	33	3	4	1					
10	Число действительных избирательных бюллетеней	103043	1588	954	747	599	1635	1959	1165	639	848	569	1950	1197	1469	976	360	1125	990	1587	1879	2326	2245	2152	1707	839	2560	1427	1568	1711	1513	2288	1152	1533	2109	2060	1402	1448	1638	1561	713	754	819	1746	1765	1825	1795	854	1443	2329	1559	1430	2504	1535	2000	2269	1926	1241	206	1049	1661	2146	1786	2103	2217	3044	916	1540	1284	100	901	108					
