Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в списки избирателей"	138833	2054	1578	1875	1379	2096	2373	1351	1269	1575	1019	2273	1583	1835	1163	347	2202	2201	1928	2367	2164	2419	2780	2042	2871	2125	1630	2104	2130	1863	1527	2784	1711	2113	3106	2566	1882	1868	2296	1835	862	1086	2368	2298	1117	2880	2711	1324	2066	2884	1826	2914	2990	2480	1789	2967	2912	1091	273	1468	2217	2592	2011	2303	2764	2779	1528	2393	1369	140	187	1452	317	191					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	126250	1840	1420	1660	1300	1890	2150	1160	1080	1410	870	2030	1420	1650	1050	400	1990	1980	1720	2100	1900	2160	2490	1860	2580	1890	1470	1940	1940	1660	1380	2470	1520	1890	2560	2270	1690	1680	2100	1630	920	1000	2180	2030	1000	2550	2450	1210	1890	2590	1580	2600	2760	2160	1590	2670	2630	980	300	1300	1930	2330	2030	2270	2500	2630	1380	2170	1260	300	300	1700	460	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	113520	1766	1295	1568	1140	1797	1946	1116	1040	1290	812	1823	1327	1602	961	347	1714	1779	1547	1986	1841	1939	2252	1632	2399	1770	1359	1771	1644	1514	1268	2334	1333	1854	2427	2210	1553	1455	2018	1349	853	829	1951	1824	867	2228	2185	1045	1632	2265	1473	2362	2705	2027	1462	2432	2396	848	271	1110	1758	1911	1721	2161	2160	2456	1351	1925	1093	130	130	768	285	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3102	17	48	22	48	43	74	7	36	42	11	43	47	32	33	0	81	26	37	44	43	24	27	28	20	37	26	84	70	56	45	48	36	15	65	22	22	21	34	27	9	15	25	32	21	71	85	29	33	45	16	39	18	24	23	38	7	24	0	22	39	65	5	39	60	6	13	47	41	0	57	642	8	63					
6	Число погашенных избирательных бюллетеней	9628	57	77	70	112	50	130	37	4	78	47	164	46	16	56	53	195	175	136	70	16	197	211	200	161	83	85	85	226	90	67	88	151	21	68	38	115	204	48	254	58	156	204	174	112	251	180	136	225	280	91	199	37	109	105	200	227	108	29	168	133	354	304	70	280	168	16	198	126	170	113	290	167	209					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3102	17	48	22	48	43	74	7	36	42	11	43	47	32	33	0	81	26	37	44	43	24	27	28	20	37	26	84	70	56	45	48	36	15	65	22	22	21	34	27	9	15	25	32	21	71	85	29	33	45	16	39	18	24	23	38	7	24	0	22	39	65	5	39	60	6	13	47	41	0	57	642	8	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	113462	1766	1295	1562	1140	1797	1946	1116	1040	1290	812	1823	1327	1602	961	347	1714	1779	1547	1986	1841	1939	2252	1632	2399	1770	1359	1771	1644	1514	1264	2334	1333	1854	2407	2210	1553	1455	2018	1349	853	829	1951	1824	866	2228	2185	1045	1608	2265	1473	2362	2705	2027	1462	2432	2396	848	271	1110	1758	1911	1721	2161	2160	2456	1351	1925	1093	128	130	767	285	128					
9	Число недействительных избирательных бюллетеней	826	3	9	6	0	17	6	10	3	9	5	26	0	3	0	0	13	6	8	9	4	22	9	11	12	7	13	17	12	21	9	20	5	15	20	0	9	10	0	17	11	11	64	9	7	17	4	2	3	0	13	20	19	40	8	10	0	0	0	4	1	9	2	14	27	20	4	12	113	6	3	3	2	2					
10	Число действительных избирательных бюллетеней	115738	1780	1334	1578	1188	1823	2014	1113	1073	1323	818	1840	1374	1631	994	347	1782	1799	1576	2021	1880	1941	2270	1649	2407	1800	1372	1838	1702	1549	1300	2362	1364	1854	2452	2232	1566	1466	2052	1359	851	833	1912	1847	880	2282	2266	1072	1638	2310	1476	2381	2704	2011	1477	2460	2403	872	271	1128	1796	1967	1724	2186	2193	2442	1360	1960	1021	122	184	1406	291	189					
