Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Предгорная																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82169	2796	1581	1425	2094	2310	2511	2907	2864	3091	2830	2932	2959	780	1126	581	2676	1503	1461	1232	1652	1450	1031	2159	1745	399	275	293	2801	2550	2425	1224	1754	877	2912	1586	1032	319	306	462	650	1214	1413	1735	2621	2576	1764	1471	1814									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77425	2650	1500	1375	2000	2175	2375	2675	2625	2925	2650	2725	2725	750	1000	525	2550	1425	1375	1150	1550	1375	1000	2050	1650	375	250	275	2625	2375	2275	1125	1625	825	2725	1750	1000	275	275	500	600	1150	1250	1650	2475	2400	1650	1450	1725									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24239	775	465	349	498	620	634	929	965	927	748	800	910	233	510	68	905	379	473	188	437	514	325	501	508	102	116	67	672	540	437	162	1398	204	1083	557	710	231	224	211	179	246	193	385	730	532	317	580	702									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2989	147	89	217	110	87	168	15	18	83	28	60	21	46	74	68	24	100	78	21	20	41	22	52	58	7	7	18	115	86	143	124	106	42	137	24	25	19	25	35	29	28	144	45	16	29	43	46	49									
6	Число погашенных избирательных бюллетеней	50196	1728	946	809	1392	1468	1573	1731	1642	1915	1874	1865	1794	471	416	389	1621	946	824	941	1093	820	653	1497	1084	266	127	190	1838	1749	1695	839	121	579	1505	1169	265	25	26	254	392	875	913	1220	1729	1839	1290	824	974									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2989	147	89	217	110	87	168	15	18	83	28	60	21	46	74	68	24	100	78	21	20	41	22	52	58	7	7	18	115	86	143	124	106	42	137	24	25	19	25	35	29	28	144	45	16	29	43	46	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24237	775	465	349	498	620	634	928	965	927	748	800	910	233	510	68	905	379	473	188	437	513	325	501	508	102	116	67	672	540	437	162	1398	204	1083	557	710	231	224	211	179	246	193	385	730	532	317	580	702									
9	Число недействительных избирательных бюллетеней	911	8	15	11	17	23	21	33	37	44	63	56	36	13	13	4	37	14	20	9	9	10	8	20	19	8	2	2	62	16	19	11	8	9	57	32	0	1	3	0	9	12	8	10	22	11	16	28	25									
10	Число действительных избирательных бюллетеней	26315	914	539	555	591	684	781	910	946	966	713	804	895	266	571	132	892	465	531	200	448	544	339	533	547	101	121	83	725	610	561	275	1496	237	1163	549	735	249	246	246	199	262	329	420	724	550	344	598	726									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	422	8	10	7	6	23	7	22	12	15	7	14	11	8	2	3	7	5	5	7	12	25	18	24	14	0	0	0	12	7	7	6	6	2	7	6	8	0	1	5	5	2	2	17	18	7	19	6	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	352	8	10	7	6	20	7	21	12	15	7	12	10	8	0	1	7	3	2	7	12	16	13	23	14	0	0	0	12	5	6	3	2	2	3	6	8	0	0	5	2	0	0	9	17	7	11	6	7									
