Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																	
																																																																																																	
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217					
1	"Число избирателей, внесенных в списки"	168305	2136	2038	3014	826	1621	869	2848	2786	2390	1348	2524	1938	1203	681	2500	2654	1866	1877	1094	1214	2386	1462	1731	1378	1806	2562	1747	2356	2981	2502	2095	1452	2730	1016	2251	1173	848	71	252	41	1865	3045	1304	2550	2145	1246	924	693	2855	1237	995	2390	2277	269	1762	2779	1057	2505	2590	1875	926	2754	2560	1702	2283	1812	2070	1925	2964	2714	2212	1953	1439	1225	1377	880	1343	1405	2735	2126	1504	2591	2933	2980	3150	2211	1207	2165	2887	1642					
2	"Число бюллетеней, полученных участковыми комиссиями"	158300	2050	1500	3000	700	1550	800	2650	2550	2250	1300	2300	2000	1150	600	2400	2450	1800	1800	1000	1100	2300	1300	1700	1300	1700	2500	1600	2250	2800	2600	2100	1400	2500	1000	2300	1150	1000	100	200	50	1700	3000	1200	2450	2700	1150	850	600	2700	1150	800	2100	2100	250	1500	2600	1000	2400	2400	1800	850	2350	2400	1550	2500	1750	1700	1800	2800	2550	2050	1850	1350	1150	1200	800	1200	1350	2500	1900	1350	2300	2800	2600	2700	2100	1150	2150	2700	1600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	75950	771	967	1316	402	993	352	1198	1220	1154	628	1108	785	571	264	1050	1025	763	766	363	446	829	472	1051	651	894	1295	919	1091	1449	1252	998	711	1356	500	1072	530	845	61	189	41	758	1495	642	1201	1533	560	364	226	1091	467	507	1179	1021	95	957	1301	600	1307	1272	996	434	1216	1142	763	1188	825	997	647	1166	1128	855	801	491	494	495	311	523	555	1191	1122	557	994	1319	767	1427	919	628	1098	1337	640					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2412	21	167	37	20	24	36	30	23	59	23	75	5	14	3	9	30	21	11	13	21	18	103	17	18	11	29	22	18	24	26	23	13	8	14	86	82	0	10	0	0	13	23	17	23	0	7	12	21	30	24	29	14	17	3	28	22	18	24	45	16	24	53	14	16	50	10	57	17	36	17	22	33	22	14	51	8	9	20	12	108	9	39	72	3	38	20	19	14	29	26					
6	Число погашенных бюллетеней	79938	1258	366	1647	278	533	412	1422	1307	1037	649	1117	1210	565	333	1341	1395	1016	1023	624	633	1453	725	632	631	795	1176	659	1141	1327	1322	1079	676	1136	486	1142	538	155	29	11	9	929	1482	541	1226	1167	583	474	353	1579	659	264	907	1062	152	515	1277	382	1069	1083	788	392	1081	1244	771	1262	915	646	1136	1598	1405	1173	1016	837	642	654	481	668	775	1297	670	784	1267	1409	1830	1235	1161	503	1038	1334	934					
7	Число бюллетеней в переносных ящиках для голосования	2412	21	167	37	20	24	36	30	23	59	23	75	5	14	3	9	30	21	11	13	21	18	103	17	18	11	29	22	18	24	26	23	13	8	14	86	82	0	10	0	0	13	23	17	23	0	7	12	21	30	24	29	14	17	3	28	22	18	24	45	16	24	53	14	16	50	10	57	17	36	17	22	33	22	14	51	8	9	20	12	108	9	39	72	3	38	20	19	14	29	26					
8	Число бюллетеней в стационарных ящиках для голосования	75864	771	967	1314	402	991	352	1197	1217	1153	627	1107	785	571	263	1047	1017	763	766	363	446	829	472	1048	651	894	1295	917	1091	1449	1236	997	711	1355	500	1067	528	845	61	189	41	757	1495	642	1201	1529	560	364	226	1091	467	507	1175	1021	95	957	1299	600	1307	1269	996	434	1215	1132	763	1188	825	997	647	1166	1128	855	801	491	493	495	310	523	555	1191	1122	555	994	1318	767	1425	919	628	1098	1336	640					
9	Число недействительных бюллетеней	650	11	12	11	2	4	2	12	8	8	1	17	8	3	5	11	9	7	13	2	6	9	11	10	8	11	8	7	9	7	0	6	4	5	4	6	8	15	5	6	0	7	11	9	3	10	7	4	3	3	4	5	7	5	2	13	5	8	9	9	8	4	11	8	5	12	7	10	9	13	17	8	22	4	3	8	1	3	4	4	6	0	7	14	0	7	5	11	6	16	2					
10	Число действительных бюллетеней	77626	781	1122	1340	420	1011	386	1215	1232	1204	649	1165	782	582	261	1045	1038	777	764	374	461	838	564	1055	661	894	1316	932	1100	1466	1262	1014	720	1358	510	1147	602	830	66	183	41	763	1507	650	1221	1519	560	372	244	1118	487	531	1182	1033	96	972	1316	610	1322	1305	1004	454	1257	1138	774	1226	828	1044	655	1189	1128	869	812	509	504	538	317	529	571	1199	1224	564	1026	1376	770	1456	934	636	1106	1349	664					
