Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
"Наименование Избирательной комиссии:    Брянск, Бежицкая"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63					
1	"Число избирателей, внесенных в списки избирателей"	131931	1331	2583	2235	1670	2688	2306	1998	1752	1760	1795	1855	1884	2315	2282	1748	1932	2244	2227	2565	2362	2221	2166	2894	2445	2343	1819	1887	2480	1751	2215	2400	2686	2267	2417	2903	2041	2173	2212	1470	1956	2362	2330	1719	2377	2321	1250	2324	1154	2613	1057	1629	2245	2673	624	2241	2602	2471	2689	1333	1854	1932	1781	2072					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	126750	1170	2460	2150	1620	2580	2240	1900	1670	1670	1700	1770	1810	2230	2180	1670	1900	2170	2150	2470	2300	2150	2100	2800	2450	2270	1720	1800	2400	1650	2130	2300	2600	2180	2320	2800	1980	2100	2130	1400	1900	2300	2250	1650	2300	2260	1040	2240	1080	2500	1000	1550	2200	2600	600	2200	2500	2400	2550	1260	1770	1850	1660	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	64176	580	1335	833	838	1208	1009	858	879	878	833	799	864	946	1039	847	987	1204	1011	1253	1121	1097	1076	1423	1157	1190	814	792	1091	825	911	1164	1196	1114	1107	1649	983	1214	1159	726	1038	1207	1254	965	1165	1233	624	1167	618	1458	489	722	1281	1252	504	1130	1144	1285	1237	653	812	965	876	1087					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2115	26	19	368	11	60	34	76	24	34	20	49	19	27	26	9	19	22	4	18	20	30	41	21	20	13	6	16	30	48	13	29	13	23	34	13	18	28	15	10	23	23	16	12	41	30	89	31	15	22	36	50	23	26	0	53	28	23	47	67	81	9	51	13					
6	Число погашенных избирательных бюллетеней	60459	564	1106	949	771	1312	1197	966	767	758	847	922	927	1257	1115	814	894	944	1135	1199	1159	1023	983	1356	1273	1067	900	992	1279	777	1206	1107	1391	1043	1179	1138	979	858	956	664	839	1070	980	673	1094	997	327	1042	447	1020	475	778	896	1322	96	1017	1328	1092	1266	540	877	876	733	900					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2115	26	19	368	11	60	34	76	24	34	20	49	19	27	26	9	19	22	4	18	20	30	41	21	20	13	6	16	30	48	13	29	13	23	34	13	18	28	15	10	23	23	16	12	41	30	89	31	15	22	36	50	23	26	0	53	28	23	47	67	81	9	51	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64161	580	1335	833	837	1208	1009	858	879	877	832	799	864	946	1039	847	987	1204	1011	1253	1121	1097	1076	1423	1157	1190	814	792	1091	825	911	1164	1196	1110	1107	1649	983	1214	1159	724	1038	1205	1254	965	1165	1233	624	1165	618	1457	489	722	1281	1252	504	1130	1144	1285	1237	653	812	965	875	1087					
9	Число недействительных избирательных бюллетеней	571	2	12	11	5	10	9	8	6	4	5	5	4	6	6	10	14	12	6	8	6	11	8	10	7	9	6	6	8	6	7	9	19	7	0	18	6	10	5	11	10	6	10	19	12	10	3	18	11	15	5	6	16	14	9	9	16	14	8	9	8	9	11	11					
10	Число действительных избирательных бюллетеней	65705	604	1342	1190	843	1258	1034	926	897	907	847	843	879	967	1059	846	992	1214	1009	1263	1135	1116	1109	1434	1170	1194	814	802	1113	867	917	1184	1190	1126	1141	1644	995	1232	1169	723	1051	1222	1260	958	1194	1253	710	1178	622	1464	520	766	1288	1264	495	1174	1156	1294	1276	711	885	965	915	1089					
