Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Брянская - 77																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26871	1792	1907	964	2454	1598	973	665	584	339	304	2063	2295	2632	2293	503	366	2198	1913	381	647									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23450	1500	1700	800	2000	1400	900	600	500	300	250	1800	2000	2300	2000	500	300	2000	1700	300	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11851	516	759	383	760	591	633	397	337	83	157	1554	1708	674	838	179	169	849	843	221	200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1396	130	119	51	248	123	13	66	65	32	35	10	6	74	85	78	9	31	86	18	117									
6	Число погашенных избирательных бюллетеней	10203	854	822	366	992	686	254	137	98	185	58	236	286	1552	1077	243	122	1120	771	61	283									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1396	130	119	51	248	123	13	66	65	32	35	10	6	74	85	78	9	31	86	18	117									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11851	516	759	383	760	591	633	397	337	83	157	1554	1708	674	838	179	169	849	843	221	200									
9	Число недействительных избирательных бюллетеней	140	0	7	10	6	4	4	5	6	1	0	0	14	7	8	7	3	27	24	2	5									
10	Число действительных избирательных бюллетеней	13107	646	871	424	1002	710	642	458	396	114	192	1564	1700	741	915	250	175	853	905	237	312									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	5	5	5	11	7	5	5	5	5	5	8	5	6	15	10	5	15	8	5	5									
