Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Учалинская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58062	334	525	2114	612	601	237	342	962	439	797	700	359	1172	543	711	589	630	1517	398	435	260	762	635	751	1227	624	546	429	385	205	335	914	470	1778	253	455	1412	1430	624	538	504	1185	344	273	1308	1489	498	1042	1461	1333	1442	1446	1302	1547	1423	1541	1540	1528	1332	1366	1511	1589	1375	1432	201									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50661	330	500	2100	600	600	230	320	900	400	800	650	360	1150	500	650	550	600	1300	350	400	250	750	600	700	1110	600	500	400	350	200	300	800	400	1500	250	450	1300	1145	600	500	500	1100	310	250	1055	1230	400	850	1180	1090	1170	1165	1060	1260	1150	1260	1240	1230	1080	1100	1220	1285	1125	1155	201									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43204	272	427	1688	506	499	199	286	796	353	514	592	269	848	375	543	441	439	1182	305	299	193	676	527	627	886	511	427	356	326	162	246	704	354	1335	179	343	1288	1053	527	445	393	1042	293	237	1021	917	335	732	1177	1056	1016	1121	934	1089	982	1084	1178	1072	865	1084	694	693	1081	1091	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1912	15	25	88	22	18	5	0	17	15	34	55	40	101	60	26	37	67	59	14	16	15	45	23	13	96	18	7	10	7	6	21	39	22	85	10	56	12	5	20	29	39	58	10	4	27	72	23	8	3	10	35	24	12	19	21	16	16	18	8	9	8	10	21	6	182									
6	Число погашенных избирательных бюллетеней	5545	43	48	324	72	83	26	34	87	32	252	3	51	201	65	81	72	94	59	31	85	42	29	50	60	128	71	66	34	17	32	33	57	24	80	61	51	0	87	53	26	68	0	7	9	7	241	42	110	0	24	119	20	114	152	147	160	46	140	207	7	518	582	23	58	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1912	15	25	88	22	18	5	0	17	15	34	55	40	101	60	26	37	67	59	14	16	15	45	23	13	96	18	7	10	7	6	21	39	22	85	10	56	12	5	20	29	39	58	10	4	27	72	23	8	3	10	35	24	12	19	21	16	16	18	8	9	8	10	21	6	182									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43145	272	427	1688	506	499	199	286	796	353	514	592	269	848	375	543	441	439	1182	305	299	193	676	527	627	886	511	427	356	326	162	246	704	354	1335	179	343	1288	1053	527	445	391	1042	293	237	1021	917	335	732	1177	1056	981	1121	934	1089	961	1084	1178	1072	865	1084	694	692	1081	1091	19									
9	Число недействительных избирательных бюллетеней	421	0	0	0	2	0	5	0	6	0	26	0	0	30	2	0	5	3	5	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	37	0	0	0	2	0	1	7	0	0	0	4	10	0	11	0	0	12	10	10	0	128	0	0	0	9	4	66	8	2	0	2									
10	Число действительных избирательных бюллетеней	44636	287	452	1776	526	517	199	286	807	368	522	647	309	919	433	569	473	503	1236	319	315	208	721	550	635	982	529	434	366	333	168	267	734	376	1383	189	399	1300	1056	547	473	423	1100	303	241	1044	979	358	729	1180	1066	1004	1135	936	1108	854	1100	1194	1090	864	1089	636	694	1100	1097	199									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1795	15	20	65	20	20	10	15	35	15	25	20	10	35	15	20	20	20	50	10	15	10	25	20	25	40	20	15	15	10	5	10	30	15	55	10	15	40	40	20	15	15	35	10	10	40	45	15	30	45	40	45	45	40	45	45	50	45	45	40	40	45	50	40	45	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	701	15	20	65	20	20	4	9	5	5	6	1	10	13	8	20	1	20	50	10	15	10	3	3	4	40	1	4	3	5	0	0	6	1	15	1	15	12	9	3	0	2	35	1	4	2	40	2	4	2	10	2	11	8	11	8	11	8	15	7	16	12	15	14	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	215	0	1	3	4	2	1	9	4	1	3	3	5	2	1	0	1	4	6	2	2	2	1	2	2	0	2	0	3	1	1	1	1	3	3	1	0	0	9	2	0	0	5	0	0	4	7	0	5	0	4	2	12	6	2	3	7	1	1	7	11	11	6	7	7	19									
14	Число погашенных неиспользованных открепительных удостоверений	1094	0	0	0	0	0	6	6	30	10	19	19	0	22	7	0	19	0	0	0	0	0	22	17	21	0	19	11	12	5	5	10	24	14	40	9	0	28	31	17	15	13	0	9	6	38	5	13	26	43	30	43	34	32	34	37	39	37	30	33	24	33	35	26	36	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	108	0	0	1	0	13	0	2	0	1	2	2	0	2	2	1	2	1	4	0	0	0	1	0	1	1	3	1	1	0	1	1	2	0	1	0	0	3	0	3	1	1	1	0	0	2	3	2	1	2	1	3	4	2	0	2	4	2	2	2	6	4	2	6	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	152	1	1	3	2	0	2	0	2	1	8	1	0	5	1	2	0	5	0	3	0	0	1	0	0	0	2	1	0	1	1	2	5	0	11	0	3	0	2	6	1	6	1	1	5	0	0	0	2	0	2	9	1	3	0	2	8	1	2	7	1	8	16	1	1	2									
		0.34%	0.35%	0.22%	0.17%	0.38%	0.00%	0.98%	0.00%	0.25%	0.27%	1.46%	0.15%	0.00%	0.53%	0.23%	0.35%	0.00%	0.99%	0.00%	0.94%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.38%	0.23%	0.00%	0.30%	0.60%	0.75%	0.67%	0.00%	0.77%	0.00%	0.75%	0.00%	0.19%	1.10%	0.21%	1.40%	0.09%	0.33%	2.07%	0.00%	0.00%	0.00%	0.27%	0.00%	0.19%	0.89%	0.09%	0.32%	0.00%	0.20%	0.73%	0.08%	0.18%	0.80%	0.09%	1.14%	2.28%	0.09%	0.09%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	536	3	1	10	2	3	0	0	2	0	29	1	0	31	2	2	0	26	2	0	17	5	2	0	12	4	10	2	0	2	2	3	10	0	61	6	4	5	3	2	1	16	1	1	0	0	1	0	5	0	3	37	8	2	0	3	37	5	3	48	3	34	41	2	9	12									
		1.19%	1.05%	0.22%	0.56%	0.38%	0.58%	0.00%	0.00%	0.25%	0.00%	5.29%	0.15%	0.00%	3.27%	0.46%	0.35%	0.00%	5.14%	0.16%	0.00%	5.40%	2.40%	0.28%	0.00%	1.88%	0.41%	1.89%	0.46%	0.00%	0.60%	1.19%	1.12%	1.35%	0.00%	4.30%	3.17%	1.00%	0.38%	0.28%	0.37%	0.21%	3.72%	0.09%	0.33%	0.00%	0.00%	0.10%	0.00%	0.68%	0.00%	0.28%	3.64%	0.70%	0.21%	0.00%	0.31%	3.36%	0.42%	0.28%	5.50%	0.27%	4.84%	5.84%	0.18%	0.82%	5.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	283	1	0	0	4	4	0	9	2	5	5	1	3	11	1	1	0	5	5	3	0	4	1	0	5	4	3	2	4	2	0	2	9	0	32	2	2	0	1	0	1	5	1	1	0	0	0	0	5	0	2	21	12	2	24	3	15	4	2	11	2	15	16	2	2	4									
		0.63%	0.35%	0.00%	0.00%	0.76%	0.77%	0.00%	3.15%	0.25%	1.36%	0.91%	0.15%	0.97%	1.16%	0.23%	0.18%	0.00%	0.99%	0.40%	0.94%	0.00%	1.92%	0.14%	0.00%	0.78%	0.41%	0.57%	0.46%	1.09%	0.60%	0.00%	0.75%	1.21%	0.00%	2.25%	1.06%	0.50%	0.00%	0.09%	0.00%	0.21%	1.16%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.19%	2.07%	1.05%	0.21%	2.17%	0.31%	1.36%	0.34%	0.18%	1.26%	0.18%	2.14%	2.28%	0.18%	0.18%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23848	201	317	1246	389	309	122	172	488	219	260	439	217	637	178	340	280	342	615	195	237	162	533	385	371	686	367	281	269	242	99	166	473	252	713	104	239	209	479	328	280	280	172	182	145	480	465	165	435	216	484	633	536	430	504	422	586	545	657	398	494	311	323	501	514	129									
		52.93%	70.03%	70.13%	70.16%	73.67%	59.77%	59.80%	60.14%	60.02%	59.51%	47.45%	67.85%	70.23%	67.12%	40.92%	59.75%	58.58%	67.59%	49.56%	61.13%	75.24%	77.88%	73.93%	70.00%	57.97%	69.86%	69.38%	64.75%	73.50%	72.67%	58.93%	62.17%	63.66%	67.02%	50.21%	55.03%	59.90%	16.08%	45.27%	59.96%	59.07%	65.12%	15.64%	60.07%	60.17%	45.80%	47.02%	46.09%	58.78%	18.31%	45.40%	62.30%	46.81%	45.45%	45.49%	42.97%	53.27%	45.64%	60.28%	45.59%	45.20%	44.30%	46.01%	45.46%	46.86%	64.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	100	0	1	0	2	0	0	0	0	1	3	0	0	7	0	1	0	1	0	0	0	0	4	0	0	0	1	1	0	1	0	1	3	0	6	0	3	5	2	0	2	3	1	1	0	0	0	0	1	3	0	3	1	2	0	3	8	0	2	4	1	8	5	3	4	2									
		0.22%	0.00%	0.22%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.27%	0.55%	0.00%	0.00%	0.74%	0.00%	0.18%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.19%	0.23%	0.00%	0.30%	0.00%	0.37%	0.40%	0.00%	0.42%	0.00%	0.75%	0.38%	0.19%	0.00%	0.42%	0.70%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.14%	0.25%	0.00%	0.30%	0.09%	0.21%	0.00%	0.31%	0.73%	0.00%	0.18%	0.46%	0.09%	1.14%	0.71%	0.27%	0.36%	0.99%									
24	"6. Политическая партия ""Гражданская Платформа"""	68	0	0	0	2	0	0	0	0	1	4	0	0	3	0	1	0	7	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	1	4	1	0	1	1	0	0	0	0	1	2	1	2	1	1	0	1	2	0	1	3	1	3	6	1	7	0									
		0.15%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.27%	0.73%	0.00%	0.00%	0.32%	0.00%	0.18%	0.00%	1.38%	0.00%	0.00%	0.00%	0.96%	0.14%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.21%	0.00%	0.00%	0.00%	0.09%	0.73%	0.21%	0.00%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.14%	0.17%	0.09%	0.20%	0.09%	0.11%	0.00%	0.10%	0.18%	0.00%	0.09%	0.34%	0.09%	0.43%	0.85%	0.09%	0.64%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8340	23	37	178	36	93	37	51	57	26	58	77	19	87	89	102	81	27	141	24	8	8	29	17	128	39	32	13	23	30	7	5	23	12	100	32	40	633	323	55	47	41	548	30	24	328	296	103	91	495	326	65	245	283	340	245	215	335	152	198	332	78	56	337	307	23									
		18.51%	8.01%	8.19%	10.02%	6.82%	17.99%	18.14%	17.83%	7.01%	7.07%	10.58%	11.90%	6.15%	9.17%	20.46%	17.93%	16.95%	5.34%	11.36%	7.52%	2.54%	3.85%	4.02%	3.09%	20.00%	3.97%	6.05%	2.99%	6.28%	9.01%	4.17%	1.87%	3.10%	3.19%	7.04%	16.93%	10.03%	48.69%	30.53%	10.05%	9.92%	9.53%	49.82%	9.90%	9.96%	31.30%	29.93%	28.77%	12.30%	41.95%	30.58%	6.40%	21.40%	29.92%	30.69%	24.95%	19.55%	28.06%	13.94%	22.68%	30.38%	11.11%	7.98%	30.58%	27.99%	11.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	77	0	0	0	0	4	0	0	2	0	3	0	0	0	0	1	0	1	7	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	3	0	1	0	1	1	0	0	0	0	1	2	0	5	1	1	0	0	10	1	2	4	1	2	4	2	9	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.25%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.20%	0.56%	0.00%	0.32%	0.00%	0.28%	0.00%	0.00%	0.10%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.53%	0.00%	0.00%	0.28%	0.00%	0.21%	0.00%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.14%	0.17%	0.00%	0.49%	0.09%	0.11%	0.00%	0.00%	0.91%	0.08%	0.18%	0.46%	0.09%	0.28%	0.57%	0.18%	0.82%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	84	0	1	0	0	0	0	0	1	0	4	1	0	4	1	2	0	7	0	0	0	0	0	0	7	0	0	2	3	0	0	1	0	0	3	0	0	0	1	0	2	1	1	1	0	0	0	0	0	1	2	2	0	1	0	0	8	1	1	1	1	9	10	1	3	0									
