Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Нарьян-Марская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51					
1	"Число избирателей, внесенных в список избирателей"	16615	941	1030	698	2420	2007	1272	2229	1375	2133	2349	161					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13700	700	750	500	1700	1700	1500	2050	1200	1550	1650	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9294	482	509	302	1265	1161	1100	1346	663	1104	1302	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	289	14	10	23	40	8	4	16	16	28	29	101					
6	Число погашенных избирательных бюллетеней	4117	204	231	175	395	531	396	688	521	418	319	239					
7	Число избирательных бюллетеней в переносных ящиках для голосования	289	14	10	23	40	8	4	16	16	28	29	101					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9292	482	509	302	1264	1161	1099	1346	663	1104	1302	60					
9	Число недействительных избирательных бюллетеней	132	5	8	3	12	10	16	13	14	25	24	2					
10	Число действительных избирательных бюллетеней	9449	491	511	322	1292	1159	1087	1349	665	1107	1307	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	10	20	10	30	20	10	20	20	20	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	71	2	3	1	8	8	1	9	7	12	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	0	1	2	4	5	16	3	1	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	119	8	17	9	22	12	9	11	13	8	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	1	1	0	0	0	0	5	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1559	91	95	57	190	196	163	236	120	174	217	20					
		16.27%	18.35%	18.30%	17.54%	14.57%	16.77%	14.78%	17.33%	17.67%	15.37%	16.30%	12.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1526	100	86	61	239	180	163	176	113	189	198	21					
		15.93%	20.16%	16.57%	18.77%	18.33%	15.40%	14.78%	12.92%	16.64%	16.70%	14.88%	13.04%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	123	9	8	1	16	17	9	22	10	11	18	2					
		1.28%	1.81%	1.54%	0.31%	1.23%	1.45%	0.82%	1.62%	1.47%	0.97%	1.35%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2735	145	141	93	414	304	221	414	178	359	428	38					
		28.55%	29.23%	27.17%	28.62%	31.75%	26.01%	20.04%	30.40%	26.22%	31.71%	32.16%	23.60%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	321	16	12	4	53	40	42	54	24	33	40	3					
		3.35%	3.23%	2.31%	1.23%	4.06%	3.42%	3.81%	3.96%	3.53%	2.92%	3.01%	1.86%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3072	124	165	100	366	402	474	437	211	329	390	74					
		32.06%	25.00%	31.79%	30.77%	28.07%	34.39%	42.97%	32.09%	31.08%	29.06%	29.30%	45.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	113	6	4	6	14	20	15	10	9	12	16	1					
		1.18%	1.21%	0.77%	1.85%	1.07%	1.71%	1.36%	0.73%	1.33%	1.06%	1.20%	0.62%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
