Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №14																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №8429									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	117574	2286	2260	1771	2472	2665	1428	2544	2552	1204	2462	858	2206	2395	2384	2384	1424	2683	1530	2649	1860	2111	2458	2227	2198	2517	1375	2297	2087	2417	1615	2817	2611	2174	2369	1470	2335	1683	1522	1964	1148	821	1408	1631	1109	1005	2178	2025	2031	2220	2240	3238	1442	1783	2768	2129	1436	3001	1626	71									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109900	2000	2000	1500	2000	2500	1000	2500	2500	1000	2000	700	2000	2000	2000	2000	1000	2500	1500	2500	1500	2000	2000	2000	2000	2000	1000	2000	2000	2000	1500	2500	2500	2000	2000	1100	2000	1500	1500	1500	1000	700	1000	1500	1000	700	2000	1500	2000	2000	2000	3000	1000	1500	2500	2000	1000	2500	1500	7700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36930	703	727	558	912	839	488	850	859	358	741	309	776	652	773	819	469	688	486	877	612	721	849	716	599	796	379	713	617	610	495	765	634	634	813	477	602	433	829	688	334	280	392	499	393	316	724	774	749	863	788	763	487	560	778	548	417	885	443	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	419	4	1	1	6	3	6	8	3	2	8	2	8	4	5	9	6	1	0	5	5	3	5	4	0	8	5	5	0	9	3	8	7	6	8	2	0	7	5	51	20	15	108	10	17	11	0	0	0	1	0	2	0	1	2	0	0	2	7	0									
6	Число погашенных избирательных бюллетеней	72548	1293	1272	941	1082	1658	506	1642	1638	640	1251	389	1216	1344	1222	1169	525	1811	1014	1618	883	1276	1146	1280	1401	1196	616	1282	1383	1381	1002	1727	1859	1360	1179	621	1398	1060	666	761	646	405	500	991	590	373	1276	726	1251	1136	1212	2235	513	939	1720	1452	583	1613	1050	7629									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	419	4	1	1	6	3	6	8	3	2	8	2	8	4	5	9	6	1	0	5	5	3	5	4	0	8	5	5	0	9	3	8	7	6	8	2	0	7	5	51	20	15	108	10	17	11	0	0	0	1	0	2	0	1	2	0	0	2	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36704	703	727	556	816	839	488	846	858	358	738	309	771	652	773	807	469	683	471	839	612	721	848	716	599	788	377	713	614	610	495	765	632	634	813	477	600	432	828	684	334	280	392	496	393	316	722	774	747	862	787	758	483	560	778	548	416	883	443	71									
9	Число недействительных избирательных бюллетеней	851	12	9	18	23	13	21	22	24	9	15	6	14	12	17	22	9	10	5	19	14	10	23	30	17	21	10	21	24	9	12	22	13	13	27	14	24	14	33	17	9	5	11	15	10	4	15	11	21	14	0	12	14	14	7	8	4	16	13	0									
10	Число действительных избирательных бюллетеней	36272	695	719	539	799	829	473	832	837	351	731	305	765	644	761	794	466	674	466	825	603	714	830	690	582	775	372	697	590	610	486	751	626	627	794	465	576	425	800	718	345	290	489	491	400	323	707	763	726	849	787	748	469	547	773	540	412	869	437	71									
