Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Тере-Хольская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №139	УИК №140					
1	"Число избирателей, внесенных в списки избирателей"	1155	596	559					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1165	580	585					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	303	151	152					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	561	325	236					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	29	20	9					
6	Число погашенных избирательных бюллетеней	272	84	188					
7	Число избирательных бюллетеней в переносных ящиках для голосования	332	171	161					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	561	325	236					
9	Число недействительных избирательных бюллетеней	15	14	1					
10	Число действительных избирательных бюллетеней	878	482	396					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	14	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	14	7	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	6	3	3					
		0.67%	0.60%	0.76%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	2	1					
		0.34%	0.40%	0.25%					
20	3.Политическая партия «Демократическая партия России»	2	0	2					
		0.22%	0.00%	0.50%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	41	21	20					
		4.59%	4.23%	5.04%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0					
		0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0					
		0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	7	6	1					
		0.78%	1.21%	0.25%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7	2	5					
		0.78%	0.40%	1.26%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	4	2					
		0.67%	0.81%	0.50%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	805	443	362					
		90.15%	89.31%	91.18%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1	1	0					
		0.11%	0.20%	0.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
