Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Тере-Хольская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №140	УИК №141					
1	"Число избирателей, внесенных в список избирателей"	1006	518	488					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1178	610	568					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	240	99	141					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	721	401	320					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	42	15	27					
6	Число погашенных избирательных бюллетеней	175	95	80					
7	Число избирательных бюллетеней в переносных ящиках для голосования	282	114	168					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	721	401	320					
9	Число недействительных избирательных бюллетеней	4	3	1					
10	Число действительных избирательных бюллетеней	999	512	487					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	8	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12	7	5					
		1.20%	1.36%	1.02%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9	9	0					
		0.90%	1.75%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	3	0					
		0.30%	0.58%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11	5	6					
		1.10%	0.97%	1.23%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0					
		0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	964	488	476					
		96.11%	94.76%	97.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0					
		0.00%	0.00%	0.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
