Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Плесецкая																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №728	УИК №729	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36458	395	1278	1543	1285	372	191	781	742	2218	1242	2774	286	2004	1018	1137	2461	2046	344	358	622	2197	2207	2056	591	489	2229	411	296	556	434	390	272	498	208	527									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30400	350	1000	1300	1000	350	200	600	600	2000	1000	2000	300	1500	1000	1000	2000	1500	300	300	600	2000	2000	1500	450	450	2000	350	250	500	400	350	200	450	200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	526	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	123	90	110	0	69	29	0	0	0	58	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11178	125	391	463	332	135	81	269	152	621	345	882	83	812	317	381	782	520	146	97	166	495	773	642	185	169	673	76	109	175	140	127	127	143	54	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1131	32	54	47	17	6	9	36	28	26	52	48	34	17	11	8	55	24	8	3	85	107	31	0	44	54	119	3	31	24	23	29	17	37	0	12									
6	Число погашенных избирательных бюллетеней	17565	193	555	790	622	209	110	295	420	1353	603	1070	183	671	672	611	1163	956	146	182	349	1398	1196	858	221	104	1118	161	110	232	208	194	56	270	88	198									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1657	32	54	47	46	6	9	36	28	26	52	48	34	17	11	8	55	24	8	21	85	107	31	0	44	177	209	113	31	93	52	29	17	37	58	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11175	125	391	463	332	135	81	269	152	621	345	882	83	811	317	381	782	518	146	97	166	495	773	642	185	169	673	76	109	175	140	127	127	143	54	190									
9	Число недействительных избирательных бюллетеней	189	4	5	1	5	2	0	5	1	13	9	24	2	19	7	4	10	4	2	3	2	9	9	14	1	0	4	5	1	2	1	7	0	9	1	4									
10	Число действительных избирательных бюллетеней	12643	153	440	509	373	139	90	300	179	634	388	906	115	809	321	385	827	538	152	115	249	593	795	628	228	346	878	184	139	266	191	149	144	171	111	198									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	375	5	5	10	10	5	15	15	10	10	10	10	20	10	10	10	10	10	10	5	25	25	5	5	5	25	15	15	5	5	5	5	5	5	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	250	1	5	5	9	5	0	9	0	2	0	5	20	7	1	3	7	3	10	4	25	25	5	3	5	25	14	15	3	5	5	4	0	0	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	6	11	3	1	0	1	6	1	3	3	3	0	1	2	1	3	6	2	4	24	1	10	7	4	1	2	3	2	1	4	2	2	0	24	0									
14	Число погашенных неиспользованных открепительных удостоверений	125	4	0	5	1	0	15	6	10	8	10	5	0	3	9	7	3	7	0	1	0	0	0	2	0	0	1	0	2	0	0	1	5	5	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	0	0	0	0	0	1	0	0	2	1	0	3	1	1	3	3	0	0	0	1	2	2	2	1	0	0	0	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	139	1	4	14	4	1	3	5	3	6	8	16	1	4	1	4	8	3	2	0	1	9	10	4	2	2	11	1	1	1	2	3	0	3	0	1									
		1.08%	0.64%	0.90%	2.75%	1.06%	0.71%	3.33%	1.64%	1.67%	0.93%	2.02%	1.72%	0.85%	0.48%	0.30%	1.03%	0.96%	0.55%	1.30%	0.00%	0.40%	1.50%	1.24%	0.62%	0.87%	0.58%	1.25%	0.53%	0.71%	0.37%	1.04%	1.92%	0.00%	1.67%	0.00%	0.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	352	2	7	12	3	6	2	2	7	19	14	30	4	22	7	9	28	15	1	1	9	17	20	16	6	3	34	5	7	6	9	8	3	10	1	7									
		2.74%	1.27%	1.57%	2.35%	0.79%	4.26%	2.22%	0.66%	3.89%	2.94%	3.53%	3.23%	3.42%	2.66%	2.13%	2.31%	3.35%	2.77%	0.65%	0.85%	3.59%	2.82%	2.49%	2.49%	2.62%	0.87%	3.85%	2.65%	5.00%	2.24%	4.69%	5.13%	2.08%	5.56%	0.89%	3.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	408	5	12	18	13	2	1	12	5	22	16	28	2	32	10	10	33	8	2	9	6	18	21	18	8	4	50	11	0	7	8	1	6	5	0	5									
