Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Мясниковская - 151																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1248	УИК №1249	УИК №1250	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29686	1597	1237	479	1694	520	1059	581	2225	2358	1926	1334	834	2495	2023	2504	2203	1997	2293	327									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26700	1500	1200	350	1600	500	1000	500	2100	2300	1950	1300	800	2000	1800	2200	1900	1600	1800	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13447	630	555	197	584	255	451	245	1260	1093	1140	810	636	896	820	1013	910	1103	719	130									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	378	35	27	8	53	15	38	32	20	26	16	12	10	25	11	9	18	7	3	13									
6	Число погашенных избирательных бюллетеней	12875	835	618	145	963	230	511	223	820	1181	794	478	154	1079	969	1178	972	490	1078	157									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	378	35	27	8	53	15	38	32	20	26	16	12	10	25	11	9	18	7	3	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13446	630	555	197	584	255	451	245	1260	1093	1139	810	636	896	820	1013	910	1103	719	130									
9	Число недействительных избирательных бюллетеней	503	25	24	4	42	2	16	9	29	58	30	36	38	28	27	18	42	49	23	3									
10	Число действительных избирательных бюллетеней	13321	640	558	201	595	268	473	268	1251	1061	1125	786	608	893	804	1004	886	1061	699	140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	496	20	20	10	20	10	20	20	38	38	20	20	10	40	40	40	40	40	40	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	7	9	1	8	7	6	0	9	9	4	1	1	3	8	20	1	7	13	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	6	2	4	7	5	3	3	4	3	16	1	5	9	1	3	1	3	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	381	13	11	9	12	3	14	20	29	29	16	19	9	37	32	20	39	33	27	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	200	11	8	3	7	1	14	4	18	14	14	14	15	5	8	23	15	13	11	2									
		1.45%	1.65%	1.37%	1.46%	1.10%	0.37%	2.86%	1.44%	1.41%	1.25%	1.21%	1.70%	2.32%	0.54%	0.96%	2.25%	1.62%	1.17%	1.52%	1.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	627	44	24	12	31	17	38	12	42	68	18	17	9	53	64	42	48	45	38	5									
		4.54%	6.62%	4.12%	5.85%	4.87%	6.30%	7.77%	4.33%	3.28%	6.08%	1.56%	2.07%	1.39%	5.75%	7.70%	4.11%	5.17%	4.05%	5.26%	3.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	209	11	6	1	10	8	13	4	10	18	11	11	10	12	9	23	22	14	15	1									
		1.51%	1.65%	1.03%	0.49%	1.57%	2.96%	2.66%	1.44%	0.78%	1.61%	0.95%	1.34%	1.55%	1.30%	1.08%	2.25%	2.37%	1.26%	2.08%	0.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7760	394	346	122	329	148	235	167	849	628	868	476	378	483	396	498	452	558	375	58									
		56.13%	59.25%	59.45%	59.51%	51.65%	54.81%	48.06%	60.29%	66.33%	56.12%	75.15%	57.91%	58.51%	52.44%	47.65%	48.73%	48.71%	50.27%	51.94%	40.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	125	7	1	2	3	1	3	3	18	9	6	10	7	11	8	12	9	2	12	1									
		0.90%	1.05%	0.17%	0.98%	0.47%	0.37%	0.61%	1.08%	1.41%	0.80%	0.52%	1.22%	1.08%	1.19%	0.96%	1.17%	0.97%	0.18%	1.66%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	39	2	1	2	1	0	1	3	4	6	1	0	0	0	0	5	6	4	3	0									
		0.28%	0.30%	0.17%	0.98%	0.16%	0.00%	0.20%	1.08%	0.31%	0.54%	0.09%	0.00%	0.00%	0.00%	0.00%	0.49%	0.65%	0.36%	0.42%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1354	39	44	22	43	24	40	25	92	83	99	177	135	84	77	95	72	112	63	28									
		9.79%	5.86%	7.56%	10.73%	6.75%	8.89%	8.18%	9.03%	7.19%	7.42%	8.57%	21.53%	20.90%	9.12%	9.27%	9.30%	7.76%	10.09%	8.73%	19.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	68	2	2	2	4	0	4	2	4	3	0	0	3	18	2	10	2	4	6	0									
		0.49%	0.30%	0.34%	0.98%	0.63%	0.00%	0.82%	0.72%	0.31%	0.27%	0.00%	0.00%	0.46%	1.95%	0.24%	0.98%	0.22%	0.36%	0.83%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	107	4	3	0	8	3	10	4	6	8	3	3	5	13	7	8	4	12	6	0									
		0.77%	0.60%	0.52%	0.00%	1.26%	1.11%	2.04%	1.44%	0.47%	0.71%	0.26%	0.36%	0.77%	1.41%	0.84%	0.78%	0.43%	1.08%	0.83%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	3	0	0	0	2	0	0	4	2	0	0	1	3	2	2	4	1	1	0									
		0.18%	0.45%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.31%	0.18%	0.00%	0.00%	0.15%	0.33%	0.24%	0.20%	0.43%	0.09%	0.14%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	205	8	5	4	14	1	7	1	8	15	8	4	4	22	27	24	24	10	18	1									
		1.48%	1.20%	0.86%	1.95%	2.20%	0.37%	1.43%	0.36%	0.63%	1.34%	0.69%	0.49%	0.62%	2.39%	3.25%	2.35%	2.59%	0.90%	2.49%	0.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2149	103	101	23	133	50	92	39	110	185	80	55	32	165	176	181	205	252	136	31									
		15.55%	15.49%	17.35%	11.22%	20.88%	18.52%	18.81%	14.08%	8.59%	16.53%	6.93%	6.69%	4.95%	17.92%	21.18%	17.71%	22.09%	22.70%	18.84%	21.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	73	2	5	2	1	4	3	0	10	4	5	8	4	2	6	5	2	7	3	0									
		0.53%	0.30%	0.86%	0.98%	0.16%	1.48%	0.61%	0.00%	0.78%	0.36%	0.43%	0.97%	0.62%	0.22%	0.72%	0.49%	0.22%	0.63%	0.42%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	380	10	12	6	11	9	13	4	76	18	12	11	5	22	22	76	21	27	12	13									
		2.75%	1.50%	2.06%	2.93%	1.73%	3.33%	2.66%	1.44%	5.94%	1.61%	1.04%	1.34%	0.77%	2.39%	2.65%	7.44%	2.26%	2.43%	1.66%	9.09%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
