Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																														
Дата голосования: 18.09.2016																																																																																																																														
																																																																																																																														
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																														
																																																																																																																														
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	212077	1747	1101	1558	1657	1711	2054	2288	2226	2057	1322	2283	1964	2005	1951	2227	2059	1871	2052	2288	682	1921	2130	1895	1467	1825	1831	2186	1558	1481	1500	2286	2199	1939	2638	2590	1711	1732	1833	1728	515	1919	2090	2048	2216	2027	1944	2082	2152	2208	2186	2070	1382	1968	1745	2212	2286	2311	1936	2377	1982	1476	2017	2006	1540	1441	1488	1500	1425	1976	2365	2193	1552	1028	1693	290	2190	2385	2256	1991	1619	713	1913	1925	1479	2076	1163	1527	2072	1609	2044	1862	1865	1836	1909	1674	1596	2612	2186	1470	2090	1732	1951	2160	1397	1224	1624	1938	1482	2114	1752	1729	1757	2226	1719	2011									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	187450	1500	1000	1500	1500	1500	2000	2000	2000	2000	1000	2000	1700	2000	1700	2000	2000	1700	2000	2000	700	1900	2100	1500	1400	1800	1800	2000	1500	1200	1500	2000	2000	1600	2000	2000	1500	1500	1500	1500	550	1500	1700	2000	2000	1700	1600	1700	2000	2000	2000	2000	1100	1500	1500	2000	2000	2000	1500	2000	1700	1100	1600	1600	1200	1000	1200	1200	1100	1700	2000	2000	1500	1500	1500	250	2000	2000	2000	1700	1500	500	1700	1700	1200	2000	1500	1250	2000	1500	1700	1500	1700	1600	1700	1500	1500	2500	2000	1200	1700	1500	1700	2000	1100	1000	1500	1700	1200	2000	1500	1500	1500	2000	1500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	131918	1115	811	958	1031	1066	1329	1728	1422	1239	847	1407	1401	1282	1233	1456	1308	1192	1194	1416	347	1208	1348	1202	947	1171	1181	1406	974	509	945	1384	1369	485	1680	1631	1098	1095	1156	1176	515	1209	1236	1403	1360	1107	1202	1287	1405	1428	1387	1252	817	1158	1139	1332	1325	1373	1141	1528	1263	946	1295	1196	915	917	977	886	925	1242	1522	1374	873	1016	737	150	1272	1447	1400	1228	979	235	1147	1156	869	1235	1113	885	1294	1188	1279	1182	1202	1123	974	1017	959	1932	1381	914	1338	1077	1179	1370	901	881	1034	1188	818	1274	1053	1039	1071	1339	1074	1286									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6026	9	4	44	35	27	12	10	9	74	3	77	11	27	16	19	24	12	110	55	252	27	21	16	10	14	12	0	33	12	35	87	33	14	42	33	14	19	11	16	0	16	108	63	92	196	48	52	21	23	9	106	83	62	13	105	144	112	104	20	11	3	2	109	72	11	11	100	7	29	43	36	63	12	401	36	136	87	50	52	62	71	99	92	82	99	50	70	53	83	35	19	43	60	77	59	77	53	23	31	20	37	76	34	26	0	13	58	135	117	75	90	50	92	31	7									
6	Число погашенных избирательных бюллетеней	49506	376	185	498	434	407	659	262	569	687	150	516	288	691	451	525	668	496	696	529	101	665	731	282	443	615	607	594	493	679	520	529	598	1101	278	336	388	386	333	308	35	275	356	534	548	397	350	361	574	549	604	642	200	280	348	563	531	515	255	452	426	151	303	295	213	72	212	214	168	429	435	590	564	472	362	64	592	466	550	420	459	194	454	452	249	666	337	295	653	229	386	299	455	417	649	424	464	515	596	255	342	386	445	596	173	119	453	454	247	609	372	371	379	569	395	707									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6026	9	4	44	35	27	12	10	9	74	3	77	11	27	16	19	24	12	110	55	252	27	21	16	10	14	12	0	33	12	35	87	33	14	42	33	14	19	11	16	0	16	108	63	92	196	48	52	21	23	9	106	83	62	13	105	144	112	104	20	11	3	2	109	72	11	11	100	7	29	43	36	63	12	401	36	136	87	50	52	62	71	99	92	82	99	50	70	53	83	35	19	43	60	77	59	77	53	23	31	20	37	76	34	26	0	13	58	135	117	75	90	50	92	31	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	131917	1115	811	958	1031	1066	1329	1728	1422	1239	847	1407	1401	1282	1233	1456	1308	1192	1194	1416	346	1208	1348	1202	947	1171	1181	1406	974	509	945	1384	1369	485	1680	1631	1098	1095	1156	1176	515	1209	1236	1403	1360	1107	1202	1287	1405	1428	1387	1252	817	1158	1139	1332	1325	1373	1141	1528	1263	946	1295	1196	915	917	977	886	925	1242	1522	1374	873	1016	737	150	1272	1447	1400	1228	979	235	1147	1156	869	1235	1113	885	1294	1188	1279	1182	1202	1123	974	1017	959	1932	1381	914	1338	1077	1179	1370	901	881	1034	1188	818	1274	1053	1039	1071	1339	1074	1286									
9	Число недействительных избирательных бюллетеней	275	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	7	0	0	0	3	0	0	2	4	3	7	6	0	0	0	7	2	0	0	3	0	115	0	0	0	0	0	0	0	0	9	0	0	0	8	0	0	0	0	0	0	4	5	3	0	0	0	0	12	0	0	0	5	0	0	0	1	0	0	10	4	3	0	0	0	4	0	8	0	0	0	0	0	1	0	0	0	6	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	137668	1124	809	1001	1066	1093	1341	1738	1431	1313	850	1484	1412	1309	1249	1475	1332	1204	1304	1471	584	1233	1362	1218	957	1185	1190	1406	1007	519	976	1468	1395	493	1722	1664	1112	1107	1165	1192	515	1222	1344	1351	1452	1303	1250	1339	1426	1451	1396	1358	891	1220	1152	1437	1461	1485	1245	1548	1274	949	1297	1301	982	925	988	986	932	1271	1553	1410	936	1028	1133	186	1408	1534	1449	1280	1041	296	1242	1245	951	1334	1163	951	1347	1263	1314	1201	1245	1183	1051	1075	1036	1985	1404	939	1358	1114	1255	1401	920	881	1047	1246	953	1391	1128	1129	1121	1431	1105	1293									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	5650	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2503	50	20	12	33	33	26	21	22	27	6	23	26	20	24	20	26	34	23	33	0	26	15	35	11	20	27	11	20	10	21	14	28	14	26	27	16	22	17	11	0	25	21	34	26	28	20	22	35	28	16	26	12	12	16	22	30	28	19	21	30	15	28	20	25	16	30	30	23	14	28	18	20	18	30	5	13	15	24	19	17	5	19	22	18	21	11	16	26	19	19	15	22	19	14	22	19	46	18	18	26	21	20	44	22	12	28	39	19	33	15	20	20	28	29	29									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1358	7	29	15	8	6	5	16	14	9	19	28	36	4	4	20	15	18	18	11	0	8	3	63	0	4	8	18	10	14	15	0	9	11	5	5	10	13	7	8	11	6	2	15	4	21	23	16	7	2	10	3	9	23	0	28	9	2	3	8	3	23	5	36	43	4	7	4	8	8	50	7	12	0	2	1	14	9	5	9	16	22	4	15	13	3	11	10	2	9	5	6	8	16	7	37	0	14	5	8	25	10	14	3	11	4	27	17	5	2	8	7	2	34	25	8									
