Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Локомотивная поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №1717	УИК №1718					
1	"Число избирателей, внесенных в списки избирателей"	4089	2174	1915					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3900	2000	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2115	1124	991					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	30	22	8					
6	Число погашенных избирательных бюллетеней	1755	854	901					
7	Число избирательных бюллетеней в переносных ящиках для голосования	30	22	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2114	1124	990					
9	Число недействительных избирательных бюллетеней	24	9	15					
10	Число действительных избирательных бюллетеней	2120	1137	983					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	90	45	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	63	24	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	27	12	15					
14	Число погашенных неиспользованных открепительных удостоверений	27	21	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	27	13	14					
		1.26%	1.13%	1.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	1	11					
		0.56%	0.09%	1.10%					
20	3.Политическая партия «Демократическая партия России»	0	0	0					
		0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	115	59	56					
		5.36%	5.15%	5.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	6	2					
		0.37%	0.52%	0.20%					
23	6.Политическая партия «Партия социальной справедливости»	6	3	3					
		0.28%	0.26%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	298	154	144					
		13.90%	13.44%	14.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	107	55	52					
		4.99%	4.80%	5.21%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	23	13	10					
		1.07%	1.13%	1.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1523	832	691					
		71.04%	72.60%	69.24%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1	1	0					
		0.05%	0.09%	0.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
