Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
"Наименование Избирательной комиссии:    Тольятти, Центральная"																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730					
1	"Число избирателей, внесенных в списки"	124541	1979	2326	2685	2461	2155	1912	2273	2070	2006	2212	2195	2252	2387	2259	2082	2089	2033	2844	2775	2297	2234	2250	2467	2357	2403	2502	2313	2437	2360	2273	2251	2340	2452	2333	2304	2605	2657	2451	2576	2043	1815	2746	2888	2896	2909	2812	2776	2657	2626	2912	2767	1108	170	326	127	106					
2	"Число бюллетеней, полученных участковыми комиссиями"	110182	1752	2057	2363	2188	1918	1670	1997	1822	1778	1976	1932	1994	2118	2001	1854	1854	1797	2540	2463	2045	1964	1943	2207	2087	2111	2228	1999	2177	2102	2033	1993	2068	2192	2078	2020	2270	2383	2167	2279	1815	1616	2452	2561	2567	2600	2504	2435	2358	2331	2537	2415	941	143	295	102	90					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	57700	1062	916	1211	1345	1159	979	1347	1100	1119	1268	1153	1214	1424	1255	1091	1141	1088	926	1154	1192	1043	965	804	1249	1214	1126	1185	1204	994	1225	1190	1197	1052	1191	1049	1051	1187	1198	1048	828	649	846	945	1157	1254	721	1181	1060	938	1185	1476	667	96	192	102	87					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1481	34	52	17	34	37	33	39	31	35	15	13	25	7	16	16	12	12	8	24	39	56	96	48	45	35	26	29	36	37	26	33	27	16	28	20	15	20	36	47	16	21	23	28	18	27	32	23	25	15	14	10	46	8	0	0	0					
6	Число погашенных бюллетеней	51002	656	1089	1135	809	722	658	611	691	624	693	766	755	687	730	747	701	697	1606	1285	814	865	882	1355	793	862	1076	785	937	1071	782	770	844	1124	859	951	1204	1176	933	1185	971	946	1583	1588	1392	1319	1751	1231	1273	1378	1338	929	228	39	103	0	3					
7	Число бюллетеней в переносных ящиках для голосования	1480	34	52	17	34	37	33	39	31	35	15	13	25	7	16	16	12	12	8	24	39	56	96	48	45	35	26	28	36	37	26	33	27	16	28	20	15	20	36	47	16	21	23	28	18	27	32	23	25	15	14	10	46	8	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	57656	1051	915	1208	1345	1158	978	1345	1100	1119	1265	1153	1214	1424	1254	1091	1141	1088	924	1150	1192	1043	965	804	1249	1214	1126	1185	1202	994	1222	1190	1197	1051	1189	1049	1050	1184	1197	1048	828	649	846	945	1157	1254	721	1180	1060	938	1185	1475	667	96	192	102	87					
9	Число недействительных бюллетеней	675	11	2	5	18	13	18	15	13	17	15	9	14	13	6	5	10	2	11	12	15	18	14	11	9	28	13	18	12	16	10	26	18	5	13	15	16	7	11	21	16	12	13	11	13	2	12	8	18	8	15	12	3	1	25	0	1					
10	Число действительных бюллетеней	58461	1074	965	1220	1361	1182	993	1369	1118	1137	1265	1157	1225	1418	1264	1102	1143	1098	921	1162	1216	1081	1047	841	1285	1221	1139	1195	1226	1015	1238	1197	1206	1062	1204	1054	1049	1197	1222	1074	828	658	856	962	1162	1279	741	1195	1067	945	1184	1473	710	103	167	102	86					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1138	28	21	24	22	19	17	20	18	18	20	20	20	22	20	19	19	19	25	26	21	20	20	23	21	22	23	20	22	21	21	20	21	22	21	21	24	25	22	23	18	16	26	27	27	27	26	25	24	24	26	25	9	5	3	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	606	21	10	21	13	13	10	16	12	8	20	10	4	17	12	13	10	14	8	14	16	7	6	7	19	20	8	6	15	12	14	13	9	6	16	5	16	14	12	15	10	6	17	10	4	9	3	10	9	10	10	15	7	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	484	7	9	8	14	4	15	6	7	8	6	8	17	15	11	5	8	5	3	5	8	6	10	2	9	11	5	7	3	15	15	12	5	1	8	14	8	7	9	9	8	7	6	12	7	5	11	15	2	13	7	9	10	17	5	20	5					
14	Число погашенных открепительных удостоверений	532	7	11	3	9	6	7	4	6	10	0	10	16	5	8	6	9	5	17	12	5	13	14	16	2	2	15	14	7	9	7	7	12	16	5	16	8	11	10	8	8	10	9	17	23	18	23	15	15	14	16	10	2	2	2	0	0					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	548	9	13	7	16	14	5	14	5	6	18	7	12	11	11	15	8	14	9	9	12	11	13	10	16	20	7	6	5	7	6	5	7	8	10	10	5	7	13	12	6	3	12	13	14	13	8	15	10	18	20	11	2	1	3	5	1					
		0.92%	0.82%	1.34%	0.57%	1.16%	1.17%	0.49%	1.01%	0.44%	0.51%	1.40%	0.60%	0.96%	0.76%	0.86%	1.35%	0.69%	1.27%	0.96%	0.76%	0.97%	1.00%	1.22%	1.17%	1.23%	1.60%	0.60%	0.49%	0.40%	0.67%	0.48%	0.40%	0.57%	0.74%	0.82%	0.93%	0.46%	0.58%	1.05%	1.09%	0.71%	0.44%	1.38%	1.33%	1.19%	1.01%	1.06%	1.24%	0.92%	1.88%	1.66%	0.74%	0.28%	0.96%	1.56%	4.90%	1.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2924	68	33	66	74	60	57	92	67	82	68	80	109	114	94	67	49	54	43	60	54	50	51	45	62	59	46	59	49	28	50	45	65	24	43	39	57	74	49	53	40	27	21	35	61	54	15	74	40	49	42	65	45	3	10	1	3					
