Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Красногвардейская № 4																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763					
1	"Число избирателей, внесенных в списки"	124494	2744	2438	2307	2427	1636	1689	1871	1844	1812	1847	1920	1919	1814	2003	2026	2100	2186	2344	2163	2064	2323	2206	2357	2195	2355	875	2185	2114	1525	2252	2203	2189	2877	2395	2264	1554	821	2330	1639	1484	2177	2242	858	1936	2064	2185	1991	1599	1839	2189	2059	2035	1815	1674	1636	1707	1664	2305	1973	1591	1741	2078	1788	10	41					
2	"Число бюллетеней, полученных участковыми комиссиями"	114820	2600	2200	2100	2200	1500	1600	1700	1700	1700	1700	1800	1800	1700	1800	1900	1900	2000	2200	2000	1900	2200	2000	2200	2100	2200	800	2000	1900	1400	2100	2000	2000	2600	2200	2100	1400	800	2200	1500	1400	2000	2100	800	1800	2000	2000	1800	1500	1700	2000	1900	1900	1700	1500	1500	1500	1600	1800	1900	1500	1600	1900	1600	60	60					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	55002	1100	1079	1056	1136	740	743	845	866	808	830	918	958	772	904	895	899	1173	838	1064	1113	1006	1016	944	927	989	360	1242	860	603	961	846	1132	1171	1040	1116	608	302	1050	656	747	1003	1043	315	979	951	946	823	700	746	946	890	847	848	731	706	653	655	1114	785	754	797	605	801	10	41					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1071	18	16	14	21	33	17	18	20	12	17	10	16	30	21	19	24	26	20	23	26	13	27	13	3	23	1	31	10	6	22	7	24	35	22	19	7	4	23	17	11	20	15	18	11	23	16	13	14	14	15	15	14	21	8	11	10	13	18	21	16	13	16	17	0	0					
6	Число погашенных бюллетеней	58747	1482	1105	1030	1043	727	840	837	814	880	853	872	826	898	875	986	977	801	1342	913	761	1181	957	1243	1170	1188	439	727	1030	791	1117	1147	844	1394	1138	965	785	494	1127	827	642	977	1042	467	810	1026	1038	964	786	940	1039	995	1039	831	761	783	837	932	668	1094	730	790	1279	782	50	19					
7	Число бюллетеней в переносных ящиках для голосования	1071	18	16	14	21	33	17	18	20	12	17	10	16	30	21	19	24	26	20	23	26	13	27	13	3	23	1	31	10	6	22	7	24	35	22	19	7	4	23	17	11	20	15	18	11	23	16	13	14	14	15	15	14	21	8	11	10	13	18	21	16	13	16	17	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	54952	1100	1079	1056	1136	740	743	845	866	808	830	918	947	772	904	895	899	1173	837	1062	1112	1004	1014	944	926	989	359	1242	860	603	961	846	1131	1171	1040	1116	608	302	1049	656	747	1003	1039	315	979	951	942	823	700	746	946	884	847	848	731	706	653	655	1101	785	754	797	605	801	10	41					
9	Число недействительных бюллетеней	430	38	9	10	18	5	5	5	5	5	6	3	1	6	11	4	2	3	5	8	6	5	6	5	4	13	1	10	0	1	12	7	9	10	9	6	14	3	10	0	5	4	9	5	9	2	7	7	8	22	5	16	5	6	3	4	1	3	5	4	3	9	4	4	0	0					
10	Число действительных бюллетеней	55593	1080	1086	1060	1139	768	755	858	881	815	841	925	962	796	914	910	921	1196	852	1077	1132	1012	1035	952	925	999	359	1263	870	608	971	846	1146	1196	1053	1129	601	303	1062	673	753	1019	1045	328	981	972	951	829	706	738	956	883	856	863	736	713	662	665	1114	802	767	801	617	814	10	41					
