Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Октябрьская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79424	789	1544	1920	2576	2342	2026	1879	2738	969	455	1809	977	2187	2233	1822	1895	1468	2427	2421	2145	1082	2696	1606	1956	2349	2424	2008	1429	2484	2599	2067	2429	2839	2969	2276	2367	756	1601	1512	1447	1906									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79000	890	1500	1900	2550	2300	2000	1900	2700	1080	540	1900	950	2200	2200	1800	1900	1400	2400	2400	2100	1050	2700	1600	1900	2300	2400	1930	1400	2500	2600	2000	2400	2850	2990	2300	2300	770	1600	1500	1500	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49295	383	1149	951	1652	1081	1429	1158	1924	698	344	1141	405	1417	1564	1301	1339	457	1711	1321	1086	803	1536	846	1246	1659	1711	1451	985	1590	799	572	1575	1642	1839	1707	1638	533	1135	1044	1130	1343									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	842	37	35	28	9	15	11	7	19	5	74	26	7	11	15	14	11	260	15	19	12	12	8	14	25	9	12	22	15	23	2	0	4	5	2	6	5	4	6	8	0	30									
6	Число погашенных избирательных бюллетеней	28863	470	316	921	889	1204	560	735	757	377	122	733	538	772	621	485	550	683	674	1060	1002	235	1156	740	629	632	677	457	400	887	1799	1428	821	1203	1149	587	657	233	459	448	370	427									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	842	37	35	28	9	15	11	7	19	5	74	26	7	11	15	14	11	260	15	19	12	12	8	14	25	9	12	22	15	23	2	0	4	5	2	6	5	4	6	8	0	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49295	383	1149	951	1652	1081	1429	1158	1924	698	344	1141	405	1417	1564	1301	1339	457	1711	1321	1086	803	1536	846	1246	1659	1711	1451	985	1590	799	572	1575	1642	1839	1707	1638	533	1135	1044	1130	1343									
9	Число недействительных избирательных бюллетеней	226	10	10	5	0	0	0	10	0	6	9	0	2	2	5	0	12	0	9	1	0	7	8	4	0	0	15	0	11	2	8	6	0	22	16	8	19	2	0	3	5	9									
10	Число действительных избирательных бюллетеней	49911	410	1174	974	1661	1096	1440	1155	1943	697	409	1167	410	1426	1574	1315	1338	717	1717	1339	1098	808	1536	856	1271	1668	1708	1473	989	1611	793	566	1579	1625	1825	1705	1624	535	1141	1049	1125	1364									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	610	10	15	15	20	15	15	15	20	10	10	15	10	15	15	15	15	15	15	15	15	10	15	15	15	15	15	15	10	15	20	15	25	20	20	15	15	10	15	15	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	335	1	4	8	8	13	9	2	6	5	0	9	3	6	13	12	7	4	15	7	3	1	7	11	3	8	14	4	4	10	10	15	18	20	16	9	12	5	10	9	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	0	3	1	2	2	1	0	2	1	0	1	2	5	0	3	3	3	4	2	3	1	2	1	0	0	3	1	4	2	0	7	0	1	0	0	54	0	4	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	275	9	11	7	12	2	6	13	14	5	10	6	7	9	2	3	8	11	0	8	12	9	8	4	12	7	1	11	6	5	10	0	7	0	4	6	3	5	5	6	3	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	132	1	3	2	1	6	3	5	2	1	0	1	1	5	4	5	7	2	2	7	4	1	6	1	2	2	4	1	3	7	3	6	1	3	8	3	3	2	3	4	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
