Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Юрьевецкая																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854					
1	"Число избирателей, внесенных в списки"	15857	2290	764	815	836	823	1748	1831	1791	273	260	773	177	689	157	487	332	161	298	144	353	181	421	253					
2	"Число бюллетеней, полученных участковыми комиссиями"	15867	2298	765	820	851	822	1745	1852	1789	272	260	767	173	687	162	485	318	155	297	147	351	176	423	252					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7603	1102	391	382	374	471	781	767	924	151	148	346	89	309	65	212	182	67	138	73	169	74	232	156					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	977	59	26	20	25	25	92	115	88	27	6	88	25	100	39	73	20	12	26	14	32	13	30	22					
6	Число погашенных бюллетеней	7287	1137	348	418	452	326	872	970	777	94	106	333	59	278	58	200	116	76	133	60	150	89	161	74					
7	Число бюллетеней в переносных ящиках для голосования	977	59	26	20	25	25	92	115	88	27	6	88	25	100	39	73	20	12	26	14	32	13	30	22					
8	Число бюллетеней в стационарных ящиках для голосования	7601	1102	391	382	374	471	781	767	922	151	148	346	89	309	65	212	182	67	138	73	169	74	232	156					
9	Число недействительных бюллетеней	95	17	8	5	6	4	9	6	6	0	4	2	0	4	0	1	5	1	5	2	1	0	6	3					
10	Число действительных бюллетеней	8483	1144	409	397	393	492	864	876	1004	178	150	432	114	405	104	284	197	78	159	85	200	87	256	175					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	158	13	5	5	5	7	18	20	20	3	3	5	2	5	12	5	2	2	2	7	4	2	4	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	72	8	1	4	1	6	6	5	11	1	3	3	0	2	6	5	0	0	1	4	0	0	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	4	3	5	1	2	1	5	4	2	0	0	0	3	0	1	2	0	2	2	0	5	1	2					
14	Число погашенных открепительных удостоверений	85	5	4	1	4	1	12	14	9	2	0	2	2	3	6	0	2	2	1	3	4	2	1	5					
15	Число открепительных удостоверений выданных ТИК	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	112	12	4	8	5	10	18	5	6	1	5	3	1	6	2	4	3	0	4	3	1	4	3	4					
		1.30%	1.03%	0.95%	1.99%	1.25%	2.01%	2.06%	0.56%	0.59%	0.56%	3.24%	0.69%	0.87%	1.46%	1.92%	1.40%	1.48%	0.0%	2.43%	3.44%	0.49%	4.59%	1.14%	2.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	98	16	3	6	7	5	6	6	15	2	4	3	2	5	0	1	0	1	2	2	3	0	8	1					
		1.14%	1.37%	0.71%	1.49%	1.75%	1.00%	0.68%	0.68%	1.48%	1.12%	2.59%	0.69%	1.75%	1.22%	0.0%	0.35%	0.0%	1.26%	1.21%	2.29%	1.49%	0.0%	3.05%	0.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	45	17	20	9	15	32	28	24	4	3	19	2	6	5	14	2	4	14	3	14	3	11	4					
		3.47%	3.87%	4.07%	4.97%	2.25%	3.02%	3.66%	3.17%	2.37%	2.24%	1.94%	4.37%	1.75%	1.46%	4.80%	4.91%	0.99%	5.06%	8.53%	3.44%	6.96%	3.44%	4.19%	2.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	193	18	12	11	15	7	29	28	25	0	2	14	3	6	1	6	3	1	3	0	1	1	4	3					
		2.24%	1.55%	2.87%	2.73%	3.75%	1.41%	3.32%	3.17%	2.47%	0.0%	1.29%	3.22%	2.63%	1.46%	0.96%	2.10%	1.48%	1.26%	1.82%	0.0%	0.49%	1.14%	1.52%	1.68%					
22	"5. ""За Русь Святую"""	56	11	2	4	2	3	7	9	0	0	0	2	5	0	2	2	0	2	1	0	2	0	0	2					
		0.65%	0.94%	0.47%	0.99%	0.50%	0.60%	0.80%	1.02%	0.0%	0.0%	0.0%	0.46%	4.38%	0.0%	1.92%	0.70%	0.0%	2.53%	0.60%	0.0%	0.99%	0.0%	0.0%	1.12%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	4	2	0	1	2	5	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0					
