Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Ахвахская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27					
1	"Число избирателей, внесенных в списки"	12001	2656	148	425	123	252	330	524	413	282	351	678	723	363	411	154	335	555	454	395	317	261	226	66	78	244	928	309					
2	"Число бюллетеней, полученных участковыми комиссиями"	11719	2556	150	425	123	245	322	500	427	277	343	678	750	315	399	155	320	555	454	350	270	260	226	66	78	236	930	309					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10698	2469	112	412	88	145	322	391	304	250	277	668	678	299	324	95	262	499	454	308	270	260	226	65	77	236	898	309					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	261	37	0	6	4	42	0	13	0	25	14	0	45	16	0	0	0	50	0	9	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	760	50	38	7	31	58	0	96	123	2	52	10	27	0	75	60	58	6	0	33	0	0	0	1	1	0	32	0					
7	Число бюллетеней в переносных ящиках для голосования	261	37	0	6	4	42	0	13	0	25	14	0	45	16	0	0	0	50	0	9	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10682	2462	112	412	88	145	322	391	304	250	277	668	670	299	324	95	262	499	454	307	270	260	226	65	77	236	898	309					
9	Число недействительных бюллетеней	372	31	0	21	0	1	9	3	111	0	35	1	0	0	0	0	3	10	0	3	0	0	0	0	1	0	143	0					
10	Число действительных бюллетеней	10571	2468	112	397	92	186	313	401	193	275	256	667	715	315	324	95	259	539	454	313	270	260	226	65	76	236	755	309					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	4	6	5	0	10	10	5	4	5	28	10	10	10	5	3	6	20	10	8	7	6	6	0	0	17	0	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	4	0	0	0	1	0	0	0	0	26	2	3	2	0	3	0	1	0	2	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	155	0	6	5	0	9	10	5	4	5	2	8	7	8	5	0	6	19	10	6	6	6	6	0	0	17	0	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	243	3	0	0	2	0	0	14	12	0	14	4	12	0	0	0	0	98	2	29	1	0	3	0	0	0	28	21					
		2.22%	0.12%	0.0%	0.0%	2.17%	0.0%	0.0%	3.46%	3.94%	0.0%	4.81%	0.59%	1.67%	0.0%	0.0%	0.0%	0.0%	17.85%	0.44%	9.17%	0.37%	0.0%	1.32%	0.0%	0.0%	0.0%	3.11%	6.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	73	1	0	0	0	1	0	0	0	2	0	3	52	0	0	0	0	0	0	9	0	0	3	0	0	0	2	0					
		0.66%	0.04%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.72%	0.0%	0.44%	7.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.84%	0.0%	0.0%	1.32%	0.0%	0.0%	0.0%	0.22%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	24	2	0	3	0	1	0	5	0	1	0	0	6	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0					
		0.21%	0.08%	0.0%	0.71%	0.0%	0.53%	0.0%	1.23%	0.0%	0.36%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	8	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	1.45%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	2.10%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	197	1	0	11	0	3	0	1	0	2	0	21	54	0	0	0	0	11	40	7	23	0	1	0	0	12	10	0					
		1.80%	0.04%	0.0%	2.63%	0.0%	1.60%	0.0%	0.24%	0.0%	0.72%	0.0%	3.14%	7.55%	0.0%	0.0%	0.0%	0.0%	2.00%	8.81%	2.21%	8.51%	0.0%	0.44%	0.0%	0.0%	5.08%	1.11%	0.0%					
28	"11. ""Истинные патриоты России"""	750	15	5	11	11	56	0	19	7	0	60	159	21	52	18	0	29	51	40	34	0	35	7	1	73	0	19	27					
		6.85%	0.60%	4.46%	2.63%	11.95%	29.94%	0.0%	4.70%	2.30%	0.0%	20.61%	23.80%	2.93%	16.50%	5.55%	0.0%	11.06%	9.28%	8.81%	10.75%	0.0%	13.46%	3.09%	1.53%	94.80%	0.0%	2.11%	8.73%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	0	0	3	0	1	0	5	7	0	9	0	4	0	0	0	0	0	5	6	4	2	18	0	0	0	0	0					
		0.58%	0.0%	0.0%	0.71%	0.0%	0.53%	0.0%	1.23%	2.30%	0.0%	3.09%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	1.89%	1.48%	0.76%	7.96%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	11	0	0	0	0	1	0	3	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.61%	0.0%	0.0%	0.0%	0.22%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	954	56	55	43	53	48	60	45	78	37	71	146	68	24	139	26	0	0	3	1	0	1	0	0	0	0	0	0					
		8.71%	2.24%	49.10%	10.28%	57.60%	25.66%	18.63%	11.13%	25.65%	13.45%	24.39%	21.85%	9.51%	7.61%	42.90%	27.36%	0.0%	0.0%	0.66%	0.31%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	0	0	0	0	1	0	3	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.74%	0.32%	0.36%	0.0%	0.14%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	175	6	0	0	0	2	0	2	2	2	0	1	15	0	0	0	0	7	57	8	4	0	1	25	0	0	42	1					
		1.59%	0.24%	0.0%	0.0%	0.0%	1.06%	0.0%	0.49%	0.65%	0.72%	0.0%	0.14%	2.09%	0.0%	0.0%	0.0%	0.0%	1.27%	12.55%	2.53%	1.48%	0.0%	0.44%	38.46%	0.0%	0.0%	4.67%	0.32%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.74%	0.32%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	73	4	0	0	0	1	0	3	0	8	3	0	3	0	0	0	0	8	4	21	0	0	6	0	0	0	12	0					
		0.66%	0.16%	0.0%	0.0%	0.0%	0.53%	0.0%	0.74%	0.0%	2.90%	1.03%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	1.45%	0.88%	6.64%	0.0%	0.0%	2.65%	0.0%	0.0%	0.0%	1.33%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	13	0	0	0	1	0	0	2	0	2	0	0	5	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0					
