Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Палехская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626					
1	"Число избирателей, внесенных в списки избирателей"	9639	131	274	433	289	539	473	295	286	364	505	1310	2554	2186					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9826	132	297	439	292	548	485	301	305	389	518	1352	2551	2217					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5032	43	155	225	96	247	215	124	111	134	175	720	1575	1212					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1298	52	41	68	94	98	128	95	78	127	142	160	128	87					
6	Число погашенных избирательных бюллетеней	3496	37	101	146	102	203	142	82	116	128	201	472	848	918					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1298	52	41	68	94	98	128	95	78	127	142	160	128	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5032	43	155	225	96	247	215	124	111	134	175	720	1575	1212					
9	Число недействительных избирательных бюллетеней	39	1	0	2	1	1	1	4	3	0	2	4	10	10					
10	Число действительных избирательных бюллетеней	6291	94	196	291	189	344	342	215	186	261	315	876	1693	1289					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	205	4	17	11	6	17	11	7	17	24	10	24	32	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	189	4	13	11	3	17	7	7	17	24	10	24	31	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	102	1	3	7	0	8	7	3	0	4	3	15	30	21					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	4	0	3	0	4	0	0	0	0	0	1	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	1	0	1	0	0	4	1	0	5	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	414	4	34	52	21	23	20	8	14	14	13	30	112	69					
		6.54%	4.21%	17.35%	17.75%	11.05%	6.67%	5.83%	3.65%	7.41%	5.36%	4.10%	3.41%	6.58%	5.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	47	0	5	0	2	1	0	0	1	0	3	7	14	14					
		0.74%	0.00%	2.55%	0.00%	1.05%	0.29%	0.00%	0.00%	0.53%	0.00%	0.95%	0.80%	0.82%	1.08%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	0	0	0	0	0	0	0	0	2	0	2					
		0.08%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.15%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	882	9	25	25	22	21	10	24	22	35	35	118	327	209					
		13.93%	9.47%	12.76%	8.53%	11.58%	6.09%	2.92%	10.96%	11.64%	13.41%	11.04%	13.41%	19.20%	16.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	31	0	0	0	1	1	0	0	0	0	0	5	13	11					
		0.49%	0.00%	0.00%	0.00%	0.53%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.76%	0.85%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	1	1	1	0	0	1	0	1	1	2	3	5					
		0.25%	0.00%	0.51%	0.34%	0.53%	0.00%	0.00%	0.46%	0.00%	0.38%	0.32%	0.23%	0.18%	0.38%					
24	7.Политическая партия «Либерально-демократическая партия России»	586	8	8	27	16	25	49	16	25	27	31	92	137	125					
		9.26%	8.42%	4.08%	9.22%	8.42%	7.25%	14.29%	7.31%	13.23%	10.34%	9.78%	10.45%	8.04%	9.62%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	556	5	22	39	16	35	25	11	9	10	25	87	157	115					
		8.78%	5.26%	11.22%	13.31%	8.42%	10.14%	7.29%	5.02%	4.76%	3.83%	7.89%	9.89%	9.22%	8.85%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	69	1	0	9	1	2	3	1	1	2	5	6	30	8					
		1.09%	1.05%	0.00%	3.07%	0.53%	0.58%	0.87%	0.46%	0.53%	0.77%	1.58%	0.68%	1.76%	0.62%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3636	65	101	136	109	236	232	152	112	171	200	526	874	722					
		57.44%	68.42%	51.53%	46.42%	57.37%	68.41%	67.64%	69.41%	59.26%	65.52%	63.09%	59.77%	51.32%	55.58%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	49	1	0	2	0	0	3	2	2	1	2	1	26	9					
		0.77%	1.05%	0.00%	0.68%	0.00%	0.00%	0.87%	0.91%	1.06%	0.38%	0.63%	0.11%	1.53%	0.69%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
