Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Обнинская городская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
1	"Число избирателей, внесенных в списки"	85632	1017	609	1972	1714	2842	2536	1260	1807	2405	167	2153	2258	2708	2114	2654	2613	1659	2605	2748	2812	2769	2013	2754	2222	2659	2796	2782	2741	2748	2708	2140	554	2804	2658	2717	2666	2489	2759					
2	"Число бюллетеней, полученных участковыми комиссиями"	84367	1000	600	1941	1700	2650	2450	1200	1800	2400	250	2150	2257	2700	2100	2650	2600	1603	2600	2714	2800	2712	2000	2700	2149	2650	2750	2700	2705	2700	2700	2100	530	2700	2600	2600	2706	2500	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42038	477	300	970	928	1589	1244	360	960	1143	71	1122	1118	1311	966	1533	1461	778	1276	1366	1264	1344	1043	1348	1093	1417	1400	1520	1473	1348	1305	1100	200	1219	1255	830	1288	1065	1553					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	785	69	13	22	17	20	24	2	17	15	96	31	19	20	20	13	23	10	22	19	15	16	4	13	12	15	23	29	18	19	19	6	0	15	5	32	18	21	33					
6	Число погашенных бюллетеней	41544	454	287	949	755	1041	1182	838	823	1242	83	997	1120	1369	1114	1104	1116	815	1302	1329	1521	1352	953	1339	1044	1218	1327	1151	1214	1333	1376	994	330	1466	1340	1738	1400	1414	1114					
7	Число бюллетеней в переносных ящиках для голосования	785	69	13	22	17	20	24	2	17	15	96	31	19	20	20	13	23	10	22	19	15	16	4	13	12	15	23	29	18	19	19	6	0	15	5	32	18	21	33					
8	Число бюллетеней в стационарных ящиках для голосования	41984	477	300	970	926	1583	1240	360	960	1141	71	1122	1116	1309	966	1533	1461	778	1269	1372	1259	1344	1041	1348	1093	1416	1398	1519	1468	1345	1302	1098	200	1217	1251	828	1286	1065	1552					
9	Число недействительных бюллетеней	294	6	2	4	8	14	6	3	6	17	2	6	12	4	2	9	13	5	6	6	5	6	2	9	3	18	11	11	12	15	5	8	0	13	7	3	5	16	14					
10	Число действительных бюллетеней	42475	540	311	988	935	1589	1258	359	971	1139	165	1147	1123	1325	984	1537	1471	783	1285	1385	1269	1354	1043	1352	1102	1413	1410	1537	1474	1349	1316	1096	200	1219	1249	857	1299	1070	1571					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1446	18	15	30	30	50	45	18	35	45	0	35	35	45	35	45	45	35	45	46	45	45	34	46	25	45	45	45	44	46	45	35	20	45	45	45	45	45	49					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	323	1	1	11	4	9	11	3	10	10	0	7	7	12	6	16	11	5	9	10	8	9	10	14	14	9	8	6	11	8	15	5	1	3	6	7	13	14	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	318	25	2	8	3	2	35	4	6	6	7	9	6	8	39	9	8	6	7	10	9	12	6	4	6	7	2	3	9	6	8	3	9	8	6	1	8	4	7					
