Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Сасовская городская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №1058	УИК №1059					
1	"Число избирателей, внесенных в список избирателей"	25832	1331	1572	1478	1126	1268	1306	1334	1224	2814	1423	1378	1098	1536	1092	1163	1194	1157	1139	1199					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21150	1100	1250	1100	950	1100	1100	1100	1000	2300	1200	1100	900	1250	900	950	950	950	950	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13333	573	625	717	584	687	745	662	547	1306	766	694	600	838	579	672	618	694	703	723					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1426	102	189	80	144	85	47	63	42	143	163	116	37	16	25	13	28	22	50	61					
6	Число погашенных избирательных бюллетеней	6391	425	436	303	222	328	308	375	411	851	271	290	263	396	296	265	304	234	197	216					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1426	102	189	80	144	85	47	63	42	143	163	116	37	16	25	13	28	22	50	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13331	573	625	717	584	687	745	662	547	1306	766	694	599	838	579	671	618	694	703	723					
9	Число недействительных избирательных бюллетеней	218	7	9	11	10	8	14	8	15	35	19	20	19	11	6	4	7	8	6	1					
10	Число действительных избирательных бюллетеней	14539	668	805	786	718	764	778	717	574	1414	910	790	617	843	598	680	639	708	747	783					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	392	16	16	16	16	19	40	16	16	50	16	16	21	22	17	21	17	17	23	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	307	12	16	13	16	17	23	9	14	22	16	16	19	22	13	21	12	15	19	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	241	12	23	34	6	7	10	12	12	15	10	6	8	6	6	12	26	11	13	12					
14	Число погашенных неиспользованных открепительных удостоверений	85	4	0	3	0	2	17	7	2	28	0	0	2	0	4	0	5	2	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1571	79	70	92	77	85	70	34	67	197	65	51	90	110	41	93	97	115	64	74					
		10.65%	11.70%	8.60%	11.54%	10.58%	11.01%	8.84%	4.69%	11.38%	13.60%	6.99%	6.30%	14.15%	12.88%	6.79%	13.60%	15.02%	16.06%	8.50%	9.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1533	44	124	129	84	60	76	93	79	157	59	83	79	114	25	54	77	78	69	49					
		10.39%	6.52%	15.23%	16.19%	11.54%	7.77%	9.60%	12.83%	13.41%	10.84%	6.35%	10.25%	12.42%	13.35%	4.14%	7.89%	11.92%	10.89%	9.16%	6.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	119	15	8	5	8	2	5	0	6	20	7	1	7	3	9	10	5	3	2	3					
		0.81%	2.22%	0.98%	0.63%	1.10%	0.26%	0.63%	0.00%	1.02%	1.38%	0.75%	0.12%	1.10%	0.35%	1.49%	1.46%	0.77%	0.42%	0.27%	0.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2775	128	177	184	149	168	123	117	142	355	177	97	142	102	132	116	106	107	101	152					
		18.80%	18.96%	21.74%	23.09%	20.47%	21.76%	15.53%	16.14%	24.11%	24.50%	19.05%	11.98%	22.33%	11.94%	21.85%	16.96%	16.41%	14.94%	13.41%	19.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	151	4	5	12	9	1	9	0	5	27	14	3	8	12	8	5	7	3	8	11					
		1.02%	0.59%	0.61%	1.51%	1.24%	0.13%	1.14%	0.00%	0.85%	1.86%	1.51%	0.37%	1.26%	1.41%	1.32%	0.73%	1.08%	0.42%	1.06%	1.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8339	394	420	361	387	447	492	473	270	652	585	554	290	497	381	398	345	400	502	491					
		56.51%	58.37%	51.60%	45.29%	53.16%	57.90%	62.12%	65.24%	45.84%	44.99%	62.97%	68.40%	45.60%	58.20%	63.08%	58.19%	53.41%	55.87%	66.67%	62.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	4	1	3	4	1	3	0	5	6	3	1	1	5	2	4	2	2	1	3					
		0.35%	0.59%	0.12%	0.38%	0.55%	0.13%	0.38%	0.00%	0.85%	0.41%	0.32%	0.12%	0.16%	0.59%	0.33%	0.58%	0.31%	0.28%	0.13%	0.38%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
