Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Сасовская городская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798					
1	"Число избирателей, внесенных в списки избирателей"	26030	1272	1352	1373	2665	2691	2412	2469	2684	2524	2599	1239	1272	1478					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26050	1270	1360	1370	2660	2660	2440	2500	2700	2550	2630	1230	1270	1410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11370	461	616	639	1089	1103	1101	1089	1180	1213	1112	575	458	734					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	414	21	39	21	53	84	16	15	24	21	49	14	27	30					
6	Число погашенных избирательных бюллетеней	14266	788	705	710	1518	1473	1323	1396	1496	1316	1469	641	785	646					
7	Число избирательных бюллетеней в переносных ящиках для голосования	414	21	39	21	53	84	16	15	24	21	49	14	27	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11370	461	616	639	1089	1103	1101	1089	1180	1213	1112	575	458	734					
9	Число недействительных избирательных бюллетеней	116	7	13	1	22	7	5	12	10	10	8	6	6	9					
10	Число действительных избирательных бюллетеней	11668	475	642	659	1120	1180	1112	1092	1194	1224	1153	583	479	755					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	193	10	10	29	15	15	19	17	17	25	13	9	4	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	160	5	7	29	14	11	17	16	17	19	9	4	2	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	101	12	5	6	12	10	10	11	12	6	5	5	1	6					
