Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307					
1	"Число избирателей, внесенных в список"	39828	121	2890	2876	1907	2003	2131	1722	1838	1575	1570	1630	1997	1899	2005	2034	1889	2047	2367	954	533	271	881	373	275	107	453	301	789	390					
2	Число полученных избирательных бюллетеней	38413	103	2850	2850	1850	1950	2100	1700	1800	1500	1500	1600	1950	1800	1950	2000	1850	2000	1950	900	550	260	850	350	270	100	420	280	750	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	20	0	0	0	0	26	36	65	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23013	30	1577	1731	1038	1140	1205	917	1104	891	950	912	1165	1110	997	1218	1171	1238	1629	505	304	166	483	199	178	82	247	191	416	219					
5	"Число избирательных бюллетеней, выданных вне помещения"	423	65	15	8	4	11	7	11	8	3	8	11	5	12	36	6	2	9	15	5	3	2	58	11	16	2	17	2	55	16					
6	Число погашенных избирательных бюллетеней	14805	8	1258	1111	808	799	888	772	688	606	542	677	780	678	917	776	677	753	306	390	218	72	309	140	76	16	130	51	214	145					
7	Число избирательных бюллетеней в переносных ящиках	595	65	15	8	4	11	7	11	8	3	8	11	5	12	36	6	2	9	15	5	28	22	58	11	16	2	43	38	120	16					
8	Число бюллетеней в стационарных ящиках для голосования	23011	30	1577	1731	1038	1140	1205	917	1104	891	950	912	1165	1110	997	1218	1171	1238	1627	505	304	166	483	199	178	82	247	191	416	219					
9	Число недействительных избирательных бюллетеней	176	1	12	18	9	8	12	9	0	3	2	2	5	12	12	9	10	9	6	9	1	5	7	4	1	0	2	0	4	4					
10	Число действительных избирательных бюллетеней	23430	94	1580	1721	1033	1143	1200	919	1112	891	956	921	1165	1110	1021	1215	1163	1238	1636	501	331	183	534	206	193	84	288	229	532	231					
11	Число полученных открепительных  удостоверений	800	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	20	20	30	30	30	30	20					
12	Число выданных открепительных удостоверений	247	0	7	16	7	15	16	17	2	8	11	8	17	11	8	11	8	11	17	6	4	9	11	0	7	6	4	0	5	5					
