Выборы Президента Российской Федерации																																																																														
Дата голосования: 02.03.2008																																																																														
																																																																														
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
	Число участковых избирательных комиссий	71																																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	71																																																																												
																																																																														
		Сумма	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540					
1	"Число избирателей, включенных в списки избирателей"	131142	442	885	1409	1856	1358	1010	1614	577	1504	2142	1771	2775	2331	2177	1399	1749	1650	1969	2163	2672	2056	1898	1990	2532	1842	1578	1439	2447	2562	1703	1565	2200	1895	2418	1672	1965	2224	2039	2704	2033	2233	2023	2327	1809	1760	2156	2178	2001	1939	2332	2105	1656	1787	1949	2477	2545	2363	2356	2409	2313	2549	2106	54	2849	2149	1622	1379	254	174	481	592					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	97200	700	800	1100	1500	1000	800	1200	500	1100	1500	1300	2000	1700	1500	1000	1400	1200	1500	1500	2000	1500	1500	1500	1800	1300	1200	1000	1800	1800	1200	1100	1600	1400	1600	1100	1500	1500	1500	2000	1500	1600	1500	1700	1300	1300	1600	1600	1500	1500	1700	1500	1200	1300	1500	1800	2000	1700	1700	1700	1700	1800	1500	100	2000	1600	1200	1000	250	200	650	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	74655	442	518	741	1080	799	353	834	311	764	1231	995	1399	1399	1184	818	1040	916	1199	1266	1568	1183	1113	1193	1412	1102	877	833	1504	1467	941	954	1322	1089	1092	635	1158	1349	1094	1528	1147	1351	1197	1300	950	980	1210	1218	1170	1116	1302	1221	976	992	1110	1417	1479	1430	1420	1456	1301	1284	1047	54	1604	1157	883	740	236	163	477	564					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2074	0	23	25	43	32	33	21	1	33	16	17	10	9	33	10	4	18	29	40	63	26	44	26	41	70	56	22	52	11	27	9	21	30	33	25	19	24	60	33	24	25	70	29	115	34	39	59	42	34	39	24	21	15	25	51	38	29	30	21	34	27	30	0	18	25	48	39	0	0	0	0					
6	Число погашенных избирательных бюллетеней	20471	258	259	334	377	169	414	345	188	303	253	288	591	292	283	172	356	266	272	194	369	291	343	281	347	128	267	145	244	322	232	137	257	281	475	440	323	127	346	439	329	224	233	371	235	286	351	323	288	350	359	255	203	293	365	332	483	241	250	223	365	489	423	46	378	418	269	221	14	37	173	236					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2074	0	23	25	43	32	33	21	1	33	16	17	10	9	33	10	4	18	29	40	63	26	44	26	41	70	56	22	52	11	27	9	21	30	33	25	19	24	60	33	24	25	70	29	115	34	39	59	42	34	39	24	21	15	25	51	38	29	30	21	34	27	30	0	18	25	48	39	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	74478	442	517	741	1080	798	353	834	311	761	1231	995	1397	1396	1184	818	1040	916	1194	1265	1566	1183	1113	1193	1404	1032	873	832	1503	1467	940	954	1322	1088	1089	635	1150	1349	1094	1528	1147	1351	1192	1296	950	980	1204	1218	1170	1116	1302	1221	976	977	1110	1417	1479	1430	1420	1455	1301	1257	1046	54	1602	1157	883	739	236	163	477	564					
9	Число недействительных избирательных бюллетеней	1635	12	13	31	40	21	8	21	9	14	36	24	18	32	38	14	57	23	18	21	44	36	14	18	38	27	19	22	34	25	20	21	26	19	22	11	23	26	21	27	15	29	34	21	22	18	29	21	34	30	25	26	34	10	18	29	25	31	34	33	18	33	17	0	39	19	16	12	3	3	8	6					
10	Число действительных избирательных бюллетеней	74917	430	527	735	1083	809	378	834	303	780	1211	988	1389	1373	1179	814	987	911	1205	1284	1585	1173	1143	1201	1407	1075	910	832	1521	1453	947	942	1317	1099	1100	649	1146	1347	1133	1534	1156	1347	1228	1304	1043	996	1214	1256	1178	1120	1316	1219	963	982	1117	1439	1492	1428	1416	1443	1317	1251	1059	54	1581	1163	915	766	233	160	469	558					
