Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540					
1	"Число избирателей, внесенных в список"	127515	914	1429	1942	1457	404	918	599	1537	2235	1653	2838	2047	2105	1384	2112	1607	1977	2090	2255	2016	1956	1980	2449	1795	1563	1336	1979	2403	1578	1487	2120	1887	1657	2310	2032	1949	2113	2412	2033	2300	2013	2394	1775	1828	2257	2224	2038	1987	2523	2195	1702	1839	2002	2524	2638	2439	2379	2420	2084	1976	1593	1514	2197	2137	2709	81	157	124	256	652					
2	Число полученных избирательных бюллетеней	123240	850	1400	1900	1400	350	800	550	1500	2200	1600	2700	2000	2000	1300	2000	1500	1900	2000	2200	2000	1900	1900	2400	1700	1500	1200	1900	2200	1500	1300	2000	1800	1500	2200	2000	1900	2000	2400	2000	2300	2000	2300	1700	1800	2200	2200	2000	2000	2500	2200	1600	1800	1900	2500	2600	2400	2400	2400	2000	2000	1500	1400	2000	2000	2600	100	180	130	330	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	70303	550	747	1144	842	285	501	249	822	1285	895	1362	1063	1176	777	992	897	1207	1132	1312	1169	1148	1154	1411	1025	847	776	1176	1410	845	936	1233	1072	736	881	1101	1080	1114	1258	1076	1286	1150	1313	909	1002	1249	1224	1168	1098	1370	1246	946	977	1138	1340	1420	1412	1401	1398	1169	1023	920	632	1195	1120	1513	16	134	112	252	484					
5	"Число избирательных бюллетеней, выданных вне помещения"	1604	19	25	52	31	0	17	5	26	12	12	11	7	23	8	4	15	16	41	34	23	15	29	23	30	39	11	30	9	26	7	20	18	25	28	9	14	32	11	29	22	24	24	95	15	17	28	25	25	36	22	20	14	18	26	27	32	28	17	21	16	7	10	7	5	43	63	0	0	0	131					
6	Число погашенных избирательных бюллетеней	51333	281	628	704	527	65	282	296	652	903	693	1327	930	801	515	1004	588	677	827	854	808	737	717	966	645	614	413	694	781	629	357	747	710	739	1291	890	806	854	1131	895	992	826	963	696	783	934	948	807	877	1094	932	634	809	744	1134	1153	956	971	985	810	961	573	758	798	875	1044	21	46	18	78	135					
7	Число избирательных бюллетеней в переносных ящиках	1604	19	25	52	31	0	17	5	26	12	12	11	7	23	8	4	15	16	41	34	23	15	29	23	30	39	11	30	9	26	7	20	18	25	28	9	14	32	11	29	22	24	24	95	15	17	28	25	25	36	22	20	14	18	26	27	32	28	17	21	16	7	10	7	5	43	63	0	0	0	131					
8	Число бюллетеней в стационарных ящиках для голосования	70251	550	747	1144	841	285	501	249	819	1284	895	1362	1063	1176	775	992	897	1206	1129	1312	1169	1148	1154	1409	1023	847	776	1176	1409	845	936	1233	1071	736	881	1101	1078	1114	1258	1072	1284	1150	1313	909	1001	1244	1224	1166	1098	1370	1246	945	977	1134	1340	1420	1412	1401	1398	1169	1015	918	630	1195	1118	1513	16	134	112	252	484					
9	Число недействительных избирательных бюллетеней	518	0	0	5	8	7	3	3	4	6	5	5	5	5	4	4	10	11	16	7	16	4	0	4	10	9	3	6	5	5	1	9	12	6	8	1	5	8	11	7	11	12	19	7	6	13	2	7	11	9	7	8	7	8	10	10	16	11	12	5	2	10	5	2	12	46	0	0	0	3	9					
10	Число действительных избирательных бюллетеней	71337	569	772	1191	864	278	515	251	841	1290	902	1368	1065	1194	779	992	902	1211	1154	1339	1176	1159	1183	1428	1043	877	784	1200	1413	866	942	1244	1077	755	901	1109	1087	1138	1258	1094	1295	1162	1318	997	1010	1248	1250	1184	1112	1397	1261	957	984	1144	1356	1437	1428	1418	1403	1185	1029	915	635	1200	1111	1510	79	134	112	249	606					
11	Число полученных открепительных  удостоверений	2060	15	30	25	25	20	15	15	15	25	20	65	25	30	30	65	20	30	35	50	20	40	30	35	35	35	15	30	35	30	15	35	25	40	20	20	20	35	35	45	50	35	45	25	30	40	30	35	30	30	40	25	30	40	40	50	35	35	30	35	40	30	15	35	20	50	0	0	0	0	10					
12	Число выданных открепительных удостоверений	1000	5	13	11	17	16	7	6	10	25	4	62	21	28	11	36	14	16	18	19	15	16	18	18	15	11	5	14	16	9	5	13	10	23	3	9	6	6	21	13	18	15	19	9	18	12	14	19	16	22	19	8	14	13	25	25	23	23	10	14	12	14	7	15	13	14	0	0	0	0	4					
