Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Каракулинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9835	748	396	185	606	524	405	377	984	1082	967	880	281	352	498	336	577	637									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9770	750	400	180	610	530	400	390	960	1070	950	860	290	350	490	340	570	630									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5096	328	146	115	373	291	232	215	529	558	494	467	184	107	248	187	255	367									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	762	73	105	5	50	68	19	55	31	21	12	6	24	80	28	24	140	21									
6	Число погашенных избирательных бюллетеней	3912	349	149	60	187	171	149	120	400	491	444	387	82	163	214	129	175	242									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	762	73	105	5	50	68	19	55	31	21	12	6	24	80	28	24	140	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5095	328	146	115	373	291	232	215	529	558	493	467	184	107	248	187	255	367									
9	Число недействительных избирательных бюллетеней	144	7	3	6	9	17	11	4	18	5	17	12	3	4	9	5	7	7									
10	Число действительных избирательных бюллетеней	5713	394	248	114	414	342	240	266	542	574	488	461	205	183	267	206	388	381									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	10	10	10	10	15	10	15	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	8	1	1	10	9	0	15	9	9	2	2	10	0	3	10	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	1	1	2	1	0	3	1	4	3	6	3	2	2	4	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	87	2	9	9	0	6	10	0	1	1	8	8	0	10	7	0	9	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	0	0	0	0	0	2	1	1	2	0	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	65	3	3	0	2	3	4	3	12	9	5	7	0	1	1	6	5	1									
		1.11%	0.75%	1.20%	0.00%	0.47%	0.84%	1.59%	1.11%	2.14%	1.55%	0.99%	1.48%	0.00%	0.53%	0.36%	2.84%	1.27%	0.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	126	10	5	2	8	8	3	10	14	15	8	8	5	4	10	2	2	12									
		2.15%	2.49%	1.99%	1.67%	1.89%	2.23%	1.20%	3.70%	2.50%	2.59%	1.58%	1.69%	2.40%	2.14%	3.62%	0.95%	0.51%	3.09%									
