Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Новосибирская - 135																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №820	УИК №821	УИК №822	УИК №828	УИК №829	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №1133									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30578	2777	2946	2769	2012	1584	995	306	483	277	2030	1714	1340	2571	1162	2969	2166	703	667	319	788									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26600	2500	2500	2500	1500	1500	900	300	400	200	2000	1500	1000	2500	1000	2500	2000	500	500	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9544	1049	1145	948	546	512	357	89	165	115	643	548	256	649	289	939	698	185	152	91	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	325	13	19	21	28	6	7	2	25	7	5	14	1	62	10	23	14	52	7	8	1									
6	Число погашенных избирательных бюллетеней	16731	1438	1336	1531	926	982	536	209	210	78	1352	938	743	1789	701	1538	1288	263	341	201	331									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	325	13	19	21	28	6	7	2	25	7	5	14	1	62	10	23	14	52	7	8	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9540	1049	1144	948	545	512	357	89	165	115	643	548	256	649	288	938	698	185	152	91	168									
9	Число недействительных избирательных бюллетеней	332	37	33	26	24	13	19	3	4	13	22	18	6	13	10	47	26	10	4	3	1									
10	Число действительных избирательных бюллетеней	9533	1025	1130	943	549	505	345	88	186	109	626	544	251	698	288	914	686	227	155	96	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	610	50	50	50	40	42	22	9	11	8	40	35	25	50	25	50	45	16	15	9	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	204	13	16	15	7	38	9	0	4	0	10	4	4	19	6	17	15	7	3	9	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	4	17	8	8	9	5	3	18	6	13	11	2	23	8	23	6	7	1	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	406	37	34	35	33	4	13	9	7	8	30	31	21	31	19	33	30	9	12	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	407	47	76	46	36	10	16	6	8	0	7	27	4	23	19	26	22	8	2	2	22									
		4.13%	4.43%	6.53%	4.75%	6.28%	1.93%	4.40%	6.59%	4.21%	0.00%	1.08%	4.80%	1.56%	3.23%	6.38%	2.71%	3.09%	3.38%	1.26%	2.02%	13.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	367	38	39	43	16	27	14	3	8	5	20	18	12	22	5	49	26	10	7	3	2									
		3.72%	3.58%	3.35%	4.44%	2.79%	5.21%	3.85%	3.30%	4.21%	4.10%	3.09%	3.20%	4.67%	3.09%	1.68%	5.10%	3.65%	4.22%	4.40%	3.03%	1.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	176	17	20	19	11	6	4	1	7	2	14	15	4	10	7	18	14	5	0	1	1									
		1.78%	1.60%	1.72%	1.96%	1.92%	1.16%	1.10%	1.10%	3.68%	1.64%	2.16%	2.67%	1.56%	1.41%	2.35%	1.87%	1.97%	2.11%	0.00%	1.01%	0.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3871	422	439	403	231	205	142	32	74	48	221	182	106	260	118	399	311	108	74	45	51									
		39.24%	39.74%	37.75%	41.59%	40.31%	39.58%	39.01%	35.16%	38.95%	39.34%	34.10%	32.38%	41.25%	36.57%	39.60%	41.52%	43.68%	45.57%	46.54%	45.45%	30.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	58	11	4	9	4	4	1	0	2	0	6	3	0	7	3	0	1	1	0	0	2									
		0.59%	1.04%	0.34%	0.93%	0.70%	0.77%	0.27%	0.00%	1.05%	0.00%	0.93%	0.53%	0.00%	0.98%	1.01%	0.00%	0.14%	0.42%	0.00%	0.00%	1.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	2	5	1	0	1	2	0	0	2	0	1	0	5	1	0	3	1	0	0	0									
		0.24%	0.19%	0.43%	0.10%	0.00%	0.19%	0.55%	0.00%	0.00%	1.64%	0.00%	0.18%	0.00%	0.70%	0.34%	0.00%	0.42%	0.42%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1919	215	198	188	116	98	66	28	45	39	149	104	53	128	58	170	121	47	41	24	31									
		19.45%	20.24%	17.02%	19.40%	20.24%	18.92%	18.13%	30.77%	23.68%	31.97%	22.99%	18.51%	20.62%	18.00%	19.46%	17.69%	16.99%	19.83%	25.79%	24.24%	18.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	88	9	11	9	10	4	2	1	0	1	1	7	1	10	7	4	3	4	2	0	2									
		0.89%	0.85%	0.95%	0.93%	1.75%	0.77%	0.55%	1.10%	0.00%	0.82%	0.15%	1.25%	0.39%	1.41%	2.35%	0.42%	0.42%	1.69%	1.26%	0.00%	1.18%									
