Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Район Люблино																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №3120	УИК №3121	УИК №3122	УИК №3123					
1	"Число избирателей, внесенных в списки"	91826	2601	1564	1885	1678	1851	1984	2046	1196	1064	1748	1645	1687	1774	2485	2217	2507	2485	2573	2648	2705	2582	2353	2573	2559	2433	1592	825	1500	1567	1382	2558	2578	2265	2744	1879	2651	2121	1863	2226	1497	2695	319	153	342	2479	2410	239	464	486	148					
2	"Число бюллетеней, полученных участковыми комиссиями"	85539	2500	1500	1700	1500	1700	1800	2000	1100	1000	1600	1500	1600	1600	2300	2000	2300	2300	2500	2500	2500	2500	2200	2500	2200	2300	1500	750	1400	1500	1300	2500	2300	2000	2500	1500	2500	2000	1700	2000	1400	2500	280	175	317	2300	2200	217	500	700	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51056	1448	940	1056	920	985	1032	1207	676	607	1003	911	847	949	1258	1340	1278	1396	1358	1395	1520	1403	1347	1216	1154	1353	849	450	825	825	720	1312	1405	1256	1516	886	1506	1210	1034	1324	810	1511	184	130	300	1625	1578	137	462	454	148					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1185	32	15	27	22	28	45	20	24	17	35	24	21	27	35	38	40	39	25	46	37	35	29	25	10	35	23	3	23	20	10	41	25	21	22	17	31	27	11	57	22	13	4	1	4	25	23	31	0	0	0					
6	Число погашенных бюллетеней	33297	1020	545	617	558	687	723	773	400	376	562	565	732	623	1007	622	982	865	1117	1059	943	1062	824	1259	1036	912	628	297	552	655	570	1147	870	723	962	597	963	763	655	619	568	976	92	44	13	650	599	49	38	246	152					
7	Число бюллетеней в переносных ящиках для голосования	1185	32	15	27	22	28	45	20	24	17	35	24	21	27	35	38	40	39	25	46	37	35	29	25	10	35	23	3	23	20	10	41	25	21	22	17	31	27	11	57	22	13	4	1	4	25	23	31	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	50700	1414	940	1047	920	974	1032	1185	651	607	996	886	847	949	1257	1340	1202	1379	1338	1395	1481	1403	1347	1213	1151	1316	849	450	825	822	720	1310	1400	1256	1509	886	1506	1208	1033	1324	806	1511	184	130	300	1623	1578	136	462	454	148					
9	Число недействительных бюллетеней	846	6	11	23	6	0	21	22	8	4	17	11	12	15	26	26	27	24	9	0	19	21	37	21	23	17	11	3	15	12	26	35	33	26	15	15	23	6	16	88	25	7	5	1	4	21	22	5	14	10	2					
10	Число действительных бюллетеней	51039	1440	944	1051	936	1002	1056	1183	667	620	1014	899	856	961	1266	1352	1215	1394	1354	1441	1499	1417	1339	1217	1138	1334	861	450	833	830	704	1316	1392	1251	1516	888	1514	1229	1028	1293	803	1517	183	130	300	1627	1579	162	448	444	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1671	55	30	35	25	35	40	35	10	21	35	30	35	20	40	40	45	45	45	25	40	40	40	45	25	50	35	20	15	30	15	30	50	40	45	40	45	35	40	40	30	45	20	20	20	90	80	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1171	42	20	21	20	26	24	21	9	21	34	23	21	15	28	35	28	29	30	20	33	38	23	37	21	36	17	10	14	30	11	23	40	26	22	25	37	32	19	24	19	43	5	8	11	43	57	0	0	0	0					
