Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Канская городская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в списки"	74005	1365	2621	1389	2857	2731	2730	2547	1458	1578	2059	2301	1608	2112	2164	2634	2105	1430	2627	2406	2071	1960	2580	2933	2570	3008	2220	2246	2390	2442	2517	2370	1323	345	1448	860					
2	"Число бюллетеней, полученных участковыми комиссиями"	72495	1326	2510	1336	2798	2698	2685	2503	1412	1549	2026	2287	1600	2085	2139	2539	2107	1417	2561	2404	2020	1931	2531	2872	2564	2919	2092	2177	2291	2029	2382	2312	1267	400	1420	1306					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	87	0	0	0	0	497					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27547	389	807	352	969	938	1030	921	464	488	573	765	524	419	832	929	718	502	892	753	875	692	1017	1297	1030	1209	760	876	864	1498	1625	1090	501	345	293	310					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1296	36	36	14	32	94	57	66	85	25	32	49	16	25	41	41	57	39	14	22	21	14	29	45	54	72	26	82	99	2	8	15	11	0	6	31					
6	Число погашенных бюллетеней	42961	901	1667	970	1797	1666	1598	1516	863	1036	1421	1473	1060	1641	1266	1569	1332	876	1655	1629	1124	1225	1485	1530	1480	1638	1306	1219	1328	422	662	1207	755	55	1121	468					
7	Число бюллетеней в переносных ящиках для голосования	1987	36	36	14	32	94	57	66	85	25	32	49	16	25	41	41	57	39	14	22	21	14	29	45	54	72	26	82	99	109	95	15	11	0	6	528					
8	Число бюллетеней в стационарных ящиках для голосования	27540	389	807	352	969	938	1030	921	464	488	573	765	524	419	832	929	718	502	892	753	875	692	1017	1297	1030	1209	760	875	863	1498	1625	1086	500	345	293	310					
9	Число недействительных бюллетеней	336	4	11	5	9	6	11	8	16	11	5	22	6	5	10	14	7	7	10	11	5	5	8	24	17	4	7	5	7	7	10	8	7	34	4	6					
10	Число действительных бюллетеней	29191	421	832	361	992	1026	1076	979	533	502	600	792	534	439	863	956	768	534	896	764	891	701	1038	1318	1067	1277	779	952	955	1600	1710	1093	504	311	295	832					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1000	19	34	19	39	39	37	36	20	21	28	32	22	29	31	35	29	20	35	33	28	27	33	41	39	41	29	31	33	30	32	32	17	0	26	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	265	6	5	3	9	18	9	8	5	4	6	7	2	2	6	11	8	1	6	8	5	4	7	9	7	13	7	8	8	30	22	14	2	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	288	2	1	1	1	6	3	3	1	1	3	0	0	0	0	1	1	1	1	0	0	1	0	1	2	1	1	2	0	9	8	3	0	234	0	0					
14	Число погашенных открепительных удостоверений	735	13	29	16	30	21	28	28	15	17	22	25	20	27	25	24	21	19	29	25	23	23	26	32	32	28	22	23	25	0	10	18	15	0	22	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	252	1	9	3	6	4	6	2	2	4	6	10	4	7	6	9	7	4	2	6	4	15	9	14	5	9	4	7	4	14	21	5	7	13	0	23					
		0.85%	0.23%	1.06%	0.81%	0.59%	0.38%	0.55%	0.20%	0.36%	0.77%	0.99%	1.22%	0.74%	1.57%	0.68%	0.92%	0.90%	0.73%	0.22%	0.77%	0.44%	2.12%	0.86%	1.04%	0.46%	0.70%	0.50%	0.73%	0.41%	0.87%	1.22%	0.45%	1.36%	3.76%	0.0%	2.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	896	11	20	8	18	24	35	44	20	16	9	22	12	6	17	20	25	5	18	19	52	25	48	32	29	39	22	30	71	48	43	63	14	6	12	13					
		3.03%	2.58%	2.37%	2.18%	1.79%	2.32%	3.21%	4.45%	3.64%	3.11%	1.48%	2.70%	2.22%	1.35%	1.94%	2.06%	3.22%	0.92%	1.98%	2.45%	5.80%	3.54%	4.58%	2.38%	2.67%	3.04%	2.79%	3.13%	7.38%	2.98%	2.5%	5.72%	2.73%	1.73%	4.01%	1.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	440	5	19	9	14	16	21	15	6	10	18	29	16	9	14	22	9	9	15	14	6	2	9	17	18	18	16	10	12	9	15	22	6	5	4	1					
		1.49%	1.17%	2.25%	2.45%	1.39%	1.55%	1.93%	1.51%	1.09%	1.94%	2.97%	3.56%	2.96%	2.02%	1.60%	2.26%	1.16%	1.66%	1.65%	1.80%	0.66%	0.28%	0.86%	1.26%	1.66%	1.40%	2.03%	1.04%	1.24%	0.56%	0.87%	1.99%	1.17%	1.44%	1.33%	0.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	992	19	32	4	33	36	54	26	27	25	14	25	15	9	30	42	27	11	40	16	26	13	39	56	54	54	26	43	44	28	34	46	24	5	7	8					
		3.35%	4.47%	3.79%	1.09%	3.29%	3.48%	4.96%	2.63%	4.91%	4.87%	2.31%	3.07%	2.77%	2.02%	3.43%	4.32%	3.48%	2.03%	4.41%	2.06%	2.90%	1.84%	3.72%	4.17%	4.98%	4.21%	3.30%	4.49%	4.57%	1.74%	1.97%	4.17%	4.69%	1.44%	2.34%	0.95%					
22	"5. ""За Русь Святую"""	107	4	3	0	3	2	3	2	3	0	2	5	2	2	1	2	3	4	3	6	2	3	7	8	1	3	4	2	1	7	11	1	1	4	1	1					
