Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																																																																							
																																																																																																																																																																																																							
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																							
																																																																																																																																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																																																																							
																																																																																																																																																																																																							
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917					
1	"Число избирателей, внесенных в списки"	155918	1395	1341	1172	1069	1187	1581	1855	1412	1205	1945	1056	1138	1406	1435	1753	1163	1258	1630	1902	2234	2287	863	1889	1626	1468	1779	1695	2098	1864	2180	1742	1746	1380	1302	1095	1429	1653	907	1948	1850	2168	1694	1874	1919	1784	1530	1724	1804	1942	1944	1971	1766	1752	2526	2052	1820	1619	2091	2338	2110	2690	1946	2678	2068	2163	2063	2340	1782	2199	2507	2299	1971	2060	2358	2328	2979	2807	2833	2895	1841	2242	2209	2589	323	38	11	10	12	11	10	10	10	10	10	10	3	10	10	10	11	11	11	11	11	8	11	11	12	11	8	10	11	11	12	10	11	10	10	11	11	16	11	11	11	11	11	11	11	10	11	11	11	11	10	4	11	11	12	11	11	10	11	11	11	11	11	11	11	11	11	11	12	13	11	12	11	12	11	11	11	11	11	7	9	11	9	11	13	9	10	11	11	11	19	8	12	12	72	13	17	22	25	28	24	7	6	10	21	20	7	62	24					
2	"Число бюллетеней, полученных участковыми комиссиями"	151347	1200	1300	1100	1000	1200	1500	1800	1400	1200	1800	1000	1100	1400	1400	1700	1100	1200	1600	1800	2200	2200	800	1900	1600	1400	1700	1700	2000	1800	2100	1700	1700	1300	1300	1000	1400	1600	800	1900	1800	2100	1600	1800	1900	1700	1500	1700	1800	1900	1900	1900	1700	1700	2500	2000	1800	1600	2000	2300	2000	2700	1900	2600	2000	2100	2000	2300	1700	2100	2500	2200	1900	2000	2300	2200	2900	2700	2800	2800	1800	2200	2200	2500	300	200	11	10	12	11	10	10	10	10	10	10	3	10	10	10	11	11	11	11	11	8	11	11	12	11	8	10	11	11	12	10	11	10	10	11	11	16	11	11	11	11	11	11	11	10	11	11	11	11	10	4	11	11	12	11	11	10	11	11	11	11	11	11	11	11	11	11	12	13	11	12	11	12	11	11	11	11	11	7	9	11	9	11	13	9	10	11	11	11	19	8	12	12	75	13	17	22	25	28	24	7	6	10	21	20	7	62	24					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	11	0	10	10	10	0	10	0	10	0	10	0	0	11	0	11	8	11	11	12	11	8	10	11	11	0	10	0	10	10	11	0	0	0	11	11	0	0	11	0	10	11	11	0	11	0	0	11	11	12	0	11	0	0	11	0	0	0	11	0	0	0	0	12	13	0	0	0	12	0	0	11	0	11	7	9	11	9	11	13	9	0	11	11	11	19	8	12	12	66	13	17	22	25	10	24	7	6	10	21	20	7	57	24					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	64422	645	544	372	408	490	606	547	494	467	756	202	475	614	614	679	384	557	601	809	658	838	331	811	658	491	825	680	954	823	953	767	798	617	576	447	709	699	357	828	775	914	697	831	737	720	629	743	779	803	913	786	732	791	1046	818	767	630	890	1029	976	1137	753	1116	881	911	903	1072	719	1061	1151	871	757	991	982	848	1225	1262	1050	1277	875	981	891	1084	121	30	0	0	12	0	10	0	0	0	10	0	3	0	10	0	11	11	0	11	0	0	0	0	0	0	0	0	0	0	12	0	11	0	0	0	11	16	11	0	0	11	11	0	11	0	0	0	11	0	10	4	0	0	0	11	0	10	11	0	11	11	11	0	11	11	11	11	0	0	11	12	11	0	11	11	0	11	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1018	11	13	0	3	7	11	7	8	13	13	0	4	13	16	15	12	14	8	13	14	10	10	8	10	11	20	6	25	19	22	19	15	4	13	12	12	8	3	15	15	29	8	11	15	18	10	10	15	9	8	22	15	10	11	9	9	10	12	11	10	27	19	20	7	10	14	10	9	13	18	19	9	7	15	2	16	18	7	20	13	5	15	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	84975	544	743	728	589	703	883	1246	898	720	1031	798	621	773	770	1006	704	629	991	978	1528	1352	459	1081	932	898	855	1014	1021	958	1125	914	887	679	711	541	679	893	440	1057	1010	1157	895	958	1148	962	861	947	1006	1088	979	1092	953	899	1443	1173	1024	960	1098	1260	1014	1536	1128	1464	1112	1179	1083	1218	972	1026	1331	1310	1134	1002	1303	1350	1659	1420	1743	1503	912	1214	1294	1395	179	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	18	0	0	0	0	0	0	0	5	0					
7	Число бюллетеней в переносных ящиках для голосования	1018	11	13	0	3	7	11	7	8	13	13	0	4	13	16	15	12	14	8	13	14	10	10	8	10	11	20	6	25	19	22	19	15	4	13	12	12	8	3	15	15	29	8	11	15	18	10	10	15	9	8	22	15	10	11	9	9	10	12	11	10	27	19	20	7	10	14	10	9	13	18	19	9	7	15	2	16	18	7	20	13	5	15	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	65279	643	532	372	408	490	606	547	494	466	756	202	475	613	614	678	384	557	600	809	658	838	331	810	656	491	825	680	954	823	953	767	798	617	576	447	709	699	357	827	775	913	695	830	737	720	628	742	779	803	913	786	732	790	1042	818	765	626	890	1029	976	1134	753	1094	881	911	903	1072	719	1061	1150	871	754	991	982	848	1224	1259	1050	1277	875	981	891	1084	121	30	11	10	12	11	10	10	10	10	10	10	3	10	10	10	11	8	11	11	11	8	11	11	12	11	8	10	11	11	12	10	11	10	10	11	11	16	11	11	11	11	11	11	11	10	11	11	11	11	10	4	11	11	12	11	11	10	11	11	11	11	11	11	11	11	11	11	12	13	11	12	11	12	11	11	11	11	11	7	9	11	9	11	13	9	10	11	11	11	19	8	12	12	66	13	17	22	25	10	24	7	6	10	21	20	7	57	24					
9	Число недействительных бюллетеней	419	9	2	4	5	2	5	3	8	1	5	0	2	3	4	3	3	5	7	6	7	11	3	11	11	2	2	5	0	2	16	2	8	3	5	1	1	1	2	2	7	5	1	9	2	5	2	6	4	1	4	5	2	4	9	5	7	3	10	10	4	5	4	7	15	3	5	5	4	7	7	2	3	7	1	3	10	6	9	4	3	6	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	65878	645	543	368	406	495	612	551	494	478	764	202	477	623	626	690	393	566	601	816	665	837	338	807	655	500	843	681	979	840	959	784	805	618	584	458	720	706	358	840	783	937	702	832	750	733	636	746	790	811	917	803	745	796	1044	822	767	633	892	1030	982	1156	768	1107	873	918	912	1077	724	1067	1161	888	760	991	996	847	1230	1271	1048	1293	885	980	896	1101	120	30	11	10	12	11	10	10	10	10	10	10	3	10	10	10	11	8	11	11	10	8	11	11	12	11	8	10	10	11	12	10	11	8	10	11	11	13	11	11	11	11	11	11	11	10	11	11	11	11	10	4	11	11	12	11	11	10	11	11	11	11	11	11	11	11	11	10	12	13	11	12	11	12	11	11	11	11	10	7	9	11	9	11	13	9	10	11	11	11	19	8	12	12	66	13	15	22	25	10	24	7	6	10	21	20	7	57	24					
