Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Горномарийская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20013	944	533	284	306	901	479	759	454	527	302	433	155	213	690	416	886	422	312	280	420	215	513	478	561	682	1080	353	702	637	122	303	673	771	222	216	231	232	447	611	454	794									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20050	950	525	275	325	950	500	750	450	550	275	400	150	225	725	450	875	425	300	275	425	200	500	450	550	675	1075	350	700	650	125	300	700	775	225	225	225	225	450	600	450	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7867	463	215	114	138	364	226	367	207	240	140	118	95	65	237	88	401	148	124	127	164	69	224	189	142	236	423	96	275	240	69	86	253	259	97	88	88	138	170	208	153	323									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3174	52	110	55	50	149	30	48	59	65	15	106	11	74	140	182	63	78	64	22	82	61	51	68	223	180	141	52	67	48	12	45	131	160	26	56	22	9	55	107	80	125									
6	Число погашенных избирательных бюллетеней	9009	435	200	106	137	437	244	335	184	245	120	176	44	86	348	180	411	199	112	126	179	70	225	193	185	259	511	202	358	362	44	169	316	356	102	81	115	78	225	285	217	352									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3174	52	110	55	50	149	30	48	59	65	15	106	11	74	140	182	63	78	64	22	82	61	51	68	223	180	141	52	67	48	12	45	131	160	26	56	22	9	55	107	80	125									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7867	463	215	114	138	364	226	367	207	240	140	118	95	65	237	88	401	148	124	127	164	69	224	189	142	236	423	96	275	240	69	86	253	259	97	88	88	138	170	208	153	323									
9	Число недействительных избирательных бюллетеней	154	17	10	4	1	7	4	8	6	4	2	6	2	0	4	2	8	2	3	1	1	0	3	6	0	0	5	0	7	6	0	0	6	2	1	7	3	1	3	4	4	4									
10	Число действительных избирательных бюллетеней	10887	498	315	165	187	506	252	407	260	301	153	218	104	139	373	268	456	224	185	148	245	130	272	251	365	416	559	148	335	282	81	131	378	417	122	137	107	146	222	311	229	444									
