Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Раздольненская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25668	2055	2168	2149	1539	781	1246	489	1486	839	567	368	721	252	973	761	453	902	294	455	160	968	448	148	985	289	674	726	259	182	1446	818	67									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23588	1850	1950	1950	1400	700	1150	450	1350	700	550	350	700	200	900	700	450	900	250	450	150	850	400	138	900	250	600	700	250	150	1400	750	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16476	1385	1338	1174	939	509	630	337	947	435	358	205	510	180	630	521	251	507	220	328	105	597	268	115	740	235	456	530	129	110	1137	583	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1034	44	32	54	39	32	60	25	51	24	19	7	33	9	55	46	16	66	18	40	11	68	31	0	56	15	43	31	7	0	70	32	0									
6	Число погашенных избирательных бюллетеней	6078	421	580	722	422	159	460	88	352	241	173	138	157	11	215	133	183	327	12	82	34	185	101	23	104	0	101	139	114	40	193	135	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1034	44	32	54	39	32	60	25	51	24	19	7	33	9	55	46	16	66	18	40	11	68	31	0	56	15	43	31	7	0	70	32	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16476	1385	1338	1174	939	509	630	337	947	435	358	205	510	180	630	521	251	507	220	328	105	597	268	115	740	235	456	530	129	110	1137	583	67									
9	Число недействительных избирательных бюллетеней	358	21	32	26	30	0	24	14	30	12	5	3	21	4	10	3	3	13	4	9	1	14	8	8	8	6	13	7	1	4	18	6	0									
10	Число действительных избирательных бюллетеней	17152	1408	1338	1202	948	541	666	348	968	447	372	209	522	185	675	564	264	560	234	359	115	651	291	107	788	244	486	554	135	106	1189	609	67									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	445	25	25	30	20	10	15	10	20	10	10	10	10	10	10	10	10	30	10	10	10	10	10	10	10	10	10	30	10	10	25	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	21	18	26	2	0	13	4	13	2	2	0	5	2	3	1	0	23	1	0	0	10	0	5	4	0	4	27	0	1	8	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	168	27	14	12	2	3	4	1	4	35	0	0	8	4	2	2	0	4	4	4	3	6	2	4	1	2	6	1	1	1	1	0	10									
14	Число погашенных неиспользованных открепительных удостоверений	247	4	7	4	18	10	2	6	7	8	8	10	5	8	7	9	10	7	9	10	10	0	10	5	6	10	6	3	10	9	17	12	0									
