Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Углегорская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19066	483	414	330	63	425	1079	1443	805	1286	933	1011	1596	1955	1588	1386	976	149	1222	100	694	239	343	385	161									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19130	470	400	330	60	420	1100	1440	810	1300	940	1010	1620	1970	1570	1410	970	150	1230	100	690	240	350	390	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5999	249	195	117	23	71	305	359	218	352	286	256	518	591	545	477	325	49	394	31	252	91	109	147	39									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	208	6	2	9	0	26	5	6	5	6	7	3	10	22	38	9	2	2	11	0	15	10	7	7	0									
6	Число погашенных избирательных бюллетеней	12923	215	203	204	37	323	790	1075	587	942	647	751	1092	1357	987	924	643	99	825	69	423	139	234	236	121									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	208	6	2	9	0	26	5	6	5	6	7	3	10	22	38	9	2	2	11	0	15	10	7	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5998	248	195	117	23	71	305	359	218	352	286	256	518	591	545	477	325	49	394	31	252	91	109	147	39									
9	Число недействительных избирательных бюллетеней	133	10	3	4	0	1	8	6	3	2	3	6	13	18	11	6	10	0	7	0	13	0	4	4	1									
10	Число действительных избирательных бюллетеней	6073	244	194	122	23	96	302	359	220	356	290	253	515	595	572	480	317	51	398	31	254	101	112	150	38									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	10	10	10	10	10	10	15	15	15	15	10	15	20	20	20	20	5	10	15	10	10	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	0	0	2	0	0	3	4	2	3	0	0	5	13	10	5	4	0	4	0	1	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	6	2	2	4	1	2	2	3	3	5	0	1	0	5	0	4	1	3	2	7	1	4	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	244	10	10	8	10	10	7	11	13	12	15	10	10	7	10	15	16	5	6	15	9	10	5	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	0	1	1	0	0	8	2	2	2	0	3	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	5	3	0	0	0	1	6	2	2	4	7	5	7	3	2	5	1	9	0	4	2	1	3	0									
		1.16%	1.97%	1.52%	0.00%	0.00%	0.00%	0.32%	1.64%	0.90%	0.56%	1.37%	2.70%	0.95%	1.14%	0.51%	0.41%	1.53%	1.96%	2.22%	0.00%	1.50%	1.98%	0.86%	1.95%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	244	7	7	8	1	4	12	20	11	15	13	14	21	19	19	20	13	3	10	2	9	2	3	10	1									
		3.93%	2.76%	3.55%	6.35%	4.35%	4.12%	3.87%	5.48%	4.93%	4.19%	4.44%	5.41%	3.98%	3.10%	3.26%	4.12%	3.98%	5.88%	2.47%	6.45%	3.37%	1.98%	2.59%	6.49%	2.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	234	6	11	0	0	6	15	22	14	15	17	14	15	19	11	16	9	2	16	1	8	3	6	7	1									
		3.77%	2.36%	5.58%	0.00%	0.00%	6.19%	4.84%	6.03%	6.28%	4.19%	5.80%	5.41%	2.84%	3.10%	1.89%	3.29%	2.75%	3.92%	3.95%	3.23%	2.99%	2.97%	5.17%	4.55%	2.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2734	120	89	53	8	37	102	148	70	146	110	92	244	294	258	226	146	30	202	20	133	61	61	56	28									
		44.05%	47.24%	45.18%	42.06%	34.78%	38.14%	32.90%	40.55%	31.39%	40.78%	37.54%	35.52%	46.21%	47.96%	44.25%	46.50%	44.65%	58.82%	49.88%	64.52%	49.81%	60.40%	52.59%	36.36%	71.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	43	2	1	1	0	0	2	2	3	4	2	2	8	5	3	5	0	0	1	0	1	1	0	0	0									
		0.69%	0.79%	0.51%	0.79%	0.00%	0.00%	0.65%	0.55%	1.35%	1.12%	0.68%	0.77%	1.52%	0.82%	0.51%	1.03%	0.00%	0.00%	0.25%	0.00%	0.37%	0.99%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	2	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0									
		0.16%	0.39%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.28%	0.00%	0.39%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.86%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1201	48	41	25	10	15	77	74	42	84	52	58	122	95	110	85	65	9	85	8	47	12	16	21	0									
		19.35%	18.90%	20.81%	19.84%	43.48%	15.46%	24.84%	20.27%	18.83%	23.46%	17.75%	22.39%	23.11%	15.50%	18.87%	17.49%	19.88%	17.65%	20.99%	25.81%	17.60%	11.88%	13.79%	13.64%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	1	1	0	0	1	4	0	3	0	3	1	8	2	4	6	2	0	0	0	0	1	0	0	1									
