Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Сакмарская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22277	2446	1830	2619	911	1195	709	458	706	324	453	1150	434	659	609	104	581	1139	2132	409	1741	617	619	432									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21340	2400	1800	2500	850	1100	700	450	700	300	450	1100	400	650	550	100	500	1100	2000	400	1650	600	600	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7896	955	798	893	320	390	249	137	224	170	146	335	136	215	245	37	252	449	718	119	552	238	202	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	921	19	22	74	35	18	11	34	42	36	16	150	43	17	47	13	33	53	29	14	61	71	49	34									
6	Число погашенных избирательных бюллетеней	12523	1426	980	1533	495	692	440	279	434	94	288	615	221	418	258	50	215	598	1253	267	1037	291	349	290									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	921	19	22	74	35	18	11	34	42	36	16	150	43	17	47	13	33	53	29	14	61	71	49	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7896	955	798	893	320	390	249	137	224	170	146	335	136	215	245	37	252	449	718	119	552	238	202	116									
9	Число недействительных избирательных бюллетеней	222	21	20	16	7	10	5	5	1	3	5	6	7	10	8	0	7	19	28	6	26	2	7	3									
10	Число действительных избирательных бюллетеней	8595	953	800	951	348	398	255	166	265	203	157	479	172	222	284	50	278	483	719	127	587	307	244	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	264	25	20	25	10	17	8	5	7	8	6	15	6	6	6	6	6	15	25	6	20	8	6	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	185	15	7	25	3	17	8	2	6	8	3	15	2	6	4	0	6	8	19	1	9	8	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	397	30	18	31	24	39	8	3	7	2	2	2	0	0	30	1	33	46	59	1	57	1	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	79	10	13	0	7	0	0	3	1	0	3	0	4	0	2	6	0	7	6	5	11	0	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	1	2	0	0	2	0	0	0	1	2	0	0	0	0	0	0	4	0	7	0	0	4									
