Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Прибайкальская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20729	95	160	855	1131	147	72	601	176	384	168	456	136	449	160	101	828	134	1543	1501	1322	611	830	146	154	271	694	232	1077	876	1198	938	413	361	300	1431	129	649									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14880	75	110	520	800	95	55	430	130	270	120	310	105	320	110	70	600	100	1100	1100	1000	450	600	110	115	195	500	180	770	650	820	670	300	260	205	1050	105	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7513	49	70	394	355	88	43	297	54	175	74	146	47	174	69	62	184	77	507	521	429	202	285	56	56	73	268	71	422	253	387	265	143	144	153	587	67	266									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	918	1	40	54	53	7	0	29	24	26	11	37	3	39	9	0	105	4	12	49	13	39	68	7	12	13	21	16	35	34	23	28	23	16	16	23	0	28									
6	Число погашенных избирательных бюллетеней	6449	25	0	72	392	0	12	104	52	69	35	127	55	107	32	8	311	19	581	530	558	209	247	47	47	109	211	93	313	363	410	377	134	100	36	440	38	186									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	918	1	40	54	53	7	0	29	24	26	11	37	3	39	9	0	105	4	12	49	13	39	68	7	12	13	21	16	35	34	23	28	23	16	16	23	0	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7508	49	70	394	355	88	43	297	54	175	74	142	47	174	69	62	184	77	507	521	429	202	285	56	56	73	268	71	422	253	387	265	143	144	153	586	67	266									
9	Число недействительных избирательных бюллетеней	227	0	1	11	11	3	0	11	2	8	3	6	0	8	2	1	4	2	18	11	15	3	5	1	3	3	10	3	15	6	15	12	2	1	8	21	0	2									
10	Число действительных избирательных бюллетеней	8199	50	109	437	397	92	43	315	76	193	82	173	50	205	76	61	285	79	501	559	427	238	348	62	65	83	279	84	442	281	395	281	164	159	161	588	67	292									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	595	10	10	20	20	10	10	20	10	15	10	15	10	15	10	5	15	10	30	30	30	20	20	10	10	10	15	10	30	30	30	15	10	10	10	30	5	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	247	7	10	13	6	0	0	5	0	6	0	3	3	10	7	0	2	0	5	15	30	6	5	5	10	2	5	2	14	3	13	5	0	10	10	5	5	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	151	1	5	43	5	3	1	7	2	1	1	2	0	3	1	2	2	1	9	8	5	4	1	2	2	3	5	5	9	3	2	1	2	1	5	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	348	3	0	7	14	10	10	15	10	9	10	12	7	5	3	5	13	10	25	15	0	14	15	5	0	8	10	8	16	27	17	10	10	0	0	25	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
