Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Тагил, Ленинская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №648	УИК №654	УИК №667	УИК №691	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	88653	510	1234	74	202	1890	1551	1194	1319	1418	1598	1457	2299	1839	1790	1835	2029	1638	1632	1922	1794	2041	2194	1769	1722	2158	1376	1454	2415	2373	2272	2199	2031	2063	1726	2372	2284	2145	2114	1751	2462	1065	535	1796	1554	1535	2275	1986	730	601	1910	2147	1592	470	311									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82750	480	1200	70	180	1800	1500	1100	1200	1300	1500	1100	2100	1700	1700	1700	1900	1600	1500	1800	1700	1900	2100	1600	1650	2000	1300	1400	2300	2300	2200	2100	1900	2000	1650	2200	2100	2000	2000	1650	2300	1000	500	1700	1400	1450	2100	1800	650	450	1800	1850	1500	490	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36811	196	588	46	116	849	705	458	624	659	784	576	958	778	768	863	954	687	748	781	785	917	1031	582	644	747	556	648	891	947	1009	958	876	845	789	966	905	801	949	702	767	307	150	656	467	634	877	746	282	247	929	925	679	420	39									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1218	50	62	10	22	11	18	10	5	11	5	195	18	12	9	26	21	21	20	16	18	13	9	64	24	14	11	8	17	13	17	18	34	14	12	12	11	23	5	9	27	46	15	9	17	8	13	17	9	34	11	21	51	50	2									
6	Число погашенных избирательных бюллетеней	44604	234	550	14	42	940	777	632	571	630	711	329	1124	910	923	811	925	892	732	1003	897	970	1060	954	982	1239	733	744	1392	1340	1174	1124	990	1141	849	1222	1184	1176	1046	939	1506	647	335	1035	916	808	1210	1037	359	169	860	904	770	20	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1335	50	62	10	22	11	18	10	5	11	5	195	18	12	9	26	21	21	20	16	18	13	9	64	24	14	11	8	17	13	17	18	34	14	12	12	11	23	5	9	27	46	15	9	17	8	13	17	9	34	11	21	51	50	119									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36764	196	588	46	116	848	705	457	624	658	784	576	955	778	768	863	933	686	747	780	785	915	1031	582	644	742	556	646	891	947	1009	958	876	845	789	966	905	801	949	702	767	307	150	656	464	633	875	745	281	247	929	925	679	420	39									
9	Число недействительных избирательных бюллетеней	1213	11	19	0	4	32	27	14	20	19	30	15	32	23	26	27	28	24	16	33	30	31	29	20	15	23	26	20	37	22	38	32	37	17	24	30	31	28	28	20	22	12	8	27	13	23	31	27	8	7	26	30	26	13	2									
10	Число действительных избирательных бюллетеней	36886	235	631	56	134	827	696	453	609	650	759	756	941	767	751	862	926	683	751	763	773	897	1011	626	653	733	541	634	871	938	988	944	873	842	777	948	885	796	926	691	772	341	157	638	468	618	857	735	282	274	914	916	704	457	156									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2200	30	30	10	20	50	40	40	40	40	40	40	50	40	40	40	50	40	40	40	40	50	50	40	40	50	40	40	50	50	50	50	50	50	40	50	50	50	50	40	50	30	30	40	40	40	50	50	30	30	50	50	40	0	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	813	7	18	3	5	19	15	17	14	13	19	5	15	22	23	17	19	16	16	10	8	12	23	16	11	23	14	16	25	31	18	23	17	20	23	22	22	19	36	14	18	3	3	15	4	18	23	15	4	2	14	17	9	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	780	27	18	4	22	15	9	6	16	12	13	11	23	12	17	13	18	6	11	4	17	13	10	17	9	12	10	0	11	9	20	14	9	15	7	13	8	16	22	15	13	15	11	9	14	8	17	7	9	88	5	4	6	60	10									
14	Число погашенных неиспользованных открепительных удостоверений	1387	23	12	7	15	31	25	23	26	27	21	35	35	18	17	23	31	24	24	30	32	38	27	24	29	27	26	24	25	19	32	27	33	30	17	28	28	31	14	26	32	27	27	25	36	22	27	35	26	28	36	33	31	0	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	0	0	0	1	0	2	2	1	2	1	2	7	0	1	4	3	0	1	1	1	1	2	0	0	1	1	1	1	0	2	1	2	3	1	4	2	1	5	0	5	1	0	1	1	1	1	3	0	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	487	5	7	0	3	19	10	3	12	12	10	10	18	10	9	17	13	11	11	10	5	11	11	6	8	5	1	13	10	12	6	8	7	4	13	15	13	10	7	8	9	3	3	7	7	5	16	23	9	5	9	12	13	2	1									
		1.28%	2.03%	1.08%	0.00%	2.17%	2.21%	1.38%	0.64%	1.91%	1.79%	1.27%	1.30%	1.85%	1.27%	1.16%	1.91%	1.36%	1.56%	1.43%	1.26%	0.62%	1.19%	1.06%	0.93%	1.20%	0.66%	0.18%	1.99%	1.10%	1.25%	0.58%	0.82%	0.77%	0.47%	1.62%	1.53%	1.42%	1.21%	0.73%	1.13%	1.13%	0.85%	1.82%	1.05%	1.46%	0.78%	1.80%	3.02%	3.10%	1.78%	0.96%	1.27%	1.78%	0.43%	0.63%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	939	9	17	2	2	20	19	6	12	14	13	21	18	24	17	16	13	22	19	27	23	21	25	12	16	24	10	12	19	21	24	33	30	23	23	25	37	15	26	21	23	6	6	20	13	23	19	12	5	10	21	28	20	1	1									
		2.46%	3.66%	2.62%	3.57%	1.45%	2.33%	2.63%	1.28%	1.91%	2.09%	1.65%	2.72%	1.85%	3.04%	2.19%	1.80%	1.36%	3.11%	2.48%	3.39%	2.86%	2.26%	2.40%	1.86%	2.40%	3.17%	1.76%	1.83%	2.09%	2.19%	2.34%	3.38%	3.30%	2.68%	2.87%	2.56%	4.04%	1.82%	2.73%	2.95%	2.90%	1.70%	3.64%	3.01%	2.70%	3.59%	2.14%	1.57%	1.72%	3.56%	2.23%	2.96%	2.74%	0.21%	0.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1087	6	20	4	7	16	20	11	26	14	15	17	25	15	12	27	31	20	18	20	23	29	30	24	25	23	20	14	26	29	35	34	26	28	26	35	33	23	23	27	18	6	9	18	19	19	20	15	6	3	26	41	19	5	6									
		2.85%	2.44%	3.08%	7.14%	5.07%	1.86%	2.77%	2.36%	4.13%	2.09%	1.90%	2.20%	2.57%	1.90%	1.54%	3.04%	3.25%	2.83%	2.35%	2.51%	2.86%	3.13%	2.88%	3.72%	3.74%	3.04%	3.53%	2.14%	2.86%	3.02%	3.41%	3.48%	2.86%	3.26%	3.25%	3.58%	3.60%	2.79%	2.41%	3.80%	2.27%	1.70%	5.45%	2.71%	3.95%	2.96%	2.25%	1.97%	2.07%	1.07%	2.77%	4.33%	2.60%	1.06%	3.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16271	126	211	29	77	355	291	177	258	290	347	342	408	338	333	351	419	308	342	334	360	401	454	278	312	324	224	291	401	425	452	406	379	384	340	395	347	370	405	295	351	180	64	274	219	260	395	332	125	87	400	406	295	203	101									
		42.71%	51.22%	32.46%	51.79%	55.80%	41.33%	40.25%	37.90%	41.02%	43.35%	43.98%	44.36%	41.93%	42.78%	42.86%	39.48%	43.92%	43.56%	44.59%	41.96%	44.83%	43.21%	43.65%	43.03%	46.71%	42.86%	39.51%	44.50%	44.16%	44.27%	44.05%	41.60%	41.65%	44.70%	42.45%	40.39%	37.88%	44.90%	42.45%	41.49%	44.21%	50.99%	38.79%	41.20%	45.53%	40.56%	44.48%	43.57%	43.10%	30.96%	42.55%	42.92%	40.41%	43.19%	63.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	396	1	4	0	1	6	8	8	8	9	14	7	13	8	7	9	11	11	5	7	10	9	9	4	8	5	7	1	10	7	10	8	7	9	7	15	18	9	13	9	6	3	0	7	4	9	7	11	4	2	7	11	10	1	2									
		1.04%	0.41%	0.62%	0.00%	0.72%	0.70%	1.11%	1.71%	1.27%	1.35%	1.77%	0.91%	1.34%	1.01%	0.90%	1.01%	1.15%	1.56%	0.65%	0.88%	1.25%	0.97%	0.87%	0.62%	1.20%	0.66%	1.23%	0.15%	1.10%	0.73%	0.97%	0.82%	0.77%	1.05%	0.87%	1.53%	1.97%	1.09%	1.36%	1.27%	0.76%	0.85%	0.00%	1.05%	0.83%	1.40%	0.79%	1.44%	1.38%	0.71%	0.74%	1.16%	1.37%	0.21%	1.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	50	0	2	0	0	0	1	0	0	2	0	0	2	1	0	2	1	1	3	2	1	2	1	0	1	0	1	0	1	1	1	0	0	1	0	0	3	2	1	1	0	0	0	1	1	1	1	4	1	1	2	1	0	3	0									
		0.13%	0.00%	0.31%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.30%	0.00%	0.00%	0.21%	0.13%	0.00%	0.22%	0.10%	0.14%	0.39%	0.25%	0.12%	0.22%	0.10%	0.00%	0.15%	0.00%	0.18%	0.00%	0.11%	0.10%	0.10%	0.00%	0.00%	0.12%	0.00%	0.00%	0.33%	0.24%	0.10%	0.14%	0.00%	0.00%	0.00%	0.15%	0.21%	0.16%	0.11%	0.52%	0.34%	0.36%	0.21%	0.11%	0.00%	0.64%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5634	33	144	13	18	100	113	58	79	64	102	88	135	101	105	104	109	92	80	116	120	141	160	85	88	132	91	86	138	119	144	144	142	137	113	158	144	109	163	107	150	67	36	118	80	114	123	123	47	57	124	134	105	162	19									
		14.79%	13.41%	22.15%	23.21%	13.04%	11.64%	15.63%	12.42%	12.56%	9.57%	12.93%	11.41%	13.87%	12.78%	13.51%	11.70%	11.43%	13.01%	10.43%	14.57%	14.94%	15.19%	15.38%	13.16%	13.17%	17.46%	16.05%	13.15%	15.20%	12.40%	14.04%	14.75%	15.60%	15.95%	14.11%	16.16%	15.72%	13.23%	17.09%	15.05%	18.89%	18.98%	21.82%	17.74%	16.63%	17.78%	13.85%	16.14%	16.21%	20.28%	13.19%	14.16%	14.38%	34.47%	12.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	309	0	1	0	0	9	10	2	3	7	15	14	16	7	8	7	6	7	10	8	9	7	10	6	2	8	4	1	7	11	9	7	3	5	3	9	1	3	6	2	5	2	0	9	2	2	7	8	1	3	10	10	5	2	0									
		0.81%	0.00%	0.15%	0.00%	0.00%	1.05%	1.38%	0.43%	0.48%	1.05%	1.90%	1.82%	1.64%	0.89%	1.03%	0.79%	0.63%	0.99%	1.30%	1.01%	1.12%	0.75%	0.96%	0.93%	0.30%	1.06%	0.71%	0.15%	0.77%	1.15%	0.88%	0.72%	0.33%	0.58%	0.37%	0.92%	0.11%	0.36%	0.63%	0.28%	0.63%	0.57%	0.00%	1.35%	0.42%	0.31%	0.79%	1.05%	0.34%	1.07%	1.06%	1.06%	0.68%	0.43%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	611	3	6	0	0	13	19	16	12	19	11	12	24	14	14	31	18	10	21	11	17	12	18	8	14	11	9	8	12	18	19	11	11	8	7	11	14	7	8	13	10	2	0	9	5	11	26	21	7	0	12	7	6	5	0									
