Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Тигильская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
1	"Число избирателей, внесенных в списки избирателей"	3749	176	964	248	396	1536	139	290					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3645	175	912	251	407	1480	137	283					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	31	11	0	0	0	0	15	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2126	95	484	156	257	856	90	188					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	109	4	19	4	2	78	1	1					
6	Число погашенных избирательных бюллетеней	1378	65	409	91	148	545	31	89					
7	Число избирательных бюллетеней в переносных ящиках для голосования	140	15	19	4	2	78	16	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2126	95	484	156	257	856	90	188					
9	Число недействительных избирательных бюллетеней	76	3	7	3	12	46	0	5					
10	Число действительных избирательных бюллетеней	2190	107	496	157	247	888	106	189					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	107	12	21	12	12	26	12	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	0	6	1	1	23	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	10	0	1	0	0	8	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	67	12	15	11	11	3	4	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	1	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	49	0	6	2	2	36	0	3					
		2.16%	0.00%	1.19%	1.25%	0.77%	3.85%	0.00%	1.55%					
19	2.Всероссийская политическая партия «Гражданская Сила»	14	1	3	1	1	8	0	0					
		0.62%	0.91%	0.60%	0.63%	0.39%	0.86%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	1	1	0	0	4	0	0					
		0.26%	0.91%	0.20%	0.00%	0.00%	0.43%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	118	4	34	4	5	63	5	3					
		5.21%	3.64%	6.76%	2.50%	1.93%	6.75%	4.72%	1.55%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	0	1	0	0	4	0	0					
		0.22%	0.00%	0.20%	0.00%	0.00%	0.43%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	0	0	0	4	0	0					
		0.18%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	194	7	33	18	23	86	9	18					
		8.56%	6.36%	6.56%	11.25%	8.88%	9.21%	8.49%	9.28%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	93	0	25	4	13	49	0	2					
		4.10%	0.00%	4.97%	2.50%	5.02%	5.25%	0.00%	1.03%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	20	0	6	0	2	11	0	1					
		0.88%	0.00%	1.19%	0.00%	0.77%	1.18%	0.00%	0.52%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1667	94	384	127	199	609	92	162					
		73.57%	85.45%	76.34%	79.38%	76.83%	65.20%	86.79%	83.51%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	0	3	1	2	14	0	0					
		0.88%	0.00%	0.60%	0.63%	0.77%	1.50%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
