Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК  4301	УИК  4302	УИК  4303	УИК  4304	УИК  4305	УИК  4306	УИК  4307	УИК  4308	УИК  4309	УИК  4310	УИК  4311	УИК  4312	УИК  4313	УИК  4314	УИК  4315	УИК  4316	УИК  4317	УИК  4318	УИК  4319	УИК  4320	УИК  4321	УИК  4322	УИК  4323	УИК  4324	УИК  4325	УИК  4326	УИК  4327	УИК  4328	УИК  4329	УИК  4330	УИК  4331	УИК  4332	УИК  4333	УИК  4334	УИК  4335	УИК  4336	УИК  4337	УИК  4338	УИК  4339	УИК  4340	УИК  4341	УИК  4342	УИК  4343	УИК  4344	УИК  4345	УИК  4346	УИК  4347	УИК  4348	УИК  4349	УИК  4350	УИК  4351	УИК  4352	УИК  4353	УИК  4354	УИК  4355	УИК  4356	УИК  4357	УИК  4358	УИК  4359	УИК  4360	УИК  4361					
1	"Число избирателей, внесенных в списки"	75037	182	276	107	1697	1987	466	1750	2790	1564	1768	2239	1684	556	1948	638	917	2078	851	1610	1123	1918	1056	1465	2466	1705	765	1078	1097	1874	674	1902	1681	2006	1365	2497	2001	2559	597	269	1043	385	620	564	1140	611	1665	1619	1501	1986	779	441	282	587	1555	278	393	257	1113	943	1162	907					
2	"Число бюллетеней, полученных участковыми комиссиями"	73653	200	300	103	1700	2000	450	1750	2800	1500	1700	2200	1700	550	1900	600	850	2000	800	1600	1100	1900	1000	1400	2450	1650	750	1050	1050	1850	600	1900	1650	2000	1350	2450	2050	2500	550	250	1000	350	600	550	1150	600	1650	1600	1550	1950	750	450	280	570	1500	250	400	250	1100	900	1100	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28972	98	168	64	732	474	174	631	899	437	618	1007	652	189	732	249	382	786	295	715	574	927	538	695	1172	791	322	578	374	740	281	725	703	739	455	720	918	1166	165	112	396	144	203	195	388	188	749	650	522	564	234	116	138	219	618	95	184	115	437	229	360	231					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1166	0	0	0	32	67	20	50	22	13	8	16	48	4	24	7	6	18	17	15	11	15	10	10	15	25	12	12	13	10	5	6	14	12	14	2	14	23	3	6	16	0	45	16	66	21	7	15	8	24	8	102	36	36	21	3	6	11	63	14	13	36					
6	Число погашенных бюллетеней	43515	102	132	39	936	1459	256	1069	1879	1050	1074	1177	1000	357	1144	344	462	1196	488	870	515	958	452	695	1263	834	416	460	663	1100	314	1169	933	1249	881	1728	1118	1311	382	132	588	206	352	339	696	391	894	935	1020	1362	508	232	106	315	861	152	210	124	600	657	727	633					
7	Число бюллетеней в переносных ящиках для голосования	1166	0	0	0	32	67	20	50	22	13	8	16	48	4	24	7	6	18	17	15	11	15	10	10	15	25	12	12	13	10	5	6	14	12	14	2	14	23	3	6	16	0	45	16	66	21	7	15	8	24	8	102	36	36	21	3	6	11	63	14	13	36					
8	Число бюллетеней в стационарных ящиках для голосования	28961	98	168	64	731	474	174	631	899	437	618	1007	652	189	732	249	382	786	295	715	574	925	538	695	1172	791	322	578	374	740	281	723	702	739	455	716	917	1166	165	112	396	144	203	195	388	188	749	650	522	564	234	116	138	219	618	95	184	115	437	229	360	231					
9	Число недействительных бюллетеней	431	0	0	0	7	12	2	7	13	11	5	12	33	9	15	4	8	5	3	2	3	6	10	5	11	12	7	6	3	8	6	12	6	12	14	10	17	25	2	0	5	1	2	7	9	2	16	7	9	7	1	1	1	2	12	0	3	1	7	2	9	4					
10	Число действительных бюллетеней	29696	98	168	64	756	529	192	674	908	439	621	1011	667	184	741	252	380	799	309	728	582	934	538	700	1176	804	327	584	384	742	280	717	710	739	455	708	914	1164	166	118	407	143	246	204	445	207	740	658	521	581	241	217	173	253	627	98	187	125	493	241	364	263					
