Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Хабаровская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в списки"	65001	86	931	87	653	351	470	82	79	1082	473	185	722	63	2204	1287	562	2763	2678	1238	437	543	1353	1441	1130	187	1839	1314	1266	1722	975	1943	1559	2271	2217	2573	2158	1847	1604	1927	574	101	1023	300	468	1310	451	2869	80	934	680	1760	606	692	142	152	1450	1341	879	1106	1781					
2	"Число бюллетеней, полученных участковыми комиссиями"	63718	90	900	85	640	350	480	83	74	950	480	180	680	61	2000	1550	550	2800	3000	1200	600	540	1300	1300	1100	180	1800	1300	1250	1700	1000	1900	1400	2200	2100	2600	2100	1850	1500	1900	550	90	900	300	440	1200	400	2800	75	800	650	1700	600	680	130	150	1400	1280	900	1100	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	146	8	0	0	18	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	109	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31745	51	340	49	357	195	269	60	37	501	278	94	377	37	1182	1075	390	2016	1555	585	271	272	523	803	464	103	853	895	579	756	307	781	789	954	935	1137	907	723	635	704	211	58	641	157	168	504	124	1026	37	468	330	614	107	211	63	62	573	603	776	707	1466					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1725	0	33	5	31	26	14	0	8	220	19	5	38	3	44	124	17	88	144	23	73	13	6	2	19	3	27	7	12	43	2	20	4	27	30	31	22	24	28	51	3	0	48	43	0	25	28	83	15	19	1	29	2	20	8	0	20	53	0	16	26					
6	Число погашенных бюллетеней	30102	31	527	31	234	120	197	23	29	229	183	81	265	21	774	351	143	696	1301	592	256	255	771	495	617	74	920	398	659	901	691	1099	607	1219	1135	1432	1171	1103	837	1145	336	32	211	100	272	671	246	1691	23	313	319	1057	491	449	59	88	807	624	124	268	308					
7	Число бюллетеней в переносных ящиках для голосования	1871	8	33	5	49	35	14	0	8	220	19	5	38	3	44	124	17	88	144	23	73	13	6	2	19	3	27	7	12	43	2	20	4	27	30	31	22	24	28	51	3	0	48	43	0	25	30	83	15	19	1	29	2	20	8	0	20	53	0	125	26					
8	Число бюллетеней в стационарных ящиках для голосования	31700	51	340	49	357	195	269	60	37	501	278	94	377	37	1180	1075	390	2016	1555	585	271	272	523	803	463	103	853	891	577	756	307	781	788	954	934	1130	907	699	635	702	211	58	641	157	167	504	124	1026	37	468	330	614	107	211	63	62	573	603	776	707	1466					
9	Число недействительных бюллетеней	442	1	5	2	6	1	3	0	0	8	2	0	8	0	8	17	10	11	30	7	6	1	10	18	11	2	14	12	18	13	0	11	8	15	14	9	11	6	8	9	1	0	8	0	3	14	1	17	0	5	8	14	3	12	2	5	6	7	7	6	8					
10	Число действительных бюллетеней	33129	58	368	52	400	229	280	60	45	713	295	99	407	40	1216	1182	397	2093	1669	601	338	284	519	787	471	104	866	886	571	786	309	790	784	966	950	1152	918	717	655	744	213	58	681	200	164	515	153	1092	52	482	323	629	106	219	69	57	587	649	769	826	1484					
