Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Курганская Восточная																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1103	УИК №1128	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185					
1	"Число избирателей, внесенных в список избирателей"	138462	1168	1230	1272	1498	903	1516	1730	2146	2236	1445	2064	2129	2213	2576	1957	2176	1890	2575	2039	2352	1560	1798	1947	2334	1755	1318	1377	1783	1726	1806	2503	2182	1858	1921	2290	2078	784	609	1913	2604	1534	2091	1387	2144	2139	2383	2308	2473	2210	2548	2191	2558	2013	1966	1597	1497	2095	2015	2113	1807	1596	1348	2219	2058	1507	2814	1208	1298	1933	1351	1960	1502	929	1099	252	190	130	409	329					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	111880	900	1000	1000	1200	800	1200	1400	1800	1900	1200	1700	1800	1900	2200	1600	1700	1600	2100	1700	2000	1300	1500	1600	1800	1400	1100	1100	1500	1400	1400	2000	1700	1500	1600	1800	1600	600	450	1500	2000	1200	1700	1100	1700	1700	1900	1900	2000	1750	1900	1700	2100	1600	1600	1300	1200	1700	1600	1700	1500	1300	1100	1800	1700	1200	1850	900	1000	1600	1000	1700	1200	850	900	250	200	140	420	370					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	64695	418	427	424	505	343	441	743	605	750	568	1023	1104	905	1366	898	1203	1055	1459	1111	1262	891	1017	975	1264	937	728	730	1041	879	957	1175	1105	761	899	835	757	144	290	881	947	543	959	659	1062	730	749	910	1200	1141	1039	871	1265	843	754	737	897	1289	1060	1205	1071	906	812	1181	966	722	1614	515	592	824	733	749	676	386	464	166	20	124	381	57					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2741	13	17	12	18	16	23	15	25	14	10	27	38	41	29	19	22	30	23	17	35	57	23	26	35	35	31	41	33	22	40	36	46	31	43	12	33	26	1	14	69	17	22	31	16	23	30	28	43	27	23	47	38	23	31	29	39	44	66	66	39	47	16	40	30	90	81	26	21	23	24	16	30	14	24	71	148	0	0	260					
6	Число погашенных избирательных бюллетеней	44444	469	556	564	677	441	736	642	1170	1136	622	650	658	954	805	683	475	515	618	572	703	352	460	599	501	428	341	329	426	499	403	789	549	708	658	953	810	430	159	605	984	640	719	410	622	947	1121	962	757	582	838	782	797	734	815	534	264	367	474	429	390	347	272	579	704	388	155	359	387	753	243	935	494	450	412	13	32	16	39	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2740	13	17	12	18	16	23	15	25	14	10	27	38	41	29	19	22	30	23	17	35	57	23	26	35	35	31	41	33	22	40	36	46	30	43	12	33	26	1	14	69	17	22	31	16	23	30	28	43	27	23	47	38	23	31	29	39	44	66	66	39	47	16	40	30	90	81	26	21	23	24	16	30	14	24	71	148	0	0	260					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64665	418	427	424	505	343	441	743	605	750	568	1021	1104	905	1366	898	1203	1055	1458	1111	1262	890	1014	975	1263	937	727	728	1041	879	957	1175	1102	760	899	835	757	144	290	881	946	543	959	659	1062	730	749	910	1197	1139	1037	871	1265	843	754	736	897	1287	1059	1204	1071	906	812	1181	965	722	1614	515	592	824	733	749	676	386	463	166	20	124	381	57					
9	Число недействительных избирательных бюллетеней	790	5	5	11	3	4	3	7	7	10	9	19	14	5	17	8	7	7	10	10	13	10	11	24	9	19	7	4	14	7	13	19	13	10	18	8	6	0	2	13	11	4	16	3	17	12	6	12	22	17	22	16	17	8	10	10	11	13	10	19	7	6	10	12	17	9	15	8	5	10	7	9	10	8	8	2	0	5	5	0					
10	Число действительных избирательных бюллетеней	66615	426	439	425	520	355	461	751	623	754	569	1029	1128	941	1378	909	1218	1078	1471	1118	1284	937	1026	977	1289	953	751	765	1060	894	984	1192	1135	780	924	839	784	170	289	882	1004	556	965	687	1061	741	773	926	1218	1149	1038	902	1286	858	775	755	925	1318	1115	1251	1103	947	818	1209	978	803	1680	533	608	837	750	756	696	392	479	235	168	119	376	317					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1764	12	12	10	13	12	18	24	14	29	23	24	24	29	34	36	34	31	59	24	34	28	23	19	28	28	13	18	23	28	28	39	32	18	23	22	27	7	7	28	23	8	26	16	25	11	18	17	25	24	28	24	29	18	18	20	20	44	34	48	41	43	22	37	30	18	34	7	17	18	19	22	18	7	20	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1643	12	12	10	12	12	14	23	13	28	22	24	24	27	34	35	30	29	46	18	31	28	23	19	28	25	12	18	23	21	28	36	32	16	19	22	26	4	7	27	21	5	26	16	24	10	18	15	24	13	28	24	28	18	18	18	19	40	34	48	39	34	22	36	28	16	34	2	17	17	19	20	18	7	17	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1489	14	17	6	15	11	19	22	11	12	15	25	19	14	11	24	11	14	21	21	24	26	18	15	26	20	14	9	21	14	23	22	33	20	22	18	11	8	16	16	14	9	14	24	13	9	13	18	13	20	23	17	17	8	32	15	30	50	15	21	38	51	28	10	9	20	20	9	13	18	29	12	23	11	12	42	20	20	24	27					
14	Число погашенных неиспользованных открепительных удостоверений	121	0	0	0	1	0	4	1	1	1	1	0	0	2	0	1	4	2	13	6	3	0	0	0	0	3	1	0	0	7	0	3	0	2	4	0	1	3	0	1	2	3	0	0	1	1	0	2	1	11	0	0	1	0	0	2	1	4	0	0	2	9	0	1	2	2	0	5	0	1	0	2	0	0	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	1	1	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	0	0	1	2	3	0	0	1	0	0	0	0	0					
