Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Куйбышевская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412					
1	"Число избирателей, внесенных в списки"	7178	2953	414	378	327	136	258	121	153	399	144	188	346	335	150	121	105	279	371					
2	"Число бюллетеней, полученных участковыми комиссиями"	7287	3012	417	373	336	131	264	120	146	397	147	185	337	334	148	122	168	279	371					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3971	1644	201	225	138	59	178	74	102	227	74	121	185	164	92	61	86	121	219					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	830	76	52	57	92	51	13	16	23	67	25	34	36	61	28	34	19	82	64					
6	Число погашенных бюллетеней	2486	1292	164	91	106	21	73	30	21	103	48	30	116	109	28	27	63	76	88					
7	Число бюллетеней в переносных ящиках для голосования	830	76	52	57	92	51	13	16	23	67	25	34	36	61	28	34	19	82	64					
8	Число бюллетеней в стационарных ящиках для голосования	3971	1644	201	225	138	59	178	74	102	227	74	121	185	164	92	61	86	121	219					
9	Число недействительных бюллетеней	100	25	12	6	4	2	6	3	5	3	2	5	7	3	6	0	1	3	7					
10	Число действительных бюллетеней	4701	1695	241	276	226	108	185	87	120	291	97	150	214	222	114	95	104	200	276					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	49	2	5	5	3	3	3	3	5	0	3	5	2	3	0	0	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	49	2	1	5	1	2	0	0	0	0	0	2	1	1	0	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	8	2	1	1	1	2	6	5	1	2	2	3	3	2	3	1	1	2					
14	Число погашенных открепительных удостоверений	32	0	0	4	0	2	1	3	3	5	0	3	3	1	2	0	0	2	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	88	20	5	15	2	2	4	7	1	10	0	1	5	4	4	1	2	1	4					
		1.83%	1.16%	1.97%	5.31%	0.86%	1.81%	2.09%	7.77%	0.8%	3.40%	0.0%	0.64%	2.26%	1.77%	3.33%	1.05%	1.90%	0.49%	1.41%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	30	8	6	1	0	1	0	1	0	0	1	0	3	5	0	0	0	0	4					
		0.62%	0.46%	2.37%	0.35%	0.0%	0.90%	0.0%	1.11%	0.0%	0.0%	1.01%	0.0%	1.35%	2.22%	0.0%	0.0%	0.0%	0.0%	1.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	84	24	7	7	5	2	0	3	0	8	2	0	4	7	2	0	3	4	6					
		1.74%	1.39%	2.76%	2.48%	2.17%	1.81%	0.0%	3.33%	0.0%	2.72%	2.02%	0.0%	1.80%	3.11%	1.66%	0.0%	2.85%	1.97%	2.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	37	14	5	1	3	0	1	2	1	2	1	1	1	1	1	0	1	0	2					
		0.77%	0.81%	1.97%	0.35%	1.30%	0.0%	0.52%	2.22%	0.8%	0.68%	1.01%	0.64%	0.45%	0.44%	0.83%	0.0%	0.95%	0.0%	0.70%					
22	"5. ""За Русь Святую"""	10	2	1	2	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0					
		0.20%	0.11%	0.39%	0.70%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.44%	0.83%	0.0%	0.0%	0.49%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	2	1	0	3	0	1	1	0	0	0	1	0	1	0	0	0	1	1					
		0.24%	0.11%	0.39%	0.0%	1.30%	0.0%	0.52%	1.11%	0.0%	0.0%	0.0%	0.64%	0.0%	0.44%	0.0%	0.0%	0.0%	0.49%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	18	0	1	1	2	0	0	0	0	1	1	1	1	0	0	0	1	0					
		0.56%	1.04%	0.0%	0.35%	0.43%	1.81%	0.0%	0.0%	0.0%	0.0%	1.01%	0.64%	0.45%	0.44%	0.0%	0.0%	0.0%	0.49%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.06%	0.05%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	0	0	0	1	1	1	0	1	3	0	0	0	1	0	0	1	2	1					
		0.24%	0.0%	0.0%	0.0%	0.43%	0.90%	0.52%	0.0%	0.8%	1.02%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.95%	0.98%	0.35%					
27	"10. ""Аграрная партия России"""	512	114	23	19	10	7	58	12	26	32	8	8	39	36	5	5	19	8	83					
		10.66%	6.62%	9.09%	6.73%	4.34%	6.36%	30.36%	13.33%	20.8%	10.88%	8.08%	5.16%	17.64%	16.0%	4.16%	5.26%	18.09%	3.94%	29.32%					
28	"11. ""Истинные патриоты России"""	4	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0					
		0.08%	0.05%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.49%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	31	13	2	0	0	1	1	1	1	1	0	4	3	1	1	0	1	1	0					
		0.64%	0.75%	0.79%	0.0%	0.0%	0.90%	0.52%	1.11%	0.8%	0.34%	0.0%	2.58%	1.35%	0.44%	0.83%	0.0%	0.95%	0.49%	0.0%					
30	"13. ""Демократическая партия России"""	13	7	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0					
		0.27%	0.40%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.45%	0.44%	0.0%	0.0%	0.95%	0.49%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	3	1	1	0	0	0	1	1	0	1	1	0	1	1	2	1	0	2					
		0.33%	0.17%	0.39%	0.35%	0.0%	0.0%	0.0%	1.11%	0.8%	0.0%	1.01%	0.64%	0.0%	0.44%	0.83%	2.10%	0.95%	0.0%	0.70%					
32	"15. ""Партия СЛОН"""	7	1	0	2	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0					
		0.14%	0.05%	0.0%	0.70%	0.0%	0.90%	0.0%	0.0%	0.0%	0.34%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	152	75	10	10	5	2	3	2	1	16	4	5	3	3	2	0	0	7	4					
		3.16%	4.36%	3.95%	3.54%	2.17%	1.81%	1.57%	2.22%	0.8%	5.44%	4.04%	3.22%	1.35%	1.33%	1.66%	0.0%	0.0%	3.44%	1.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	3	1	1	1	1	1	0	1	3	0	0	1	0	0	1	0	0	4					
		0.37%	0.17%	0.39%	0.35%	0.43%	0.90%	0.52%	0.0%	0.8%	1.02%	0.0%	0.0%	0.45%	0.0%	0.0%	1.05%	0.0%	0.0%	1.41%					
35	"18. ""ЛДПР"""	402	193	22	21	13	6	13	4	5	13	6	12	11	11	9	8	12	16	27					
		8.37%	11.22%	8.69%	7.44%	5.65%	5.45%	6.80%	4.44%	4.0%	4.42%	6.06%	7.74%	4.97%	4.88%	7.5%	8.42%	11.42%	7.88%	9.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	97	38	5	5	4	2	2	1	0	17	4	1	6	1	4	1	1	4	1					
		2.02%	2.20%	1.97%	1.77%	1.73%	1.81%	1.04%	1.11%	0.0%	5.78%	4.04%	0.64%	2.71%	0.44%	3.33%	1.05%	0.95%	1.97%	0.35%					
37	"20. ""Политическая партия ""Единая Россия"""	1951	718	93	148	123	52	47	29	25	134	37	56	99	110	67	56	28	73	56					
		40.63%	41.74%	36.75%	52.48%	53.47%	47.27%	24.60%	32.22%	20.0%	45.57%	37.37%	36.12%	44.79%	48.88%	55.83%	58.94%	26.66%	35.96%	19.78%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	3	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0					
		0.16%	0.17%	0.0%	0.35%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	7	2	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0					
		0.29%	0.40%	0.79%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	2.02%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.49%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1053	379	52	35	48	25	46	21	56	44	27	55	27	33	12	17	30	74	72					
		21.93%	22.03%	20.55%	12.41%	20.86%	22.72%	24.08%	23.33%	44.8%	14.96%	27.27%	35.48%	12.21%	14.66%	10.0%	17.89%	28.57%	36.45%	25.44%					
																									
41	Против всех	120	51	4	5	5	3	4	2	1	6	2	1	9	3	5	3	3	4	9					
		2.49%	2.96%	1.58%	1.77%	2.17%	2.72%	2.09%	2.22%	0.8%	2.04%	2.02%	0.64%	4.07%	1.33%	4.16%	3.15%	2.85%	1.97%	3.18%					
																									
