Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Губкинская городская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15644	2095	2489	1512	1073	1585	1563	1737	1604	1986									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14100	1900	2200	1500	1000	1400	1500	1500	1400	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10526	1153	1759	974	758	1073	1187	1059	1050	1513									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	58	3	2	2	1	36	2	5	4	3									
6	Число погашенных избирательных бюллетеней	3516	744	439	524	241	291	311	436	346	184									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	58	3	2	2	1	36	2	5	4	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10514	1152	1759	974	758	1072	1185	1051	1050	1513									
9	Число недействительных избирательных бюллетеней	260	36	39	22	14	23	28	31	21	46									
10	Число действительных избирательных бюллетеней	10312	1119	1722	954	745	1085	1159	1025	1033	1470									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	15	13	14	8	11	9	13	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	9	16	7	1	9	3	19	6	7									
14	Число погашенных неиспользованных открепительных удостоверений	88	5	7	6	12	9	11	7	14	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	363	49	64	45	26	26	28	40	37	48									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	124	16	34	11	6	8	6	21	12	10									
		1.17%	1.39%	1.93%	1.13%	0.79%	0.72%	0.51%	1.99%	1.14%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	199	24	29	25	6	23	29	19	17	27									
		1.88%	2.08%	1.65%	2.56%	0.79%	2.08%	2.44%	1.80%	1.61%	1.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	195	25	35	12	9	25	18	31	5	35									
		1.84%	2.16%	1.99%	1.23%	1.19%	2.26%	1.52%	2.94%	0.47%	2.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6380	534	1027	668	484	781	752	496	688	950									
		60.35%	46.23%	58.32%	68.44%	63.77%	70.49%	63.35%	46.97%	65.28%	62.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	77	6	11	8	9	6	4	13	6	14									
		0.73%	0.52%	0.62%	0.82%	1.19%	0.54%	0.34%	1.23%	0.57%	0.92%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	2	4	1	0	2	0	4	8	3									
		0.23%	0.17%	0.23%	0.10%	0.00%	0.18%	0.00%	0.38%	0.76%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1859	326	220	124	138	121	227	269	164	270									
		17.58%	28.23%	12.49%	12.70%	18.18%	10.92%	19.12%	25.47%	15.56%	17.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	51	9	9	3	3	4	5	4	9	5									
		0.48%	0.78%	0.51%	0.31%	0.40%	0.36%	0.42%	0.38%	0.85%	0.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	87	10	18	8	11	6	10	8	7	9									
		0.82%	0.87%	1.02%	0.82%	1.45%	0.54%	0.84%	0.76%	0.66%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	3	4	1	0	1	0	0	5	0									
		0.13%	0.26%	0.23%	0.10%	0.00%	0.09%	0.00%	0.00%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	113	17	16	9	8	6	9	21	7	20									
		1.07%	1.47%	0.91%	0.92%	1.05%	0.54%	0.76%	1.99%	0.66%	1.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	880	106	253	59	50	68	72	107	79	86									
		8.32%	9.18%	14.37%	6.05%	6.59%	6.14%	6.07%	10.13%	7.50%	5.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	4	11	5	8	4	2	3	7	7									
		0.48%	0.35%	0.62%	0.51%	1.05%	0.36%	0.17%	0.28%	0.66%	0.46%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	258	37	51	20	13	30	25	29	19	34									
		2.44%	3.20%	2.90%	2.05%	1.71%	2.71%	2.11%	2.75%	1.80%	2.24%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
