Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Шарлыкская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789					
1	"Число избирателей, внесенных в списки избирателей"	15793	355	195	238	284	136	306	219	316	188	405	232	294	795	168	143	375	230	251	87	39	46	537	90	168	186	347	357	746	130	86	272	225	230	79	368	1463	1405	1545	1724	227	306					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15822	338	197	244	284	135	312	218	315	184	405	242	295	802	167	145	374	238	251	85	40	47	546	95	175	198	347	356	775	131	88	275	223	213	78	349	1467	1358	1543	1739	225	323					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10951	257	154	216	213	116	278	174	176	127	298	186	254	672	105	127	307	174	185	79	31	40	466	76	144	158	208	197	582	91	86	224	203	178	53	295	737	823	876	999	145	241					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1345	56	8	18	22	10	20	21	61	14	21	9	23	45	29	10	38	26	30	1	2	6	36	8	15	9	64	84	48	18	0	31	15	29	18	22	136	77	142	98	7	18					
6	Число погашенных избирательных бюллетеней	3526	25	35	10	49	9	14	23	78	43	86	47	18	85	33	8	29	38	36	5	7	1	44	11	16	31	75	75	145	22	2	20	5	6	7	32	594	458	525	642	73	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1345	56	8	18	22	10	20	21	61	14	21	9	23	45	29	10	38	26	30	1	2	6	36	8	15	9	64	84	48	18	0	31	15	29	18	22	136	77	142	98	7	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10951	257	154	216	213	116	278	174	176	127	298	186	254	672	105	127	307	174	185	79	31	40	466	76	144	158	208	197	582	91	86	224	203	178	53	295	737	823	876	999	145	241					
9	Число недействительных избирательных бюллетеней	109	4	0	0	0	10	0	0	0	2	4	2	3	8	2	0	2	1	4	1	0	0	8	0	3	0	2	2	0	4	0	3	1	0	0	3	9	12	9	9	1	0					
10	Число действительных избирательных бюллетеней	12187	309	162	234	235	116	298	195	237	139	315	193	274	709	132	137	343	199	211	79	33	46	494	84	156	167	270	279	630	105	86	252	217	207	71	314	864	888	1009	1088	151	259					
