Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    район Москворечье-Сабурово																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45358	2457	1771	2928	2349	2609	2052	2459	2463	2472	2201	1947	2408	2092	2408	1964	2114	2526	2322	1616	1842	131	74	78	51	24									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33500	1700	1200	2100	1900	1900	1500	1800	1800	1800	1600	1400	1800	1500	1800	1400	1500	1800	1700	1100	1300	300	300	100	100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15367	820	579	944	935	859	598	827	821	817	704	677	764	690	792	692	679	938	808	550	624	86	74	60	5	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	363	63	10	15	34	21	3	24	5	4	10	14	10	5	6	3	4	3	4	9	23	45	0	2	46	0									
6	Число погашенных избирательных бюллетеней	17769	816	611	1141	931	1020	899	949	974	979	886	709	1026	805	1002	705	817	859	888	541	653	169	226	38	49	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	363	63	10	15	34	21	3	24	5	4	10	14	10	5	6	3	4	3	4	9	23	45	0	2	46	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15311	820	579	944	927	838	598	827	818	817	704	677	754	690	792	692	673	933	806	550	623	86	74	60	5	24									
9	Число недействительных избирательных бюллетеней	237	16	7	16	10	8	13	19	22	4	7	19	11	12	14	13	0	7	10	9	14	4	1	1	0	0									
10	Число действительных избирательных бюллетеней	15437	867	582	943	951	851	588	832	801	817	707	672	753	683	784	682	677	929	800	550	632	127	73	61	51	24									
