Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Минусинская городская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568					
1	"Число избирателей, внесенных в списки"	61507	3321	1726	2898	2549	1978	777	2900	1726	2352	2890	1059	3179	2787	2912	2110	2902	2937	2789	2896	2882	2578	2803	2607	2113	163	1673					
2	"Число бюллетеней, полученных участковыми комиссиями"	57100	3000	1600	2600	2400	1800	900	2600	1600	2100	2600	2300	2800	2600	2600	1900	2700	2700	2500	2700	2600	2300	2700	2300	1800	200	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25640	1180	631	1151	856	745	777	986	616	842	1288	1039	871	999	993	548	1332	1296	1238	1375	1271	1088	1263	1267	1080	3	905					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1268	68	31	41	32	84	0	27	20	31	35	20	41	26	43	214	47	41	65	42	42	24	16	13	99	127	39					
6	Число погашенных бюллетеней	30192	1752	938	1408	1512	971	123	1587	964	1227	1277	1241	1888	1575	1564	1138	1321	1363	1197	1283	1287	1188	1421	1020	621	70	256					
7	Число бюллетеней в переносных ящиках для голосования	1268	68	31	41	32	84	0	27	20	31	35	20	41	26	43	214	47	41	65	42	42	24	16	13	99	127	39					
8	Число бюллетеней в стационарных ящиках для голосования	25639	1180	631	1151	856	745	777	986	616	842	1288	1039	871	999	992	548	1332	1296	1238	1375	1271	1088	1263	1267	1080	3	905					
9	Число недействительных бюллетеней	258	11	12	1	5	10	65	7	0	6	2	8	9	12	5	19	13	13	9	6	7	7	4	5	10	1	11					
10	Число действительных бюллетеней	26649	1237	650	1191	883	819	712	1006	636	867	1321	1051	903	1013	1030	743	1366	1324	1294	1411	1306	1105	1275	1275	1169	129	933					
