Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Абзелиловская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33296	361	470	130	264	196	1025	222	474	414	330	323	1773	1456	2167	1103	298	1170	222	213	278	352	198	655	236	141	799	405	252	194	770	304	124	244	103	441	1664	471	490	108	87	831	353	198	157	280	639	306	125	1057	295	320	897	246	507	705	502	916	378	841	455	178	218	398	228	369	970									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33350	360	470	125	280	200	1050	220	490	420	340	325	1970	1450	2190	1175	300	1200	220	215	285	355	200	600	245	150	800	400	250	195	750	300	125	235	105	450	1550	450	480	110	85	850	350	200	150	280	615	305	130	1050	285	300	850	240	500	700	500	900	370	850	450	185	220	410	220	370	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20929	314	354	92	141	125	492	164	314	233	234	239	816	641	931	485	216	738	143	179	178	322	134	470	174	96	437	244	198	133	461	163	82	167	77	293	807	223	249	94	69	700	287	134	116	245	323	156	121	681	247	214	718	149	263	463	326	803	309	731	367	134	176	277	212	276	579									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1271	13	9	0	14	15	84	7	17	29	9	12	48	60	17	41	8	52	12	11	5	13	9	35	14	7	16	26	15	14	35	11	16	7	6	11	36	11	45	2	0	28	7	12	7	3	22	15	4	35	20	7	47	13	51	41	10	28	9	25	19	4	6	16	0	21	29									
6	Число погашенных избирательных бюллетеней	11150	33	107	33	125	60	474	49	159	158	97	74	1106	749	1242	649	76	410	65	25	102	20	57	95	57	47	347	130	37	48	254	126	27	61	22	146	707	216	186	14	16	122	56	54	27	32	270	134	5	334	18	79	85	78	186	196	164	69	52	94	64	47	38	117	8	73	342									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1270	13	9	0	14	15	84	7	17	29	9	12	48	60	17	41	8	52	12	11	5	13	9	35	14	7	16	26	15	14	35	11	16	7	6	11	36	11	45	2	0	28	7	12	7	3	22	15	4	35	20	7	47	13	50	41	10	28	9	25	19	4	6	16	0	21	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20886	314	354	92	141	125	492	164	314	233	234	239	816	641	929	444	216	738	143	179	178	322	134	470	174	96	437	244	198	133	461	163	82	167	77	293	807	223	249	94	69	700	287	134	116	245	323	156	121	681	247	214	718	149	263	463	326	803	309	731	367	134	176	277	212	276	579									
9	Число недействительных избирательных бюллетеней	513	0	4	2	1	3	23	3	19	7	13	5	22	6	18	10	11	8	1	14	11	5	2	7	3	2	23	9	1	1	17	9	3	3	5	1	35	10	11	1	4	6	0	9	1	4	0	6	0	23	6	6	20	2	14	8	19	6	5	1	7	3	0	0	0	9	25									
10	Число действительных избирательных бюллетеней	21643	327	359	90	154	137	553	168	312	255	230	246	842	695	928	475	213	782	154	176	172	330	141	498	185	101	430	261	212	146	479	165	95	171	78	303	808	224	283	95	65	722	294	137	122	244	345	165	125	693	261	215	745	160	299	496	317	825	313	755	379	135	182	293	212	288	583									
