Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Илимпийская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5741	1103	611	926	1279	372	449	172	199	113	99	174	59	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5724	1082	608	898	1277	377	448	165	202	120	99	174	64	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	3	0	0	0	0	0	0	1	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3033	540	290	461	610	194	285	95	136	80	71	95	46	130									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	52	12	5	7	5	2	9	0	3	5	0	1	0	3									
6	Число погашенных избирательных бюллетеней	2635	527	313	430	662	181	154	70	62	35	28	78	18	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	56	15	5	7	5	2	9	0	4	5	0	1	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3033	540	290	461	610	194	285	95	136	80	71	95	46	130									
9	Число недействительных избирательных бюллетеней	125	28	11	19	24	8	8	1	4	5	3	8	2	4									
10	Число действительных избирательных бюллетеней	2964	527	284	449	591	188	286	94	136	80	68	88	44	129									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	29	28	28	28	15	30	20	20	20	15	20	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	6	4	3	6	3	5	12	15	5	1	1	0	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	16	15	26	9	3	12	5	2	6	10	0	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	220	23	24	25	22	12	25	8	5	15	14	19	15	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	6	7	10	12	5	10	6	5	8	12	1	3	21									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	3	3	1	12	4	2	0	0	1	0	0	0	0									
		0.84%	0.54%	1.02%	0.21%	1.95%	2.04%	0.68%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	36	7	1	7	11	2	6	0	0	0	0	1	0	1									
		1.17%	1.26%	0.34%	1.50%	1.79%	1.02%	2.04%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	15	11	14	14	4	3	3	5	3	0	3	0	1									
		2.46%	2.70%	3.73%	2.99%	2.28%	2.04%	1.02%	3.16%	3.57%	3.53%	0.00%	3.13%	0.00%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1837	285	157	266	315	89	224	65	111	63	57	72	39	94									
		59.47%	51.35%	53.22%	56.84%	51.22%	45.41%	76.19%	68.42%	79.29%	74.12%	80.28%	75.00%	84.78%	70.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	5	4	3	3	2	0	0	0	3	0	0	0	1									
		0.68%	0.90%	1.36%	0.64%	0.49%	1.02%	0.00%	0.00%	0.00%	3.53%	0.00%	0.00%	0.00%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	2	0	1	0	0	0	0	0	0	0									
