Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Тепло-Огаревская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757					
1	"Число избирателей, внесенных в список избирателей"	10166	287	539	580	556	287	394	269	355	212	557	217	253	159	148	94	72	260	380	213	581	876	663	532	873	809					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10130	400	670	710	680	400	500	370	460	330	480	200	200	140	130	80	70	220	330	180	470	730	550	440	720	670					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5423	124	332	244	304	154	235	105	203	128	255	109	156	83	78	63	49	133	173	110	286	496	394	296	521	392					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1621	83	121	163	136	70	60	102	56	49	88	46	10	35	34	11	12	50	144	56	65	43	51	35	29	72					
6	Число погашенных избирательных бюллетеней	3086	193	217	303	240	176	205	163	201	153	137	45	34	22	18	6	9	37	13	14	119	191	105	109	170	206					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1621	83	121	163	136	70	60	102	56	49	88	46	10	35	34	11	12	50	144	56	65	43	51	35	29	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5423	124	332	244	304	154	235	105	203	128	255	109	156	83	78	63	49	133	173	110	286	496	394	296	521	392					
9	Число недействительных избирательных бюллетеней	72	2	2	2	1	2	1	4	3	3	1	0	4	1	1	0	0	2	4	0	2	5	6	12	8	6					
10	Число действительных избирательных бюллетеней	6972	205	451	405	439	222	294	203	256	174	342	155	162	117	111	74	61	181	313	166	349	534	439	319	542	458					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	598	32	34	40	40	30	12	17	28	34	44	33	10	10	9	10	15	15	39	20	14	19	28	19	20	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	598	32	34	40	40	30	12	17	28	34	44	33	10	10	9	10	15	15	39	20	14	19	28	19	20	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	3	1	1	5	3	2	1	5	6	3	1	9	0	1	1	0	3	0	3	5	3	13	5	17	10					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
