Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
"Наименование Избирательной комиссии:    Томск, Кировская"																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №37	УИК №38	УИК №39	УИК №41	УИК №44	УИК №46	УИК №47	УИК №48	УИК №49	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, внесенных в списки"	76423	1312	779	1600	1618	2369	265	1943	2449	1741	1563	1117	2047	2068	2313	2087	906	1944	1864	1277	1571	2190	1522	2037	595	1636	2021	1508	1462	1148	2141	2226	2460	1536	1654	1754	962	1198	2418	2120	2025	1594	2417	2977	562	1427					
2	"Число бюллетеней, полученных участковыми комиссиями"	68900	1100	700	1450	1400	2200	300	1800	2200	1500	1400	1000	1900	1900	2100	1800	850	1800	1700	1200	1400	1800	1400	1800	550	1500	1800	1400	1300	1050	2000	2000	2200	1400	1500	1650	800	1100	2200	2000	1900	1450	2200	2600	500	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38530	598	603	802	967	1612	265	898	1165	779	690	438	958	877	1022	1219	515	1014	975	814	1075	1215	733	1099	238	634	910	802	810	570	1206	1079	1152	882	836	743	517	634	1277	1149	1045	628	727	1380	221	757					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1248	126	0	17	19	1	0	25	33	116	22	46	28	131	18	7	14	45	17	4	6	2	34	14	24	25	19	22	17	23	24	20	32	20	35	26	6	22	68	15	18	23	26	29	8	21					
6	Число погашенных бюллетеней	29122	376	97	631	414	587	35	877	1002	605	688	516	914	892	1060	574	321	741	708	382	319	583	633	687	288	841	871	576	473	457	770	901	1016	498	629	881	277	444	855	836	837	799	1447	1191	271	322					
7	Число бюллетеней в переносных ящиках для голосования	1248	126	0	17	19	1	0	25	33	116	22	46	28	131	18	7	14	45	17	4	6	2	34	14	24	25	19	22	17	23	24	20	32	20	35	26	6	22	68	15	18	23	26	29	8	21					
8	Число бюллетеней в стационарных ящиках для голосования	38501	598	601	802	967	1610	265	898	1165	776	689	435	958	875	1022	1219	515	1014	975	812	1075	1215	733	1098	238	634	910	802	810	570	1206	1078	1149	882	835	743	516	634	1277	1146	1043	628	726	1380	221	756					
9	Число недействительных бюллетеней	270	2	2	11	7	8	2	12	8	2	4	5	6	10	11	6	1	6	1	3	1	4	6	9	4	11	9	5	5	5	8	14	7	8	5	6	5	5	7	1	6	4	14	10	0	4					
10	Число действительных бюллетеней	39479	722	599	808	979	1603	263	911	1190	890	707	476	980	996	1029	1220	528	1053	991	813	1080	1213	761	1103	258	648	920	819	822	588	1222	1084	1174	894	865	763	517	651	1338	1160	1055	647	738	1399	229	773					
