Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
"Наименование Избирательной комиссии:    Екатеринбург, Октябрьская"																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595					
1	"Число избирателей, внесенных в списки"	91984	2049	1763	1987	2311	2206	2069	2041	2123	2002	1410	2389	2353	2141	2566	2575	2311	2463	2585	2658	1774	1986	1907	2395	2409	3049	1389	2354	2226	2170	2318	2185	2948	2163	2206	1991	2282	2369	2877	2088	1980	2466	212	170	53	15					
2	"Число бюллетеней, полученных участковыми комиссиями"	88700	2000	1800	2000	2200	2300	2000	2000	2000	2000	1400	2400	2400	2000	2400	2500	2000	2300	2400	2500	1800	2000	1800	2200	2200	3000	1300	2000	2000	2000	2200	2000	2800	2000	2000	2000	2000	2300	2500	2000	2200	2200	600	400	300	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50603	1385	1062	1158	1416	1387	1215	1312	1374	1265	772	1286	1429	1312	1436	1453	1351	1533	1627	1596	1056	1029	912	1312	1319	1214	627	1229	984	1051	1316	1193	1562	1152	1180	1075	1106	979	1285	1148	977	1082	208	170	53	15					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	945	23	44	14	29	40	37	23	20	31	24	17	22	35	38	12	24	9	16	16	15	12	39	38	19	3	41	11	6	12	14	13	11	18	16	20	32	24	38	18	31	40	0	0	0	0					
6	Число погашенных бюллетеней	37146	592	694	828	755	867	748	665	606	704	604	1097	949	653	926	1035	625	758	757	888	729	959	849	850	862	1783	632	760	1010	937	870	794	1227	830	804	905	862	1297	1177	834	1192	1078	392	230	247	285					
7	Число бюллетеней в переносных ящиках для голосования	945	23	44	14	29	40	37	23	20	31	24	17	22	35	38	12	24	9	16	16	15	12	39	38	19	3	41	11	6	12	14	13	11	18	16	20	32	24	38	18	31	40	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	50570	1384	1062	1157	1413	1387	1215	1311	1374	1265	772	1286	1424	1312	1436	1452	1351	1533	1627	1594	1056	1029	912	1312	1319	1204	626	1229	984	1051	1316	1193	1562	1152	1172	1075	1106	979	1285	1148	977	1082	208	170	53	15					
9	Число недействительных бюллетеней	750	8	6	8	13	14	16	14	9	4	9	9	15	13	15	13	12	40	25	20	14	19	16	17	18	3	13	32	8	38	29	30	14	38	33	27	15	18	56	11	16	10	1	11	0	0					
10	Число действительных бюллетеней	50765	1399	1100	1163	1429	1413	1236	1320	1385	1292	787	1294	1431	1334	1459	1451	1363	1502	1618	1590	1057	1022	935	1333	1320	1204	654	1208	982	1025	1301	1176	1559	1132	1155	1068	1123	985	1267	1155	992	1112	207	159	53	15					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1339	29	25	30	25	31	29	24	36	30	26	35	35	30	30	29	30	35	35	35	25	30	25	35	35	120	20	35	30	30	30	30	40	30	30	30	30	30	35	30	25	35	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	909	26	17	25	18	30	19	21	34	25	19	19	35	16	24	24	19	23	24	27	18	22	18	28	28	120	8	29	6	4	18	17	16	14	13	5	18	1	25	11	18	27	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	473	8	13	19	11	11	11	30	8	24	16	18	10	17	10	8	13	8	4	8	9	7	11	8	13	22	8	5	6	4	11	4	3	6	9	7	10	7	9	16	5	5	18	7	1	15					
14	Число погашенных открепительных удостоверений	430	3	8	5	7	1	10	3	2	5	7	16	0	14	6	5	11	12	11	8	7	8	7	7	7	0	12	6	24	26	12	13	24	16	17	25	12	29	10	19	7	8	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	449	7	3	8	12	11	12	9	7	9	3	7	9	11	21	8	15	11	7	9	8	5	9	15	1	17	6	10	13	6	12	15	8	9	11	17	19	13	24	9	13	9	2	18	1	0					
		0.87%	0.49%	0.27%	0.68%	0.83%	0.77%	0.95%	0.67%	0.50%	0.69%	0.37%	0.53%	0.62%	0.81%	1.42%	0.54%	1.09%	0.71%	0.42%	0.55%	0.74%	0.48%	0.94%	1.11%	0.07%	1.40%	0.89%	0.80%	1.31%	0.56%	0.90%	1.24%	0.50%	0.76%	0.92%	1.55%	1.66%	1.29%	1.81%	0.77%	1.28%	0.80%	0.96%	10.58%	1.88%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6659	299	244	259	196	262	183	281	264	259	166	244	248	183	143	206	242	223	225	234	166	133	96	128	148	153	72	125	56	78	112	110	156	83	100	69	66	77	72	106	79	89	13	4	7	0					
		12.92%	21.25%	22.06%	22.11%	13.59%	18.36%	14.61%	21.06%	18.93%	19.98%	20.85%	18.72%	17.15%	13.58%	9.70%	14.07%	17.6%	14.46%	13.69%	14.53%	15.49%	12.77%	10.09%	9.48%	11.06%	12.67%	10.79%	10.08%	5.65%	7.33%	8.42%	9.12%	9.91%	7.09%	8.41%	6.30%	5.79%	7.67%	5.44%	9.09%	7.83%	7.93%	6.25%	2.35%	13.20%	0.0%					
