Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Котласская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441					
1	"Число избирателей, внесенных в списки избирателей"	18937	1333	2623	273	589	1439	1413	413	718	249	200	1049	985	347	639	234	1237	2009	264	290	864	403	1366					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18850	1400	2550	250	600	1400	1400	400	700	250	200	1000	1000	350	650	250	1200	1900	250	300	900	400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	59	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	32	0	0	17	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9029	585	1238	91	274	716	677	219	303	93	75	460	419	145	353	105	524	958	109	165	420	166	934					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1001	39	168	54	22	74	57	18	35	36	22	54	53	10	19	33	39	54	50	19	47	39	59					
6	Число погашенных избирательных бюллетеней	8761	776	1144	105	304	610	666	160	355	121	103	486	528	195	278	112	637	888	59	116	433	178	507					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1060	39	168	54	22	74	57	21	42	36	22	54	53	10	19	33	39	54	82	19	47	56	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9027	585	1238	91	274	716	677	219	303	93	75	459	419	145	353	105	524	958	109	165	420	166	933					
9	Число недействительных избирательных бюллетеней	51	2	11	1	0	5	2	0	1	0	0	3	1	1	1	2	1	5	0	1	3	1	10					
10	Число действительных избирательных бюллетеней	10036	622	1395	144	296	785	732	240	344	129	97	510	471	154	371	136	562	1007	191	183	464	221	982					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	297	20	30	5	10	20	20	5	10	5	5	15	15	5	10	5	20	27	10	5	15	10	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	124	7	13	1	6	4	2	0	2	4	1	8	3	0	7	0	6	23	5	1	8	0	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	114	1	11	2	3	33	7	3	2	2	2	5	2	0	6	0	4	3	2	8	7	0	11					
14	Число погашенных неиспользованных открепительных удостоверений	173	13	17	4	4	16	18	5	8	1	4	7	12	5	3	5	14	4	5	4	7	10	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
