Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Лотошинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14388	1587	1513	1660	2201	1005	560	428	500	1166	767	658	1220	797	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13910	1500	1500	1600	2200	1000	550	400	500	1100	760	650	1100	750	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5228	663	626	711	750	368	92	114	163	443	263	237	410	279	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	818	19	29	47	99	35	96	50	35	100	62	50	95	68	33									
6	Число погашенных избирательных бюллетеней	7864	818	845	842	1351	597	362	236	302	557	435	363	595	403	158									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	818	19	29	47	99	35	96	50	35	100	62	50	95	68	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5228	663	626	711	750	368	92	114	163	443	263	237	410	279	109									
9	Число недействительных избирательных бюллетеней	218	25	28	36	27	15	5	4	3	34	7	11	7	9	7									
10	Число действительных избирательных бюллетеней	5828	657	627	722	822	388	183	160	195	509	318	276	498	338	135									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	20	20	20	20	10	10	10	10	20	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	9	10	10	14	2	0	3	7	4	2	4	9	4	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	7	17	17	2	1	2	1	0	18	2	4	4	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	114	11	10	10	6	8	10	7	3	16	8	6	11	6	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	7	5	8	8	3	1	1	1	0	3	2	7	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	5	9	10	13	5	1	3	6	19	0	3	11	2	0									
		1.44%	0.73%	1.37%	1.32%	1.53%	1.24%	0.53%	1.83%	3.03%	3.50%	0.00%	1.05%	2.18%	0.58%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	159	20	24	15	22	13	1	3	5	8	14	6	16	7	5									
		2.63%	2.93%	3.66%	1.98%	2.59%	3.23%	0.53%	1.83%	2.53%	1.47%	4.31%	2.09%	3.17%	2.02%	3.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	193	20	18	30	30	9	6	7	0	22	19	9	13	7	3									
		3.19%	2.93%	2.75%	3.96%	3.53%	2.23%	3.19%	4.27%	0.00%	4.05%	5.85%	3.14%	2.57%	2.02%	2.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2659	315	268	322	349	149	88	66	96	280	134	133	226	171	62									
		43.98%	46.19%	40.92%	42.48%	41.11%	36.97%	46.81%	40.24%	48.48%	51.57%	41.23%	46.34%	44.75%	49.28%	43.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	64	9	4	4	9	6	4	4	3	7	2	1	7	2	2									
		1.06%	1.32%	0.61%	0.53%	1.06%	1.49%	2.13%	2.44%	1.52%	1.29%	0.62%	0.35%	1.39%	0.58%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	2	0	2	1	1	0	1	1	0	1	3	0	2									
		0.23%	0.00%	0.31%	0.00%	0.24%	0.25%	0.53%	0.00%	0.51%	0.18%	0.00%	0.35%	0.59%	0.00%	1.41%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1198	125	128	135	167	119	40	37	43	72	74	54	118	48	38									
		19.81%	18.33%	19.54%	17.81%	19.67%	29.53%	21.28%	22.56%	21.72%	13.26%	22.77%	18.82%	23.37%	13.83%	26.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	3	1	7	2	2	0	2	0	2	0	0	5	1	0									
		0.41%	0.44%	0.15%	0.92%	0.24%	0.50%	0.00%	1.22%	0.00%	0.37%	0.00%	0.00%	0.99%	0.29%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	60	9	5	4	12	5	1	1	1	5	2	2	7	4	2									
		0.99%	1.32%	0.76%	0.53%	1.41%	1.24%	0.53%	0.61%	0.51%	0.92%	0.62%	0.70%	1.39%	1.15%	1.41%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	1	0	0	0	2	2	0	0	1	0	1									
		0.12%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	1.01%	0.37%	0.00%	0.00%	0.20%	0.00%	0.70%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	75	17	10	8	17	2	0	1	2	4	0	0	6	8	0									
		1.24%	2.49%	1.53%	1.06%	2.00%	0.50%	0.00%	0.61%	1.01%	0.74%	0.00%	0.00%	1.19%	2.31%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1016	108	117	153	150	61	36	29	28	65	57	56	67	73	16									
		16.80%	15.84%	17.86%	20.18%	17.67%	15.14%	19.15%	17.68%	14.14%	11.97%	17.54%	19.51%	13.27%	21.04%	11.27%									
